產品品號,單位,品      名,規      格,生產入庫,託外進貨,材料在製約量,人工製費在製約量,加工費用在製約量,材料成本,單位材料成本,材料成本(％),人工成本,單位人工成本,人工成本(％),製造費用,單位製造費用,製造費用(％),加工費用,單位加工費用,加工費用(％),生產成本,單位生產成本,本階人工成本,本階製造費用,本階加工費用
41004-0021601,PCS,Li98 13*4.8*0.15mm,長寬±0.25厚±0.020 1000PCS/200000箱 半斷/加拉拔5mm(4.8)/離型紙不可分層/底紙不可有刀痕/不可跳間隔,,,7390.871,7390.871,7390.871,291,0.0394,90.37,,,,1,0.0001,0.31,30,0.0041,9.32,322,0.0436,,,
41004-0023901,PCS,Li98 28*28*0.25mm,長寬±0.3厚±0.03 1000PCS/32000箱 半斷,599,,,,,307,0.5125,18.42,423,0.7062,25.37,913,1.5242,54.77,24,0.0401,1.44,1667,2.783,423,912,
41004-0025102,SET,Li98 39.7*15*0.15mm 沖型,長寬±0.25厚±0.020 1000PCS/70000箱 膜斷/Z4001-0082401/量產模/9穴(5對)/此料一組為2PCS,560,,,,,408,0.7286,18.31,563,1.0054,25.27,1215,2.1696,54.53,42,0.075,1.89,2228,3.9786,563,1214,
41004-0025202,PCS,Li98 43.1*43.1*0.25mm,長寬±0.3厚±0.025 1000PCS/8000箱 膜斷/條狀/素材TG-T1000(藍膜),,,10200.15,10200.15,10200.15,11834,1.1602,92.85,10,0.001,0.08,26,0.0025,0.2,875,0.0858,6.87,12745,1.2495,,,
41004-0026301,PCS,Li98 76.4*40*0.15mm 沖型,長寬±0.25厚±0.020 1000PCS/15000箱 半斷/Z4001-0081001/量產模/8穴,1000,,,,,2331,2.331,47.8,732,0.732,15.01,1576,1.576,32.31,238,0.238,4.88,4877,4.877,729,1570,
41004-0028001,PCS,Li98 352.5*6*0.15mm,長±0.55寬±0.25厚±0.020 1000PCS/10000箱 半斷/加助撕5mm(6),160,,,,,175,1.0938,11.9,405,2.5313,27.53,873,5.4563,59.35,18,0.1125,1.22,1471,9.1939,405,873,
41004-0028401,PCS,Li98C 18*18*0.15mm,長寬±0.25厚±0.020 1000PCS/110000箱 半斷/條狀,4700,,,,,704,0.1498,20.58,829,0.1764,24.23,1784,0.3796,52.15,104,0.0221,3.04,3421,0.7279,819,1763,
41004-0032302,SET,Li98 305.24*65*0.15mm 沖型,長±0.55寬±0.25厚±0.020 100PCS/400箱 膜斷/Ø5/1SET=2PCS/Z4001-0123802/量產模/2穴/裁1SET,,,0.995,,0.995,58,58.2915,90.63,,,,,,,6,6.0302,9.38,64,64.3217,,,
41004-0032402,SET,Li98 100.03*65.27*0.15mm 沖型,長寬±0.25厚±0.020 500PCS/1000箱 膜斷/Ø5/1SET=2PCS/Z4001-0123902/量產模/2穴/裁4SET,,,,,,58,,4.66,374,,30.04,807,,64.82,6,,0.48,1245,,374,807,
41004-0033601,PCS,Li98 31.3*31.3*0.15mm 沖型,長寬±0.25厚±0.020 1000PCS/50000箱 半斷/ZM-4-MOD-2351/量產模9穴/1080315-02/十字型,1000,,,,,699,0.699,8.6,2334,2.334,28.7,5028,5.028,61.83,71,0.071,0.87,8132,8.132,2333,5026,
41004-0035501,PCS,Li98 248.4*142.8*0.25mm 沖型,長寬±0.3厚±0.025 100PCS/800箱 膜斷/模編:4-MOD-1472/量產模/4穴/1041216-05,,,50,50,50,1380,27.6,92.56,1,0.02,0.07,3,0.06,0.2,107,2.14,7.18,1491,29.82,,,
41004-0038201,PCS,Li98 378.5*131*0.25mm 沖型,長±0.55寬±0.35厚±0.025 100PCS/500箱 半斷/量產模/2穴/3MOD-C2457/1040324-02,20,,,,,690,34.5,33.11,426,21.3,20.44,914,45.7,43.86,54,2.7,2.59,2084,104.2,425,913,
41004-0039901,PCS,Li98 1120*12*0.15mm,長±1.5寬±0.2厚±0.03 100PCS/2000箱 全斷,7,,,,,,,,240,34.2857,29.74,518,74,64.19,49,7,6.07,807,115.2857,240,518,49
41004-0040901,PCS,Li98C 24*24*0.15mm,長寬±0.25厚±0.020 1000PCS/80000箱 半斷,500,,,,,117,0.234,18.57,158,0.316,25.08,338,0.676,53.65,17,0.034,2.7,630,1.26,156,334,
41004-0044701,PCS,Li98C 35.56*3.05*0.15mm,長寬±0.25厚±0.020 1000PCS/150000箱 膜斷/加拉拔5mm(3.05),1450,,98.87,98.87,98.87,146,0.0943,5.78,747,0.4823,29.56,1613,1.0414,63.83,21,0.0136,0.83,2527,1.6316,746,1608,
41004-0046401,PCS,Li98C 253*7.5*0.15mm,長±0.5寬±0.25厚±0.020 1000PCS/5000箱 半斷/加拉拔5mm(7.5),200,,,,,235,1.175,25.85,203,1.015,22.33,437,2.185,48.07,34,0.17,3.74,909,4.545,200,430,
41004-0047901,PCS,Li98C 383.4*5*0.15mm,長±0.5寬±0.2厚±0.020 1000PCS/10000箱 半斷/加拉拔5.5mm(5),1356,,,,,1086,0.8009,15.49,1827,1.3473,26.07,3937,2.9034,56.17,159,0.1173,2.27,7009,5.1689,1811,3903,
41004-0048001,PCS,Li98C 414.8*3*0.25mm,長±0.65寬±0.25厚±0.025 1000PCS/25000箱 半斷,300,,600.222,600.222,600.222,811,0.9009,39.16,366,0.4066,17.67,792,0.8798,38.24,102,0.1133,4.93,2071,2.3006,361,779,
41004-0048801,PCS,Li98CN 90*43.2*0.18mm 沖型,長寬±0.25厚±0.020 1000PCS/6000箱 膜斷/ZM-4-MOD-2288/1071207-02/量產模6穴,1090,,,,,2679,2.4578,19.05,3478,3.1908,24.73,7509,6.889,53.4,396,0.3633,2.82,14062,12.9009,3454,7443,
41004-0049402,PCS,Li98CN 32*16*0.18mm,長寬±0.25厚±0.020 1000PCS/60000箱 膜斷/條狀(長邊32)/跳間隔2mm(16),2000,,,,,495,0.2475,23.66,482,0.241,23.04,1042,0.521,49.81,73,0.0365,3.49,2092,1.046,478,1030,
41004-0049801,PCS,Li98CN 150*150*0.18mm,長寬±0.8厚±0.03 20PCS/1500箱 全斷,44,,,,,670,15.2273,38.84,302,6.8636,17.51,654,14.8636,37.91,99,2.25,5.74,1725,39.2045,296,638,
41004-0055501,PCS,Li98C 26.5*26.5*0.15mm,長寬±0.25厚±0.020 1000PCS/50000箱 膜斷/條狀,1500,,,,,469,0.3127,28.99,343,0.2287,21.2,737,0.4913,45.55,69,0.046,4.26,1618,1.0787,336,723,
41004-0058601,PCS,Li98 6.5*6.5*0.15mm,長寬±0.25厚±0.020 1000PCS/1000000箱 膜斷/條狀,1000,,,,,58,0.058,7.79,216,0.216,28.99,465,0.465,62.42,6,0.006,0.81,745,0.745,216,465,
41004-0059101,PCS,Li98C 18*18*0.25mm,長寬±0.3厚±0.03 1000PCS/110000箱 半斷/條狀/加拉拔5mm,6000,,,,,1243,0.2072,11.1,3105,0.5175,27.72,6694,1.1157,59.76,159,0.0265,1.42,11201,1.8669,3104,6689,
41004-0060101,PCS,Li98 62*17*0.25mm,長寬±0.25厚±0.025 1000PCS/20000箱 膜斷,,,1300.435,800,1300.435,767,0.5898,92.63,,,,1,0.0013,0.12,60,0.0461,7.25,828,0.6372,,,
41004-0062601,PCS,Li98C 26*26*0.15mm,長寬±0.25厚±0.020 1000PCS/50000箱 半斷/條狀/加拉拔5mm(26),100,,,,,59,0.59,17.56,85,0.85,25.3,183,1.83,54.46,9,0.09,2.68,336,3.36,84,181,
41004-0064701,PCS,Li98C 24*24*0.15mm,長寬±0.25厚±0.020 1000PCS/70000箱 半斷/條狀,100,,,,,29,0.29,5.69,151,1.51,29.61,326,3.26,63.92,4,0.04,0.78,510,5.1,151,325,
41004-0068101,PCS,Li98 300*300*0.15mm,長寬±0.45厚±0.020 50PCS/200箱 全斷,300,,,,,12529,41.7633,51.46,3339,11.13,13.72,7198,23.9933,29.57,1279,4.2633,5.25,24345,81.1499,3325,7166,
41004-0070501,PCS,Li98C 535*3*0.25mm,長±0.85寬±0.25厚±0.025 1000PCS/50000箱 半斷,100,,,,,108,1.08,19.74,135,1.35,24.68,290,2.9,53.02,14,0.14,2.56,547,5.47,134,288,
41004-0072201,PCS,Li98CN 16*8*0.18mm,長寬±0.25厚±0.020 1000PCS/200000箱 膜斷,1400,,,,,87,0.0621,12.65,186,0.1329,27.03,402,0.2871,58.43,13,0.0093,1.89,688,0.4914,185,400,
41004-0074702,PCS,Li98C 59.5*16*0.25mm,長寬±0.25厚±0.025 1000PCS/20000箱 膜斷/條狀/加拉拔5mm(16),600,,,,,302,0.5033,18.95,397,0.6617,24.91,856,1.4267,53.7,39,0.065,2.45,1594,2.6567,397,855,
41004-0074802,ROLL,Li98C 50M*1250*0.15mm,長-0+50cm寬-0/+25厚±0.020 1ROLL/1箱 捲料/不含底紙,36.1,,,,,786619,21790,99.71,712,19.723,0.09,1537,42.5762,0.19,,,,788868,21852.2992,712,1537,
41004-0074901,ROLL,Li98 50M*1M*0.15mm,長-0+50cm寬±0.85厚±0.020 1ROLL/1箱 捲料/不含底紙,2,,,,,34965,17482.5,99.97,3,1.5,0.01,6,3,0.02,,,,34974,17487,3,6,
41004-0075901,ROLL,Li98 50M*102*0.25mm,長-0+50cm寬±0.35厚±0.025 1ROLL/1箱,2,,,,,5137,2568.5,76.01,229,114.5,3.39,493,246.5,7.3,899,449.5,13.3,6758,3379,224,482,500
41004-0076301,PCS,Li98CN 300*300*0.18mm,長寬±0.6厚±0.020 10PCS/350箱 全斷,13,,,,,757,58.2308,48.81,202,15.5385,13.02,480,36.9231,30.95,112,8.6154,7.22,1551,119.3078,61,131,
41004-0077801,PCS,Li98C 20*18*0.15mm 沖型,長寬±0.25厚±0.020 1000PCS/100000箱 膜斷/Z4001-0223901/量產模/5穴/裁240PCS,240,,,,,88,0.3667,3.3,814,3.3917,30.52,1752,7.3,65.69,13,0.0542,0.49,2667,11.1126,813,1749,
41004-0078101,PCS,Li98C 320*320*0.25mm,長寬±0.55厚±0.025 50PCS/300箱 全斷,8,,,,,537,67.125,48.73,157,19.625,14.25,339,42.375,30.76,69,8.625,6.26,1102,137.75,156,336,
41004-0082601,PCS,Li98C 10*10*0.15mm,長寬±0.25厚±0.020 1000PCS/400000箱 膜斷/條狀/加拉拔5mm(10),252,,,,,29,0.1151,3.66,240,0.9524,30.3,519,2.0595,65.53,4,0.0159,0.51,792,3.1429,240,518,
41004-0083001,ROLL,Li98C 50M*6.5*0.15mm,長-0+50cm寬±0.2厚±0.03 1ROLL/50箱 捲料,50,,,,,5883,117.66,80.69,351,7.02,4.81,757,15.14,10.38,300,6,4.11,7291,145.82,351,757,300
41004-0084501,PCS,Li98C 550*4*0.15mm,長±0.85寬±0.25厚±0.020 1000PCS/50000箱 膜斷,70,,,,,95,1.3571,17.63,136,1.9429,25.23,294,4.2,54.55,14,0.2,2.6,539,7.7,135,291,
41004-0086201,PCS,Li98C 300*300*0.15mm,長寬±0.45厚±0.020 50PCS/500箱 全斷,10,,,,,587,58.7,49.75,161,16.1,13.64,346,34.6,29.32,86,8.6,7.29,1180,118,153,328,
41004-0093501,PCS,Li98C 151*5*0.15mm,長±0.35寬±0.25厚±0.020 1000PCS/30000箱 膜斷/加拉拔5mm(5),100,,,,,59,0.59,10.39,159,1.59,27.99,341,3.41,60.04,9,0.09,1.58,568,5.68,158,339,
41004-0095401,PCS,Li98C 303*5.5*0.15mm 沖型,長±0.55寬±0.25厚±0.020 1000PCS/20000箱 膜斷/Z4001-0281301/量產模/5穴,200,,,,,234,1.17,13.48,465,2.325,26.79,1003,5.015,57.78,34,0.17,1.96,1736,8.68,461,995,
41004-0096401,PCS,Li98CN 14.5*14.5*0.18mm,長寬±0.25厚±0.020 1000PCS/100000箱 膜斷/加拉拔5mm(14.5),10,,,,,29,2.9,6.49,131,13.1,29.31,283,28.3,63.31,4,0.4,0.89,447,44.7,131,282,
41004-0099501,PCS,Li98 52*12*0.25mm,長寬±0.25厚±0.025 1000PCS/40000箱 膜斷,,,1100.218,800.87,1100.218,460,0.4181,92.56,,,,1,0.0012,0.2,36,0.0327,7.24,497,0.452,,,
41004-0101001,PCS,Li2000A 310*310*0.25mm,長寬±0.55厚±0.025 50PCS/300箱 全斷,1,,,,,,,,114,114,31.67,246,246,68.33,,,,360,360,114,246,
41004-0104101,PCS,Li98C 84.2*3.3*0.15mm 沖型,長寬±0.25厚±0.020 1000PCS/100000箱 膜斷/R1.9/Z4001-0318801/量產模/3穴,340,,,,,118,0.3471,9.5,351,1.0324,28.26,755,2.2206,60.79,18,0.0529,1.45,1242,3.653,349,751,
41005-0001601,PCS,TG-T1000 60*57*0.25mm 沖型,長寬±0.25厚±0.025 1000PCS/8000箱 半斷/Z4001-0042301/量產模/5穴/裁25PCS,1000,,,,,2335,2.335,15.19,4076,4.076,26.52,8784,8.784,57.16,173,0.173,1.13,15368,15.368,4074,8779,
41005-0004701,PCS,TG-T1000 10*10*0.15mm,長寬±0.25厚±0.020 1000PCS/300000箱 膜斷/條狀/加拉拔5mm(10),1280,,,,,58,0.0453,3.66,462,0.3609,29.15,1059,0.8273,66.81,6,0.0047,0.38,1585,1.2382,259,559,
41005-0005101,PCS,TG-T1000 13*13*0.15mm,長寬±0.25厚±0.020 1000PCS/200000箱 膜斷/條狀,1000,,2202.32,,2202.32,292,0.0912,36.59,151,0.151,18.92,325,0.325,40.73,30,0.0094,3.76,798,0.5766,151,325,
41005-0005301,PCS,TG-T1000 35*31*0.15mm 沖型,長寬±0.25厚±0.020 1000PCS/30000箱 全斷/反沖/ZM-NM-MOD-C0757/量產模/8穴/要綠膜/裁72PCS,400,,,,,233,0.5825,4.77,1467,3.6675,30.02,3162,7.905,64.72,24,0.06,0.49,4886,12.215,1467,3161,
41005-0005401,PCS,TG-T1000 76*60*0.15mm 沖型,長寬±0.25厚±0.020 1000PCS/8000箱 全斷/反沖/ZM-NM-MOD-C0758/量產模/8穴/要綠膜/裁20PCS,500,,,,,991,1.982,33.18,601,1.202,20.12,1294,2.588,43.32,101,0.202,3.38,2987,5.974,600,1292,
41005-0006001,PCS,TG-T1000 325*325*0.15mm,長寬±0.55厚±0.020 50PCS/500箱 全斷,,,25.996,25.996,25.996,1107,42.5835,52.92,276,10.617,13.19,596,22.9266,28.49,113,4.3468,5.4,2092,80.4739,275,593,
41005-0006101,PCS,TG-T1000 325*325*0.25mm,長寬±0.55厚±0.025 50PCS/300箱 全斷,10,,,,,644,64.4,67.51,83,8.3,8.7,179,17.9,18.76,48,4.8,5.03,954,95.4,82,178,
41005-0006601,PCS,TG-T1000 12*12*0.15mm,長寬±0.25厚±0.020 1000PCS/300000箱 膜斷/條狀/加拉拔5mm(12),2000,,,,,175,0.0875,6.81,753,0.3765,29.31,1623,0.8115,63.18,18,0.009,0.7,2569,1.2845,753,1623,
41005-0007401,PCS,TG-T1000 28*28*0.25mm,長寬±0.25厚±0.025 1000PCS/20000箱 膜斷/條狀/加拉拔5mm(28),2000,,,,,1047,0.5235,22.69,1106,0.553,23.97,2385,1.1925,51.68,77,0.0385,1.67,4615,2.3075,1105,2383,
41005-0009101,PCS,TG-T1000 15*15*0.15mm,長寬±0.25厚±0.020 1000PCS/200000箱 膜斷,2000,,,,,233,0.1165,26.84,193,0.0965,22.24,418,0.209,48.16,24,0.012,2.76,868,0.434,193,417,
41005-0009301,PCS,TG-T1000 28*28*0.25mm,長寬±0.25厚±0.025 1000PCS/30000箱 膜斷,500,,,,,242,0.484,28.07,178,0.356,20.65,424,0.848,49.19,18,0.036,2.09,862,1.724,52,112,
41005-0009601,PCS,TG-T1000 40*40*0.15mm,長寬±0.25厚±0.020 1000PCS/20000箱 膜斷/條狀,37,,,,,58,1.5676,12.06,123,3.3243,25.57,294,7.9459,61.12,6,0.1622,1.25,481,13,30,64,
41005-0009901,PCS,TG-T1000 28*26*0.15mm,長寬±0.25厚±0.020 1000PCS/50000箱 膜斷/條狀/加拉拔5mm(26),2000,,,,,699,0.3495,16,1140,0.57,26.1,2458,1.229,56.27,71,0.0355,1.63,4368,2.184,1139,2456,
41005-0010401,PCS,TG-T1000 8*8*0.15mm,長寬±0.25厚±0.020 1000PCS/700000箱 膜斷/條狀,3000,,,,,58,0.0193,6.07,282,0.094,29.53,609,0.203,63.77,6,0.002,0.63,955,0.3183,282,609,
41005-0014101,SET,TG-T1000 156.4*132.4*0.15mm 沖型,長寬±0.35厚±0.020 100PCS/1000箱 膜斷/LH/Z4001-0047001/量產模/4穴/1組含4PCS,251,,,,,2680,10.6773,16.26,4139,16.49,25.11,9392,37.4183,56.97,274,1.0916,1.66,16485,65.6772,2627,5660,
41005-0014201,SET,TG-T1000 156.4*132.4*0.15mm 沖型,長寬±0.35厚±0.020 100PCS/1000箱 膜斷/RH/Z4001-0047101/量產模/4穴/1組含4PCS,251,,,,,2680,10.6773,18.18,3600,14.3426,24.42,8188,32.6215,55.54,274,1.0916,1.86,14742,58.733,2226,4797,
41005-0014501,PCS,TG-T1000 5.5*5.5*0.25mm,長寬±0.25厚±0.025 100PCS/900000箱 全斷/加拉拔5mm(5.5),1500,,,,,81,0.054,2.25,1114,0.7427,30.94,2400,1.6,66.65,6,0.004,0.17,3601,2.4007,1114,2400,
41005-0014701,PCS,TG-T1000 10.4*10.4*0.25mm,長寬±0.25厚±0.025 100PCS/200000箱 全斷/加拉拔5mm(10.4),,,2027.133,2027.133,2027.133,242,0.1194,92.72,,,,1,0.0005,0.38,18,0.0089,6.9,261,0.1288,,,
41005-0015201,PCS,TG-T1000 14*14*0.25mm,長寬±0.25厚±0.025 100PCS/100000箱 全斷/加拉拔5mm(14),3900,,,,,644,0.1651,9.09,2025,0.5192,28.59,4366,1.1195,61.64,48,0.0123,0.68,7083,1.8161,2025,4364,
41005-0015301,PCS,TG-T1000 14.4*14*0.25mm,長寬±0.25厚±0.025 100PCS/100000箱 全斷/加拉拔5mm(14),700,,,,,81,0.1157,3.01,827,1.1814,30.69,1781,2.5443,66.09,6,0.0086,0.22,2695,3.85,827,1781,
41005-0016401,PCS,TG-T1000 23*23*0.25mm,長寬±0.25厚±0.025 100PCS/50000箱 全斷/加拉拔5mm(23),400,,,,,161,0.4025,9.08,507,1.2675,28.6,1093,2.7325,61.65,12,0.03,0.68,1773,4.4325,507,1093,
41005-0016601,PCS,TG-T1000 26*18*0.25mm,長寬±0.25厚±0.025 100PCS/50000箱 全斷/加拉拔5mm(18),,,499.986,,499.986,161,0.322,93.06,,,,,,,12,0.024,6.94,173,0.346,,,
41005-0016701,PCS,TG-T1000 26*26*0.25mm,長寬±0.25厚±0.025 100PCS/40000箱 全斷/加拉拔5mm(26),,,340.991,,340.991,161,0.4722,93.06,,,,,,,12,0.0352,6.94,173,0.5074,,,
