種類,英文,中文
上衣,COLLAR HEIGHT AT CENTER FRONT,領高-前中量
上衣,COLLAR LENGTH AT SEAM (V TO V),領長-領縫量 
上衣,NECK CIRCUMFERENCE- BUTTON TO BUTTONHOLE ,領圍- 釦子至釦洞
上衣,COLLAR BAND/STAND/CIRCUMFERENCE-BUTTON TO BUTTONHOLE,領圍- 釦子至釦洞
上衣,COLLAR BAND/STAND HEIGHT AT CF,領台高-前中量
上衣,COLLAR BAND/STAND HEIGHT AT CB,領台高-後中量
上衣,COLLAR SPREAD,領尖 間距寬
上衣,NECK WIDTH SEAM TO SEAM,領寬-縫至縫
上衣,PLACKET LENGTH TOTAL,門襟長
上衣,PLACKET WIDTH,門襟寬
上衣,GARAGE HEIGHT,車庫高
上衣,GARAGE WIDTH,車庫寬
上衣,PLACKET ZIPPER GUARD WIDTH,門襟擋風片寬
上衣,WIND GUARD,擋風片
上衣,CHEST POCKET OPENING,胸口袋開口
上衣,CHEST POCKET PLACEMENT FROM CF PLACKET EDGE,胸口袋位置距 前門襟邊
上衣,CHEST POCKET POSITION FROM NECK SEAM,胸口袋位置距 領縫
上衣,CHEST POCKET WIDTH,胸口袋寬
上衣,WELT / BESOM POCKET OPENING WIDTH,袋唇 開口寬
上衣,WELT / BESOM FINISH HEIGHT,袋唇 開口長
上衣,POCKET POSITION - UP FROM BOTTOM OPENING/SWEEP EDGE,口袋位置 - 距下擺邊上
上衣,POCKET POSITION - FROM SIDE SEAM AT TOP OF POCKET ,口袋位置 - 距脇邊 -口袋頂量
上衣,POCKET POSITION - FROM SIDE SEAM AT BOTTOM OF POCKET ,口袋位置 - 距脇邊 -口袋底量
上衣,BOTTOM OPENING - ELASTIC -RELAXED,下擺  鬆量
上衣,BOTTOM OPENING - ELASTIC -EXTENDED,下擺  拉量
上衣,VENT/SLIT OPENING HEIGHT ,衩高
上衣,VENT/SLIT OPENING WIDTH ,衩寬
上衣,VENT/SLIT  HEIGHT ,衩高
上衣,VENT/SLIT WIDTH ,衩寬
上衣,SHIRT TAIL HEIGHT ,下擺彎弧高
上衣,HOOD HEIGHT FROM HPS,帽高- 在HPS 處量
上衣,HOOD HEIGHT AT FRONT EDGE,帽高- 帽口量
上衣,HOOD CENTER PANEL WIDTH -AT FRONT,帽中剪接寬-帽口處量
上衣,HOOD CENTER PANEL WIDTH -AT NECK SEAM,帽中剪接寬-帽領縫量
上衣,HOOD WIDTH -AT WIDEST POINT,帽寬-最寬處量
上衣,HOOD FRONT COLLAR STAND ,前中帽領高
上衣,HOOD DRAWSTRING LENGTH EXPOSED,帽繩外露長度
上衣,HOOD HEM HEIGHT ,帽口反折寬
上衣,ARTWORK PLACEMENT FROM HPS ,LOGO 位置 距HPS
上衣,ARTWORK PLACEMENT FROM CF,LOGO 位置 距 前中
上衣,ARTWORK PLACEMENT UP FROM BACK YOKE SEAM,LOGO 位置 從後約克上
上衣,ARTWORK PLACEMENT AWAY FROM ARMHOLE,LOGO 位置 距袖隴
上衣,FRONT YOKE HEIGHT FROM HPS,前約克高-從HPS 量
上衣,BACK YOKE HEIGHT FROM HPS,後約克高-從HPS 量
上衣,BACK YOKE HEIGHT FROM CBN,後約克高-從 後中領縫 量
上衣,YOKE TOP BACK DEPTH/HEIGHT AT CENTER BACK FROM NECK SEAM,後約克高-從 後中領縫 量
上衣,SWEAT PATCH WIDTH,後半月貼寬
上衣,SWEAT PATCH HEIGHT,後半月貼高
上衣,HALF MOON WIDTH,後半月貼寬
上衣,HALF MOON HEIGHT,後半月貼高
上衣,NECK PATCH,後半月貼
上衣,KANGAROO/POUCH POCKET WIDTH AT TOP,袋鼠袋寬 頂量
上衣,KANGAROO/POUCH POCKET WIDTH AT WIDEST,袋鼠袋寬 最寬處量
上衣,KANGAROO/POUCH POCKET WIDTH AT BOTTOM,袋鼠袋寬 底量
上衣,KANGAROO/POUCH POCKET HEIGHT AT BOTTOM,袋鼠袋高 中間量
上衣,KANGAROO/POUCH POCKET HEIGHT AT SIDE,袋鼠袋高 側邊量
上衣,BUTTON SPACE ,釦距
上衣,POCKET FLAP,袋蓋
上衣,SIDE POCKET,側邊口袋 
上衣,INSIDE OUTER COLLAR,外領內側
上衣,INNER COLLAR STAND,內領台
上衣,POCKET BAG,袋布
上衣,YOKE SEAM,約克縫
上衣,FRONT YOKE SEAM,前約克縫
上衣,BACK YOKE SEAM,後約克縫
上衣,BUTTONHOLE PLACKET ,上門襟
上衣,UPPER PLACKET ,上門襟
上衣,BUTTON PLACKET ,下門襟
上衣,UNDER PLACKET ,下門襟
上衣,SET-ON PLACKET ,正門襟
上衣,SET-IN PLACKET ,歪門襟
主料,MAIN FABRIC,主布料
主料,ALL OVER MAIN BODY,全部大身  
主料,LIGHTWEIGHT JERSEY ,輕量單面布
副料,COLLAR STAY,領插片
副料,INTERLINING MEDIUM ,中等硬度襯布
副料,MOBILLON TAPE,透明併肩帶
副料,METAL ZIPPER PULLER ,金屬拉鍊頭
副料,No. 3 Coil Closed End Zipper	,3號尼龍閉口拉鍊
副料,No. 5 Coil Closed End Zipper        ,5號尼龍閉口拉鍊
副料,No. 3 VISLON Closed End Zipper        ,3號塑鋼閉口拉鍊
副料,No. 5 VISLON Closed End Zipper        ,5號塑鋼閉口拉鍊
副料,No. 3 Coil OPEN END Zipper        ,3號尼龍開口拉鍊
副料,No. 5 Coil OPEN END Zipper        ,5號尼龍開口拉鍊
副料,No. 3 VISLON OPEN END Zipper        ,3號塑鋼開口拉鍊
副料,No. 5 VISLON OPEN END Zipper        ,5號塑鋼開口拉鍊
副料,INVISIBLE ZIPPER ,隱形拉練
副料,HIDDEN ZIPPER ,隱形拉練
副料,HEAT TRABSFER LABEL ,熱轉印標
副料,AUTO LOCK ZIPPRT WITH  LOGO        ,自動鎖定拉鍊頭，帶壓印商標
副料,CF PLACKET ZIPPER ,前門襟拉鍊
副料,HANGTAG,吊牌
副料,UPC STICKER ,條碼貼紙
副料,UPC/REID TICKET,條碼吊牌
副料,MAIN LABEL,主標 
副料,CARE LABEL,洗標
副料,POLYBAG STITCKER,塑膠袋貼紙
副料,SNAP,四合釦
副料,GROMMENT,雞眼
副料,ELASTIC ,鬆緊帶
副料,FOLDED ELASTIC TAPE,對折彈性帶
做工,"ZIP COVER : SELF FABRIC EXTENDS 1/2"" PAST ZIP TEETH ","拉鍊擋風片：本布延伸 外包1/2"" 高蓋住拉鍊頭"
做工,#3 COIL ZIPPER WIDTH SELF FABRIC ZIP GARAGE ,3號尼龍拉鍊，拉鍊底端 加車本布車庫 
做工,ON -SEAM POCKET WIDTH TOPSTITCH & BARTACK AT ENDS ,側縫口袋，袋口 壓明線 & 上下端加打結固定
做工,"1/4"" SNTS SINGLE NEEDLE TOPSTITCH ","1/4"" 單針壓線"
做工,"EXTERIOR COLLAR WRAPS TO INTERIPR 1/4"" EDGESTITCH ","外領頂端 往內包 1/4"" , 壓臨邊單針固定"
做工,"1/4"" ROLLOVER ALL AROUND NK EDGE STITCH","外領頂端 往內包 1/4"" , 壓臨邊單針固定"
做工,"LOGO PLACEMENT:  WEARER'S RIGHT BACK , 1/2"" UP FROM SEAM , 2 1/2""  FROM ARMHOLE ",logo 位置：穿著者後背右側，距縫線上方1/2英寸，距袖窿2 1/2英寸
做工,"2"" FORWARD SIDE SEAM","側縫向前移 2"""
做工,"6"" BACK YOKE SEAM ","後約克高為 6"""
做工,"ARMHOLE /SEAM : 1/4"" SNTS","袖隴縫：壓1/4 "" 單針"
做工,SLEEVE OPENING SELF TURN,袖口本布反折
做工,BOTTOM OPENING SELF TURN,下擺本布反折
做工,BEND BACK HEM,下擺本布反折
做工,"1/4"" DNTS ","1/4"" 兩針四線三本雙針"
做工,"1/4"" DOUBLE NEEDLE BOTTOM COVERSTITCH","1/4"" 兩針四線三本雙針"
做工,"1/4"" DNTS  ","1/4"" 平雙針"
做工,"1/4"" DOUBLE NEEDLE TOPSTITCH ","1/4"" 平雙針"
做工,"1/4"" SN CHAIN STITCH","1/4"" 鎖鏈單針"
做工,"1/4"" SINGLE NEEDLE CHAIN STITCH","1/4"" 鎖鏈單針"
做工,"1/4"" SNGL NDL TPST","1/4"" 平車單針"
做工,"1/4"" SINGLE NEEDLE TOPSTITCH","1/4"" 平車單針"
做工,"1/8"" DNTS ","1/8"" 平車單針"
做工,"1/8"" DOUBLE NEEDLE TOPSTITCH","1/8"" 平車單針"
做工,"1/8"" DNTS ","1/8"" 兩針四線三本雙針"
做工,"1/8"" DOUBLE NEEDLE BOTTOM COVERSTITCH","1/8"" 兩針四線三本雙針"
做工,"1/8"" DNTS ","1/8"" 平雙針"
做工,"1/8"" DOUBLE NEEDLE TOPSTITCH","1/8"" 平雙針"
做工,"1/8"" SNTS","1/8"" 平車單針"
做工,"1/8"" SN CHAIN STITCH","1/8"" 鎖鏈單針"
做工,"1/8"" SNGL NDL TPST ","1/8"" 鎖鏈單針"
做工,"1/8"" SNGL NDL TPST ","1/8"" 平車單針"
做工,"1/16"" SNGL NDL TPST",臨邊單針
做工,"1/16"" SNGL NDL AT TOP AND BOTTOM",上下壓臨邊單針
做工,3 NDL COVER STITCH,三針五線爬網
做工,3NDL 5T COVER STITCH,三針五線爬網
做工,STRADDLE STITCH,跨壓
做工,SNTS,單針
做工,ZIP GARAGE,拉鍊車庫
做工,EXPOSED ZIP,拉鍊露齒
做工,ZIP WELT,拉鍊唇
做工,POCKET WELT,袋唇
做工,PIPING,出芽 (排品)
做工,BELT,腰帶
做工,BACK NECK TAPE,後領織帶
做工,CONTRAST INTERIOR NECK & SWEAT PATCH,對比色的 內領 & 後半月貼
做工,"1/2"" W TAPE EXPOSED 1/4"" SNTS","拉鍊外露 1/2"" 寬, 周圍壓1/4""平車單針"
做工,NECK BASE,領縫
做工,UNDER STITCH,臨邊暗線單針
做工,CUT ON BIAS,斜裁
做工,ONE WAY CUT,單向裁
做工,PLACEMENT CUT ,定位裁
做工,TWO WAY CUT,雙向裁
做工,PAIRS SLEEVE ,對稱袖
做工,"1/4"" SNTS TPST VENTS W/ BAR TACK AT TOP","衩 壓1/4"" 寬單針 , 衩頂車打結固定 "
做工,"1/8"" DBL NDL TPST FLAT LOCK","壓1/8""兩針三線 三本雙針"
做工,"1/4"" DBL NDL TPST FLAT LOCK","壓1/4""兩針三線 三本雙針"
做工,PLACKET = SELF SET ON W/ EDGESTITCH ALL AROUND & BOX STITCH,"正門襟周圍壓臨邊單針, 門襟底壓方框單針"
做工,PLACKET = SELF  W/ EDGESTITCH & BOX STITCH,"歪門襟 門襟邊壓臨邊單針, 門襟底壓方框單針"
做工,"PLACKET = SELF  W/BOX STITCH  , SN UNDERSTITCH AT PLACKET EDEG","歪門襟 門襟邊壓臨邊暗線單針, 門襟底壓方框單針"
做工,"SHOULDER SEAM: FORWARD SHOULDER W/ 1/4"" SNTS EVEN WIDTH FROM NECK TO ARMHOLE 
MOBILON TAPE AT INTERIOR SEAM","肩縫:肩前傾 拷克車合, 壓1/4"" 單針明線 , 肩前傾 從領 到袖攏 要等寬 ,
肩縫內夾車 透明併肩帶"
做工,Z STITCH ON BUTTON  , Z 字縫釦
做工,NECK PATCH : SELF FABRIC W/SNTS CLEAN FINISH INSIDE EDGE,後半月貼:  本布邊緣折光 壓臨邊單針固定
做工,"ARMHOLE : 3/8"" SELF BINDING","袖隴 : 3/8"" 本布滾邊"
做工,PLACKET FACING,門襟貼邊
做工,VENT FACING ,衩貼條
上衣,BODY LENGTH FRONT FROM HPS TO CF HEM / SHIRT TAIL,前身長-從領肩點量量至前中下擺 (含彎弧高)
上衣,BODY LENGTH BACK FROM CBN TOP / SHIRT TAIL,後身長-從領肩點量量至後中下擺(含彎弧高)
上衣,"SHOULDER SLOPE RAGLAN 8"" FROM C.B. NK","肩斜 (拉克蘭) 距後中領縫 8"" "
上衣,"ACROSS FRONT AT 5"" FROM HPS - RAGLAN  Raglan Seam to Raglan Seam","前胸寬-從HPS 下 5""處量 (拉克蘭 縫至縫)"
上衣,"ACROSS BACK AT 5"" FROM HPS - RAGLAN  Raglan Seam to Raglan Seam","後背寬 -從HPS 下5""量 (拉克蘭 縫至縫)"
上衣,BOTTOM SWEEP / STRAIGHT EDGE/AT SHIRTTAIL OPENING EDGE),下擺直量 (彎弧的開口邊量)
上衣,NECKLINE RIB HEIGHT,接領蘿紋高
上衣,SLEEVE LENGTH FROM CENTER BACK/ LONG,袖長後中量
上衣,UNDERARM /SLEEVE INSEAM LENGTH/ LONG (EXCL. CUFF),袖下長 (不含卡夫)
上衣,ARMHOLE STRAIGHT /FRONT RAGLAN - From Necklin e seam to side seam,前拉克蘭袖攏-從領縫量至脇邊
上衣,ARMHOLE STRAIGHT /BACK RAGLAN - From Necklin e seam to side seam,後拉克蘭袖攏-從領縫量至脇邊
上衣,RAGLAN SEAM PLACEMENT AT FRONT NECKLINE DISTANCE APART,前拉克蘭的在前領縫的間距
上衣,RAGLAN SEAM PLACEMENT AT BACK NECKLINE DISTANCE APART,後拉克蘭的在後領縫的間距
上衣,"BICEP / MUSCLE 1"" BELOW ARMHOLE","臂圍腋下1""量"
上衣,SLEEVE OPENING WITH RIB RELAXED,袖口-蘿紋鬆量
上衣,"SLEEVE OPENING WITH RIB EXTENDED / 2"" ABOVE SEAM","袖口-2""縫線上蘿紋拉量"
上衣,SLEEVE OPENING BANDED RIB HEIGHT,袖口蘿紋高
上衣,SHIRTTAIL HEIGHT AT FRONT,前下擺彎弧高
褲,WAISTBAND CIRCUMFERENCE /ELASTIC RELAXED,腰圍整圈-鬆量
褲,WAISTBAND CIRCUMFERENCE /ELASTIC EXTENDED/ STRETCHED,腰圍整圈-拉量
褲,WAISTBAND HEIGHT,腰頭高
褲,HIGH HIP PLACEMENT FROM TOP OF WAISTBAND,上臀圍位置從腰頂下量
褲,HIGH HIP CIRCUMFERENCE/ 3 Point Measurements,上臀圍 - 3點量
褲,LOW HIP PLACEMENT FROM TOP OF WAISTBAND,下臀圍位置從腰頂下
褲,LOW HIP CIRCUMFERENCE / 3 Point Measure ments,下臀圍-3 點量
褲,"THIGH PLACEMENT BELOW CROTCH SEAM/ 1"" Down From Crotch","大腿圍位置從檔底下1""量"
褲,THIGH,大腿圍
褲,KNEE PLACEMENT BELOW CROTCH,膝圍位置從檔底量
褲,KNEE WIDTH FLAT,膝圍平量
褲,LEG OPENING ( STRAIGHT),褲口直量
褲,LEG HEM HEIGHT,褲口高
褲,SWEEP / LEG CUFF HEIGHT,褲口卡夫高
褲,FRONT RISE INCLUDING WAISTBAND,前檔含腰量
褲,BACK RISE INCLUDING WAISTBAND,後檔含腰量
褲,INSEAM / PANT ANKLE / FULL LENGTH,內長-全長
褲,SPACE BETWEEN DRAWCORD EXITS,腰繩鎖眼間距
褲,DRAWCORD EXPOSED TOTAL LENGTH,腰繩外露長度
褲,ONSEAM POCKET POSITION BELOW WAIST SEAM,側縫口袋口位置距腰縫
褲,POCKET OPENING ALONG SIDE SEAM,側縫口袋開口長 
褲,POCKET BAG WIDTH,口袋布寬
褲,POCKET BAG DEPTH AT LONGEST,口袋布長(最長的地方)
褲,ARTWORK PLACEMENT FROM WAISTBAND EDGE,LOGO 位置從腰頭邊量
褲,ARTWORK PLACEMENT FROM WAISTBAND SEAM( FROM WAISTBAND SEAM),LOGO 位置從腰頭縫量
褲,FAUX FLY LENGTH TOTAL,假前立長
褲,FAUX FLY WIDTH,假前立寬
褲,SLASH / SLANT POCKET,斜插口袋
褲,SLANT POCKET OPENING ACROSS WAISTBAND SEAM / BOTTOM EDGE,斜插口袋在腰縫處的寬度
褲,SLANT POCKET OPENING BELOW WAISTBAND SEAM / ALONG SIDE SEAM,斜插口袋在側縫處的長度
褲,POCKET HEM / FINISH HEIGHT,袋口寬度
褲,SIDE TRIM TOTAL WIDTH,側剪接總寬
褲,WB HEIGHT ,腰頭高
褲,ENCASED ELASTIC WB,腰頭內包鬆緊帶
褲,"2 ROWS SNTS TO SECURE ELASTIC,ROWS EVENLY SPACED ON WB","兩道鎖鍊單針固定鬆緊帶,車線的間距平均分配腰高"
褲,POCKETING,口袋布
褲,TOP APPLIED AT SIDE SEAMS WITH SNTS ALONG BOTH EDGE ,貼車於側縫壓臨邊單針於兩側固定
褲,"POCKET BAG=ROUNDED POCKET BAGS CLEAN FINISHED W/1/4""SNTS","口袋布=圓弧形袋布包光壓1/4""單針"
褲,CREATES DRAWSTRING TUNNEL ,形成穿繩的隧道
上衣,Length: HPS front REGULAR,前身長從肩高點 (REGULAR)
上衣,Length: HPS front TALL,前身長從肩高點 (TALL)
上衣,Length: HPS Back REGULAR,後身長從肩高點 (REGULAR)
上衣,Length: HPS Back TALL,後身長從肩高點 (TALL)
上衣,Chest: Width,胸寬
上衣,Sweep: width straight- at SEAM,下擺寬直量-縫量
上衣,Sweep: extended- at SEAM,下擺寬拉量-縫量
上衣,"Sweep: width straight, relaxed, bottom edge",下擺寬直量 (鬆量) 邊量
上衣,"Sweep: extended, bottom edge",下擺寬拉量 邊量
上衣,Sweep: rib / trim height,下擺蘿紋高
上衣,Neck Width: seam to seam,領寬-縫到縫
上衣,Neck Drop: front from HPS to seam,前領深-肩高點到縫
上衣,Neck Drop: back from HPS to seam,後領深-肩高點到縫
上衣,"Hood: Width 7"" up from neck seam at HPS","帽寬- 從肩高點領縫處向上 7"""
上衣,Hood: height from HPS,帽高-從肩高點
上衣,Hood: face opening,帽開口
上衣,Across Front: Width,前胸寬
上衣,Across Front: placement from HPS,前胸寬位置從肩高點
上衣,Across Back: width,後背寬
上衣,Across Back: placement from HPS,後背寬位置從肩高點
上衣,Across Shoulder: width,全肩寬
上衣,Shoulder: slope,肩斜
上衣,Shoulder: seam forward,肩前傾
上衣,Armhole: depth from HPS,袖攏深從肩高點-垂直量
上衣,Upper Arm: width,臂圍寬
上衣,"Elbow @12"" from sleeve opening","肘圍寬從袖口處12""上量"
上衣,Sleeve Opening at cuff seam,袖口寬於縫量
上衣,Sleeve Opening: Long relaxed,袖口寬鬆量
上衣,Sleeve Length: from center back long REGULAR,後中袖長 (REGULAR)
上衣,Sleeve Length: from center back long TALL,後中袖長 (TALL)
上衣,Cuff Height,袖口高
上衣,Welt Pocket Height,口袋唇高
上衣,Pocket Opening-Relaxed,口袋開口平量
上衣,Welt Pocket: placement from Bottom Edge/Band Seam,側口袋位置: 從底邊/接縫處量
上衣,Welt Pocket: placement from Side Seam- vendor to supply grade,側口袋位置: 從側邊量
上衣,Yoke: back height from CB neck,後中剪接高從後中領縫
上衣,Back Sleeve Dart Length,後袖尖褶長
上衣,Dart Depth; folded,尖摺深
上衣,"Logo Placement centered at wearer's left sleeve, from cuff",LOGO 位置從穿者左中袖口
做工,Blindstitch,盲縫車
做工,Single Needle Lockstitch,單針平車
做工,Double Needle Lockstitch,雙針平車
做工,Zig Zag Lockstitch,人字車平車
做工,Buttonhole,鎖眼車
做工,Button Sewing,縫釦機
做工,Bartack,打結車
做工,Single Needle Chainstitch,單針鎖鍊
做工,Double Needle Chainstitch,雙針鎖鍊
