種類,英文,中文,品牌,第一分類,第二分類
衣,CLEAN FINISH,包光,YOC,,
衣,FACING,袋貼,YOC,,
做工,Blindstitch,盲縫車,,,
做工,Single Needle Lockstitch,單針平車,,,
做工,Double Needle Lockstitch,雙針平車,,,
做工,Zig Zag Lockstitch,人字車平車,,,
做工,Buttonhole,鎖眼車,,,
做工,Button Sewing,縫釦機,,,
做工,Bartack,打結車,,,
做工,Single Needle Chainstitch,單針鎖鍊,,,
做工,Double Needle Chainstitch,雙針鎖鍊,,,
做工,Multiple Needle Chainstitch,多針鎖鍊,,,
做工,2 Thread Overlock,二線拷克,,,
做工,3 Thread Overlock,三線拷克,,,
做工,4 Thread Overlock,四線拷克,,,
做工,5 Thread Overlock,五線拷克,,,
做工,Single Needle Chainstitch,單針鎖鍊,,,
做工,3N,3針,,,
做工,2N,2針,,,
做工,WD,"1/4""",,,
做工,NAR,"1/8""",,,
做工,FLOATSTITCH,三本爬網,,,
做工,LINETACK,單針平車回針,,,
做工,COVER STITCH,三本雙針,,,
做工,TRACK STITCH,跨壓雙針,,,
做工,BAR TACK,打結車,,,
做工,"1/4"" TOP ","壓1/4"" 單針",,,
做工,"1/4"" TOP stitch.","壓1/4"" 單針",,,
做工,"3NEEDLES, 5 THREADS",壓三針五線落馬,,,
做工,"1/4""DOUBLE STITCH","壓1/4""雙針",,,
衣,ACROSS SHOULDER,肩寬,,,
衣,BACK LENGTH,後身長 - HPS 量,,,
衣,BICEP,臂圍,,,
衣,BOTTOM RIB HEIGHT,下襬高,,,
衣,CHEST,胸寬-腋下量 (整圈),,,
衣,COLLAR HEIGHT (C.F),領高-前中量,,,
衣,CUFFS OPENING (Normal),袖口寬-整圈鬆量,,,
衣,CUFFS OPENING (Relaxed),袖口寬-整圈拉量,,,
衣,CUFFS RIB HEIGHT,袖口高,,,
衣,FORE ARM,前臂圍,,,
衣,FRONT LENGTH,前身長 - HPS 量,,,
衣,FRONT NECK DEPTH (HPS),前領深-領肩點量,,,
衣,HOOD HEIGHT,帽高,,,
衣,HOOD WIDTH,帽寬-半圈,,,
衣,NECK BAND HEIGHT,領高,,,
衣,NECK WIDTH,領寬,,,
衣,SLEEVE LENGTH,袖長,,,
衣,SWEEP (Relaxed),下擺(鬆量)-整圈,,,
衣,WAIST,腰圍,,,
褲,BACK RISE,後檔 - (不含腰頭量),,,
褲,CALF,小腿圍-距膝下13cm量(整圈),,,
褲,FRONT RISE (Gusset),前檔 - (不含腰頭量),,,
褲,GUSSET HEIGHT,三角襠片長,,,
褲,GUSSET WIDTH,三角襠片寬,,,
褲,HIP,臀圍 - 距檔上7cm處 - 3 點量(整圈),,,
褲,KNEE,膝圍 - 距檔下29cm處量(整圈),,,
褲,LEG OPENING (Extended),褲口拉寬(整圈),,,
褲,LEG OPENING (Normal),褲口鬆寬(整圈),,,
褲,OUTSEAM (EXculded waist band),外身長(不含腰頭),,,
褲,STRING LENGTH,腰繩外露長度,,,
褲,THIGH,"腿圍 - 檔下 1""(整圈)",,,
褲,WAIST (Extended),腰圍 - 頂邊拉量(整圈),,,
褲,WAIST (Relaxed),腰圍 - 頂邊鬆量(整圈),,,
褲,WAIST BAND,腰高,,,
褲,WAIST BAND(BACK),腰高 - 後中量,,,
褲,WAIST BAND(OUTSEAM),腰高 - 脇邊量,,,
褲,WAIST(Relaxed),腰寬 - 平量 - 整圈量,,,
尺寸表,Measure across from shoulder point to shoulder point,從肩點到肩點的寬度。,,,
尺寸表,Measure straight from high point of shoulder to back bottom of body,從領肩點量到後身底端,,,
尺寸表,Measure at armpit point to center sleeve seam. Double this measurement.,在腋下處量到袖子中央接缝的距離x2,,,
尺寸表,Measure the rib height,下襬的高度。,,,
尺寸表,Measure straight from armpit to armpit. Double this measurement.,從腋下到腋下的直線距離x2,,,
尺寸表,Measure from tip to tip of outside edge collar,領口外邊緣的高度,,,
尺寸表,Measure across hem of sleeve opening edge to edge. Double this measurement.,袖口開口的邊到邊量x2 (鬆量),,,
尺寸表,Measure across hem of sleeve opening edge to edge. Double this measurement. (Relaxed),袖口開口的邊到邊量x2 (拉量),,,
尺寸表,Measure the cuffs rib height,袖口的高度。,,,
尺寸表,Measure from edge to edge at 20cm from end of cuffs. Double this measurement. (Standard : M),袖口底端上20cm處的邊到邊量x2 (以 M 碼為標準),,,
尺寸表,Measure straight from high point of shoulder to front bottom of body,從領肩點量到前身底端,,,
尺寸表,Measure distance from high point of shoulder to C.F neck (Collar/Band Excluded),從領肩點量到前中頸的距離（不包括領）。,,,
尺寸表,Measure from high point to sholder point,從最高點到肩膀點的距離。,,,
尺寸表,Measure straight distance seam to seam at Widest poins.,在最寬處的縫線到縫線的直線距離。,,,
尺寸表,Measure from neck join seam to top of neck band,從領部接縫處到領部頂端,,,
尺寸表,Measure straight from neck seam to neck seam,從領口接縫到接縫。,,,
尺寸表,Measure straight from shoulder point to end of cuffs,從肩點直接量到袖口的底端。,,,
尺寸表,Measure straight from side hem to side. Double this measurement. (Relaxed),下襬邊到邊的直量x2(鬆量),,,
尺寸表,Measure straight from edge to edge at 42cm below the center back neck. Double this measurement. (Standard : L),從後領中下42cm量邊到邊直量x2,,,
尺寸表,Measure below waist band to crotch point,從腰縫到襠接縫的距離,,,
尺寸表,Measure from edge to edge at 13cm below the KNEE. Double this measurement. (Standard : M),膝下13cm 邊到邊量x2 (以 M 碼為標準),,,
尺寸表,Measure below waist band to gusset point,從腰縫到襠接縫的距離,,,
尺寸表,Measure gusset length at widest point.,襠底在最長處的長度,,,
尺寸表,Measure gusset width at widest point.,襠底在最寬處的寬度,,,
尺寸表,Measure using 3 point method at 7cm up from crotch. Double this measurement.,距襠上7cm用3點量x2,,,
尺寸表,Measure from edge to edge at 29cm below the crotch. Double this measurement. (Standard : M),襠下29cm 邊到邊量x2 (以 M 碼為標準),,,
尺寸表,Measure across bottom edge to edge of leg opening. Double this measurement. (Extended),從褲口底端邊到邊x2 (拉量),,,
尺寸表,Measure across bottom edge to edge of leg opening. Double this measurement.,從褲口底端邊到邊x2 (鬆量),,,
尺寸表,Measure along outseam from waist seam to bottom edge,從腰接縫到褲子底端的外側接縫量,,,
尺寸表,Measure length of exposure,腰繩外露長度,,,
尺寸表,Measure the edges and edges at the crotch point 1 inch lower end. Double this measurement.,"襠下1"" 邊到邊量x2",,,
尺寸表,Measure edge to edge at top of waist band. Double this measurement. (Extended),腰部頂端邊到邊量X2 (拉量）,,,
尺寸表,Measure edge to edge at top of waist band. Double this measurement. (Relaxed),腰部頂端邊到邊量X2 (鬆量）,,,
尺寸表,Measure from waist band join seam to top of waist band,腰接縫到腰頂端的距離,,,
尺寸表,Measure from waist band join seam to top of waist band,腰接縫到腰頂端的距離,,,
尺寸表,Measure from waist band join seam to top of waist band,腰接縫到腰頂端的距離,,,
尺寸表,Measure edge to edge at top of waist band. Double this measurement. (Relaxed),腰部頂端邊緣到邊緣量X2(平量）,,,
