指定生產線,訂單號,客戶簡碼,款號型体,款號名稱,颜色,款号代码,订单号,下單日期,客戶要求交期,訂單數量,加產數量,總數量,排程时间,"预计出成品
日期",已出口的数量,"未出口
数量"
,VS2501011,SPG,SPG171B10G0,GRAVEL灰色,12罐冰袋,B000054603999,27293,2025/1/8,2025/4/15,1464,0,1464,2025.01.25,2025/4/9,1464,0
,VS2501012,SPG,SPG210K11A0,黑色,"25""多功能旅行袋C0（常規）",B000049900199,27293,2025/1/8,2025/4/15,2008,0,2008,2025.01.25,待WF回复,2008,0
,VS2501012,SPG,SPG210K5T0,棕色 CARHARTT BROWN,女士生活用品袋C0（常規）,B000051221199,27293,2025/1/8,2025/4/15,2040,0,2040,2025.01.25,待WF回复,2040,0
,VS2501012,SPG,SPG210K8A0,黑色,手提午餐袋C0（常規）,B000054300199,27293,2025/1/8,2025/4/15,2272,0,2272,2025.01.25,待WF回复,2272,0
,VS2501012,SPG,SPG210K8T0,棕色 CARHARTT BROWN,手提午餐袋C0（常規）,B000054321199,27293,2025/1/8,2025/4/15,2000,0,2000,2025.01.25,2025/4/3,2000,0
,VS2501013,TLP,TLP100G19G5,GREY/灰色,"39""西裝套",40218AE05,OB#13100,2025/1/9,2025/4/29,800,1,801,2025.01.25,2025/4/8,801,0
,VS2501014,TLP,TLP120B18.5B0,AVIATOR NAVY / 海藍色,"18.5""大號電腦背包",430245822,OB#13099,2025/1/9,2025/4/22,600,1,601,2025.01.25,2025/4/20,601,0
,VS2501014,TLP,TLP120D9G0,FALCON GREY / 灰色,"9""組織功能袋",43024AZ05,OB#13099,2025/1/9,2025/4/29,600,1,601,2025.01.25,2025/4/16,601,0
,VS2501014,TLP,TLP120D9B0,AVIATOR NAVY / 海藍色,"9""組織功能袋",43024AZ22,OB#13099,2025/1/9,2025/4/29,600,1,601,2025.01.25,2025/4/21,601,0
,VS2501014,TLP,TLP120B17.5B0,AVIATOR NAVY / 海藍色,"17.5""小號電腦背包",430240622,OB#13099,2025/1/9,2025/4/29,600,1,601,2025.01.25,2025/4/24,601,0
,VS2501014,TLP,TLP120B18G0,FALCON GREY / 灰色,"18""中號電腦背包",430240005,OB#13099,2025/1/9,2025/5/2,600,1,601,2025.01.25,2025/5/3,601,0
,VS2501014,TLP,TLP120B18B0,AVIATOR NAVY / 海藍色,"18""中號電腦背包",430240022,OB#13099,2025/1/9,2025/5/2,600,1,601,2025.01.25,2025/5/12,601,0
,VS2501015,SAM,SAM220K15N0,深藍色NAVY,"15.55""背包（ Backpack）",149196-1596,NA01263457,2025/1/12,2025/6/6,300,0,300,2025.01.25,2025/5/26,300,0
,VS2501015,SAM,SAM220K15W0,白色OFF-WHITE,"15.55""背包（ Backpack）",149196-1627,NA01263457,2025/1/12,2025/6/6,350,0,350,2025.01.25,2025/5/28,350,0
,VS2501015,SAM,SAM220K15L0,橄欖綠PINE GREEN,"15.55""背包（ Backpack）",149196-1693,NA01263457,2025/1/12,2025/6/6,450,0,450,2025.01.25,2025/5/29,450,0
,VS2501015,SAM,SAM220K12W0,白色OFF-WHITE,"17.71""旅行袋(Weekender)",149197-1627,NA01263457,2025/1/12,2025/6/6,200,0,200,2025.01.25,2025/4/23,200,0
,VS2501017,CAU,CIW029C8Z1,Z1/四維立體印花,"8""方形午餐袋",10004622,SL006821~SL006832,2025/1/14,2025/5/19,81920,5,81925,2025.01.25,2025/5/15,81925,0
,VS2501017,CAU,CIW015C10-2A0,A0/黑色/灰色,"10-2""側開午餐袋(無插扣)",10004630,SL006821~SL006832,2025/1/14,2025/5/12,28288,5,28293,2025.01.25,2025/5/26,28293,0
,VS2501018,CAU,CIW063C12Z0,橄欖綠/Z0,16罐無拉鏈冰袋,10003036,BLK_SL006239B~6240B,2025/1/14,2025/3/30,40000,5,40005,2025/1/25,2025/4/14,32248,7757
,VS2501018,CAU,CIW063C9Z0,橄欖綠/Z0,9罐無拉鏈冰袋,10003035,BLK_SL006239B~6240B,2025/1/14,2025/3/30,40000,5,40005,2025.01.25,2025/4/2,40005,0
,VS2501019,CAU,CIC015C09Z5,Z5/黑色,"10""EVA壓膜午餐袋",10005764,SL006820,2025/1/14,2025/2/27,3000,5,3005,2025.01.25,2025/2/21,3005,0
,VS2501019,CAU,CIC015C09Z7,Z7/深藍19-4042TPG,"10""EVA壓膜午餐袋",10005764,SL006820,2025/1/14,2025/2/27,1500,5,1505,2025.01.25,2025/2/14,1505,0
,VS2501019,CAU,CIC015C09Z8,Z8/石灰色15-4305TPG,"10""EVA壓膜午餐袋",10005765,SL006820,2025/1/14,2025/2/27,1500,5,1505,2025.01.25,2025/2/23,1505,0
,VS2501020,CAU,CIW211C12B1,B1/海藍色19-4042TPG,12罐無拉鏈冰袋,10005501,BLK_SL006241,2025/1/16,2025/3/31,440,0,440,2025.01.25,2025/3/22,440,0
,VS2501021,SPG,SPG200K12T0,棕色CARHARTT BROWN,可收纳旅行袋,B000056421199,27355,2025/1/21,2025/5/7,2070,0,2070,2025.01.25,2025/4/29,2070,0
,VS2501021,SPG,SPG200K12A0,黑色BLACK,可收納旅行袋,B000056400199,27355,2025/1/21,2025/5/7,2070,0,2070,2025.01.25,2025/5/3,2070,0
,VS2501022,SPG,SPG200K20T0,CARHARTT BROWN 棕色,20寸潛水裝備袋,B000056521199,27356,2025/1/21,2025/5/7,6288,0,6288,2025.01.25,2025/5/13,6288,0
,VS2501023,SPG,SPG200K14T0,棕色 CARHARTT BROWN,14寸工具袋,B000057521199,27357,2025/1/21,2025/6/7,5412,0,5412,2025.01.25,2025/5/26,5412,0
,VS2501024,SPG,SPG200K16T0,棕色CARHARTT BROWN,冰袋背包（SANMAR),B000056821199,27358,2025/1/21,2025/6/7,2004,0,2004,2025.01.25,2025/6/2,2004,0
,VS2502001,CAU,CIW063C9Z0,橄欖綠/Z0,9罐無拉鏈冰袋,10003035,BLK_SL006239C~6240C,2025/2/5,2025/5/9,20000,5,20005,2025/2/10,2025/4/25,5584,14421
,VS2502001,CAU,CIW063C12Z0,橄欖綠/Z0,16罐無拉鏈冰袋,10003036,BLK_SL006239C~6240C,2025/2/5,2025/5/9,20000,5,20005,2025.02.10,2025/5/13,20005,0
,VS2502002,CAU,CIS020C26Z14,Z14/粉色,"SAM'S 26""大購物袋",2173SUP18001,BLK_SL006236B,2025/2/5,2025/4/14,54180,5,54185,2025.02.10,2025/4/25,54185,0
,VS2502002,CAU,CIS020C26Z15,Z15/深綠,"SAM'S 26""大購物袋",2173SUP18001,BLK_SL006236B,2025/2/5,2025/4/14,57792,5,57797,2025.02.10,2025/4/25,57797,0
,VS2502002,CAU,CIS020C26Z16,Z16/藍色豎向條紋印花,"SAM'S 26""大購物袋",2173SUP18001,BLK_SL006236B,2025/2/5,2025/4/14,75852,5,75857,2025.02.10,2025/4/25,75857,0
,VS2502002,CAU,CIS020C26Z09,Z09/紅白橫向條紋印花,"SAM'S 26""大購物袋",2173SUP18001,BLK_SL006236B,2025/2/5,2025/4/14,65016,5,65021,2025.02.10,2025/4/25,65021,0
,VS2502003,SPG,SPG210K05T0,棕色 CARHARTT BROWN,手提包C0（常規）,B000055521199,27372,2025/2/5,2025/4/28,2016,0,2016,2025.02.10,待WF回复,2016,0
,VS2502003,SPG,SPG210K8A0,黑色,手提午餐袋C0（常規）,B000054300199,27372,2025/2/5,2025/4/28,4464,0,4464,2025.02.10,待WF回复,4464,0
,VS2502004,SPG,SPG171B10A0,BLACK黑色,12罐冰袋,B000054600199,27372,2025/2/5,2025/4/28,3756,0,3756,2025.02.10,2025/4/25,3756,0
,VS2502004,SPG,SPG171B10G0,GRAVEL灰色,12罐冰袋,B000054603999,27372,2025/2/5,2025/4/28,1164,0,1164,2025.02.10,2025/4/29,1164,0
,VS2502004,SPG,SPG171B10T0,CARHARTT BROWN棕色,12罐冰袋,B000054621199,27372,2025/2/5,2025/4/28,4440,0,4440,2025.02.10,2025/5/3,4440,0
,VS2502005,SPG,SPG210K05T0,棕色 CARHARTT BROWN,手提包C0（常規）,B000055521199,27381,2025/2/5,2025/4/30,2016,0,2016,2025.02.10,待WF回复,2016,0
,VS2502005,SPG,SPG210K11T0,棕色 CARHARTT BROWN,"25""多功能旅行袋C0（常規）",B000049921199,27381,2025/2/5,2025/4/30,2008,0,2008,2025.02.10,待WF回复,2008,0
,VS2502006,SPG,SPG171B10A0,BLACK黑色,12罐冰袋,B000054600199,27381,2025/2/5,2025/4/30,4200,0,4200,2025.02.10,2025/5/8,4200,0
,VS2502007,SPG,SPG200K12T0,棕色CARHARTT BROWN,可收纳旅行袋,B000056421199,27392,2025/2/5,2025/5/7,1008,0,1008,2025.02.10,2025/4/10,1008,0
,VS2502008,SPG,SPG200K151G0,灰色GRAVEL,高級午餐冰袋（LEEDS),B000057103999,27431,2025/2/6,2025/5/7,1008,0,1008,2025.02.10,2025/5/3,1008,0
,VS2502008,SPG,SPG200K151T0, 棕色(CARHARTT BROWN),高級午餐冰袋（LEEDS）,B000057121199,27431,2025/2/6,2025/5/7,2016,0,2016,2025.02.10,2025/5/5,2016,0
,VS2502008,SPG,SPG200K151A0,黑色 BLACK,高級午餐冰袋（LEEDS）,B000057100199,27431,2025/2/6,2025/5/7,2232,0,2232,2025.02.10,2025/5/7,2232,0
,VS2502008,SPG,SPG200K12T0,棕色CARHARTT BROWN,可收纳旅行袋,B000056421199,27431,2025/2/6,2025/5/7,756,0,756,2025.02.10,2025/4/12,756,0
,VS2502008,SPG,SPG200K12A0,黑色BLACK,可收納旅行袋,B000056400199,27431,2025/2/6,2025/5/7,756,0,756,2025.02.10,2025/4/13,756,0
,VS2502009,SPG,SPG171B10T0,CARHARTT BROWN棕色,12罐冰袋,B000054621199,27433,2025/2/6,2025/5/13,2004,0,2004,2025.02.10,2025/5/13,2004,0
,VS2502009,SPG,SPG171B10A0,BLACK黑色,12罐冰袋,B000054600199,27433,2025/2/6,2025/5/13,2004,0,2004,2025.02.10,2025/5/15,2004,0
,VS2502010,SPG,SPG210K8T0,棕色 CARHARTT BROWN,手提午餐袋C0（常規）,B000054321199,27434,2025/2/6,2025/5/13,2000,0,2000,2025.02.10,待WF回复,2000,0
,VS2502010,SPG,SPG210K05T0,棕色 CARHARTT BROWN,手提包C0（常規）,B000055521199,27434,2025/2/6,2025/5/13,4326,0,4326,2025.02.10,待WF回复,4326,0
,VS2502010,SPG,SPG210K05A0,黑色BLACK,手提包C0（常規）,B000055500199,27434,2025/2/6,2025/5/13,2016,0,2016,2025.02.10,待WF回复,2016,0
,VS2502010,SPG,SPG210K8A0,黑色,手提午餐袋C0（常規）,B000054300199,27434,2025/2/6,2025/5/13,9584,0,9584,2025.02.10,待WF回复,9584,0
,VS2502010,SPG,SPG210K162A0,黑色BLACK,16寸工具袋C0（常規）,B000051800199,27434,2025/2/6,2025/5/13,2007,0,2007,2025.02.10,2025/5/15,2007,0
,VS2502010,SPG,SPG210K11T0,棕色 CARHARTT BROWN,"25""多功能旅行袋C0（常規）",B000049921199,27434,2025/2/6,2025/5/13,2008,0,2008,2025.02.10,待WF回复,2008,0
,VS2502010,SPG,SPG210K131A0,BLACK 黑色,工具袋,B000052100199,27434,2025/2/6,2025/5/13,2040,0,2040,2025.02.10,2025/4/14,2040,0
,VS2502011,SPG,SPG171B10A0,BLACK黑色,12罐冰袋,B000054600199,27434,2025/2/6,2025/5/13,4536,0,4536,2025.02.10,2025/5/17,4536,0
,VS2502011,SPG,SPG171B10T0,CARHARTT BROWN棕色,12罐冰袋,B000054621199,27434,2025/2/6,2025/5/13,4344,0,4344,2025.02.10,2025/5/21,4344,0
,VS2502012,WIP,WIP020K05O0,OXIDE GREEN有氧綠色,PRESCOTT錢包,S00007272,20250113,2025/2/7,2025/4/11,38,2,40,2025.02.10,样本,40,0
,VS2502012,WIP,WIP020K15A0,BLACK黑色,PRESCOTT 單肩包,S00007256,20250113,2025/2/7,2025/4/11,38,4,42,2025.02.10,样本,42,0
,VS2502012,WIP,WIP020K16A0,BLACK黑色,PRESCOTT手提袋,S00007273,20250113,2025/2/7,2025/4/11,38,2,40,2025.02.10,样本,40,0
,VS2502012,WIP,WIP020K06O0,OXIDE GREEN氧化綠色,PRESCOT肩袋,S00007249,20250113,2025/2/7,2025/4/11,38,2,40,2025.02.10,样本,40,0
,VS2502012,WIP,WIP020B18O0,OXIDE GREEN 氧化綠色,PRESCOTT背包,S00007253,20250113,2025/2/7,2025/4/11,38,2,40,2025.02.10,样本,40,0
,VS2502013,VIC,VIC170-2B17A0,BLACK黑色,背包1（肩帶尾調節方式改同VIC150）,602151,304908,2025/2/7,2025/6/9,1000,0,1000,2025.02.10,2025/5/15,1000,0
,VS2502013,VIC,VIC170-2B18-1A0,BLACK黑色,背包6（肩帶尾改成同VIC150）,602154,304908,2025/2/7,2025/6/9,2000,0,2000,2025.02.10,2025/5/23,2000,0
,VS2502013,VIC,VIC170-2B18A0,BLACK黑色,背包5（肩帶尾調節方式改同VIC150）,602153,304908,2025/2/7,2025/6/9,1000,0,1000,2025.02.10,2025/5/14,1000,0
,VS2502014,VIC,VIC261D19A0,黑色,19寸登機旅行袋全球版,612423,304908,2025/2/7,2025/6/9,500,0,500,2025.02.10,2025/5/21,500,0
,VS2502015,CAU,CIC015C39Z1,Z1/藏藍19-4111TPG,COSTCO 2025 40罐塑料蓋子折疊冰袋,10005512,SL006853,2025/2/9,2025/5/1,1440,5,1445,2025.02.10,2025/4/23,1445,0
,VS2502016,SAM,SAM100B17.3A0,黑色/槍色,"17.3""背包(NU ROAD)",140499-T522,NA01273129,2025/2/10,2025/6/1,500,1,501,2025.02.10,2025/5/15,501,0
,VS2502016,SAM,SAM100K12B0,深藍色/槍色,"12""懸掛式化妝包(NU ROAD)",140505-9551,NA01273129,2025/2/10,2025/6/1,500,1,501,2025.02.10,2025/5/5,501,0
,VS2502016,SAM,SAM101B14A1,黑色/玫瑰金,14.1''背包(NU ROAD),140554-T062,NA01273129,2025/2/10,2025/6/1,500,1,501,2025.02.10,2025/5/16,501,0
,VS2502017,VIC,VIC261D19A0,黑色,19寸登機旅行袋全球版,612423,304908,2025/2/10,2025/5/11,3,0,3,2025.02.10,样本,3,0
,VS2502018,SPG,SPG210K05Z0,鴨子迷彩BLIND DUCK CAMO,手提包C0,B000055590299,27444,2025/2/10,2025/5/15,2184,0,2184,2025.02.12,2025/5/20,2184,0
,VS2502019,SPG,SPG210K05Z0,鴨子迷彩BLIND DUCK CAMO,手提包C0,B000055590299,27444,2025/2/10,2025/3/31,9,0,9,2025.02.12,样本,9,0
,VS2502020,VIC,VIC170-2B18A0,BLACK黑色,背包5（肩帶尾調節方式改同VIC150）,602153,304908,2025/2/10,2025/4/30,2,0,2,2025.02.12,样本,2,0
,VS2502021,CAU,CIS021C01Z03,Z03/CSI 205684-藏藍,"SAM'S 26""大購物袋-經典版 4087SU RC",2173SUP18001,BLK_SL006236C,2025/2/11,2025/6/26,72240,20,72260,2025.02.12,2025/5/25,72260,0
,VS2502021,CAU,CIS021C01Z04,Z04/CSI 2032726-淡紅,"SAM'S 26""大購物袋-經典版 4087SU RC",2173SUP18001,BLK_SL006236C,2025/2/11,2025/6/26,65016,20,65036,2025.02.12,2025/5/25,65036,0
,VS2502021,CAU,CIS021C01Z07,Z07/米白+深綠,"SAM'S 26""大購物袋-經典版 4087SU RC",2173SUP18001,BLK_SL006236C,2025/2/11,2025/6/26,57792,20,57812,2025.02.12,2025/5/25,57812,0
,VS2502021,CAU,CIS021C01Z09,Z09/米白+酒紅,"SAM'S 26""大購物袋-經典版 4087SU RC",2173SUP18001,BLK_SL006236C,2025/2/11,2025/6/26,57792,20,57812,2025.02.12,2025/6/15,57812,0
,VS2502023,SPG,SPG210K11A0,黑色,"25""多功能旅行袋C0（常規）",B000049900199,27293,2025/2/11,2025/4/6,3,0,3,2025.02.12,样本,3,0
,VS2502023,SPG,SPG171B10A0,BLACK黑色,12罐冰袋,B000054600199,27293,2025/2/11,2025/4/6,3,0,3,2025.02.12,样本,3,0
,VS2502024,SPG,SPG210K8A0,黑色,手提午餐袋C0（常規）,B000054300199,27479,2025/2/14,2025/6/3,13216,0,13216,2025.02.18,2025/5/23,13216,0
,VS2502024,SPG,SPG210K8T0,棕色 CARHARTT BROWN,手提午餐袋C0（常規）,B000054321199,27479,2025/2/14,2025/6/3,12176,0,12176,2025.02.18,2025/6/4,12176,0
,VS2502024,SPG,SPG210K05A0,黑色BLACK,手提包C0（常規）,B000055500199,27479,2025/2/14,2025/6/3,2016,0,2016,2025.02.18,2025/6/10,2016,0
,VS2502024,SPG,SPG210K05T0,棕色 CARHARTT BROWN,手提包C0（常規）,B000055521199,27479,2025/2/14,2025/6/3,2016,0,2016,2025.02.18,2025/6/11,2016,0
,VS2502025,SPG,SPG171B10A0,BLACK黑色,12罐冰袋,B000054600199,27479,2025/2/14,2025/6/3,14496,0,14496,2025.02.18,2025/5/2,14496,0
,VS2502025,SPG,SPG171B10G0,GRAVEL灰色,12罐冰袋,B000054603999,27479,2025/2/14,2025/6/3,912,0,912,2025.02.18,2025/5/18,912,0
,VS2502025,SPG,SPG171B10T0,CARHARTT BROWN棕色,12罐冰袋,B000054621199,27479,2025/2/14,2025/6/3,7728,0,7728,2025.02.18,2025/5/19,7728,0
,VS2502026,SPG,SPG200K11A0,黑色BLACK,工具手提包,B000057400199,20250219,2025/2/18,2025/3/30,2,0,2,2025.02.23,样本,2,0
,VS2502026,SPG,SPG200K10G0, 灰色(GREY),長方冰袋,B000057003999,20250219,2025/2/18,2025/3/30,2,0,2,2025.02.23,样本,2,0
,VS2502026,SPG,SPG200K16T0,棕色CARHARTT BROWN,冰袋背包（SANMAR),B000056821199,20250219,2025/2/18,2025/3/30,2,0,2,2025.02.23,样本,2,0
,VS2502026,SPG,SPG200K151A0,黑色 BLACK,高級午餐冰袋（LEEDS）,B000057100199,20250219,2025/2/18,2025/3/30,2,0,2,2025.02.23,样本,2,0
,VS2502026,SPG,SPG200K12T0,棕色CARHARTT BROWN,可收纳旅行袋,B000056421199,20250219,2025/2/18,2025/3/30,2,0,2,2025.02.23,样本,2,0
,VS2502026,SPG,SPG200K20G0,灰色,20寸潛水裝備袋,B000056503999,20250219,2025/2/18,2025/3/30,2,0,2,2025.02.23,样本,2,0
,VS2502027,CAU,CIT014C14G0,灰色/G0,24罐無拉鏈冰袋,10001065,BLK-SL006068C,2025/2/18,2025/4/11,26000,5,26005,2025.02.25,2025/4/3,26005,0
,VS2502027,CAU,CIT014C14L0,淺湖綠色/L0,24罐無拉鏈冰袋,10001576,BLK-SL006068C,2025/2/18,2025/5/15,10000,5,10005,2025.02.25,2025/5/2,10005,0
,VS2502028,SPG,SPG210K05T0,棕色 CARHARTT BROWN,手提包C0（常規）,B000055521199,27505,2025/2/19,2025/5/24,924,0,924,2025.02.25,2025/6/2,924,0
,VS2502029,SPG,SPG210K05A0,黑色BLACK,手提包C0（常規）,B000055500199,27514,2025/2/19,2025/5/24,1050,0,1050,2025.02.25,2025/6/2,1050,0
,VS2502030,SPG,SPG200K12T0,棕色CARHARTT BROWN,可收纳旅行袋,B000056421199,27516,2025/2/19,2025/7/7,7128,0,7128,2025.02.25,2025/6/7,7128,0
,VS2502031,SPG,SPG200K11A0,黑色BLACK,工具手提包,B000057400199,27522,2025/2/19,2025/7/7,2796,0,2796,2025.02.25,2025/6/17,2796,0
,VS2502032,SPG,SPG200K16T0,棕色CARHARTT BROWN,冰袋背包（SANMAR),B000056821199,27523,2025/2/19,2025/7/7,2376,0,2376,2025.02.25,2025/6/6,2376,0
,VS2502033,SPG,SPG200K14T0,棕色 CARHARTT BROWN,14寸工具袋,B000057521199,27524,2025/2/19,2025/7/7,2160,0,2160,2025.02.25,2025/6/7,2160,0
,VS2502034,SPG,SPG200K151T0, 棕色(CARHARTT BROWN),高級午餐冰袋（LEEDS）,B000057121199,27525,2025/2/19,2025/7/7,5112,0,5112,2025.02.25,2025/5/27,5112,0
,VS2502035,SPG,SPG200K20T0,CARHARTT BROWN 棕色,20寸潛水裝備袋,B000056521199,27526,2025/2/19,2025/7/7,3396,0,3396,2025.02.25,2025/5/29,3396,0
,VS2502036,SPG,SPG200K30T0, 棕色CARHARTT BROWN,SANMAR 30寸裝備袋,B000056621199,27527,2025/2/19,2025/7/7,2000,0,2000,2025.02.25,2025/6/3,2000,0
,VS2502037,SPG,SPG210K8A0,黑色,手提午餐袋C0（常規）,B000054300199,27535,2025/2/19,2025/6/1,11840,0,11840,2025.02.25,2025/5/5,11840,0
,VS2502037,SPG,SPG210K8T0,棕色 CARHARTT BROWN,手提午餐袋C0（常規）,B000054321199,27535,2025/2/19,2025/6/1,10400,0,10400,2025.02.25,2025/5/15,10400,0
,VS2502037,SPG,SPG210K05A0,黑色BLACK,手提包C0（常規）,B000055500199,27535,2025/2/19,2025/6/1,3486,0,3486,2025.02.25,2025/6/3,3486,0
,VS2502037,SPG,SPG210K05A0,黑色BLACK,手提包C0（常規）,B000055500199,27535,2025/2/19,2025/6/1,2436,0,2436,2025.02.25,2025/6/4,2436,0
,VS2502038,SAM,SAM100B17.3B0,深藍色/槍色,"17.3""背包(NU ROAD)",140499-9551,NA01281022,2025/2/24,2025/6/17,500,1,501,2025.02.25,2025/5/21,501,0
,VS2502038,SAM,SAM100T19A0,黑色/槍色,"19""四輪登機箱(NU ROAD)",140504-T522,NA01281022,2025/2/24,2025/6/17,500,1,501,2025.02.25,2025/5/26,501,0
,VS2502038,SAM,SAM101T19A1,黑色/玫瑰金,19''四輪登機箱(NU ROAD),140555-T062,NA01281022,2025/2/24,2025/6/17,500,1,501,2025.02.25,2025/6/2,501,0
,VS2502039,WIP,WIP010K16T0,HAMILTON BROWN 棕色,兩用冰袋,I034760,20250228,2025/2/27,2025/4/30,41,6,47,2025.03.01,样品,47,0
,VS2502040,SPG,SPG200K12T0,棕色CARHARTT BROWN,可收纳旅行袋,B000056421199,27392,2025/2/27,2025/4/13,2,0,2,2025.03.01,2025/4/10,2,0
,VS2502041,SPG,SPG200K12T0,棕色CARHARTT BROWN,可收纳旅行袋,B000056421199,27431,2025/2/27,2025/5/7,4,0,4,2025.03.01,2025/4/13,4,0
,VS2502041,SPG,SPG200K12A0,黑色BLACK,可收納旅行袋,B000056400199,27431,2025/2/27,2025/5/7,4,0,4,2025.03.01,2025/4/13,4,0
,VS2502042,STA,STA010B17B,藍色(BLUE),17''雙肩背包,VC4900×CP,待提供,2025/2/27,2025/5/4,4800,15,4815,2025.03.12,2025/5/10,4815,0
