訂單號,訂單序號,訂單版本,主鍵標示,客戶簡稱,客戶簡碼,款號,款號名稱,COLORWAY,客戶款號代碼,訂單數量,加產數量,客戶訂單號,款號尺寸,下單日期,客戶要求交期,建立日期,生效日期
VS2501018,2,1,VS2501018-2,CALIFORNIA INNOVATIONS,CAU,CIW063C12Z0,16罐無拉鏈冰袋,橄欖綠/Z0,10003036,40000,5,BLK_SL006239B~6240B,,2025/1/14,2025/3/30 下午 11:00:00,2025/1/15,2025/1/18
VS2501019,1,1,VS2501019-1,CALIFORNIA INNOVATIONS,CAU,CIC015C09Z5,"10""EVA壓膜午餐袋",Z5/黑色,10005764,3000,5,SL006820,,2025/1/14,2025/2/27 下午 11:00:00,2025/1/15,2025/1/16
VS2501019,2,1,VS2501019-2,CALIFORNIA INNOVATIONS,CAU,CIC015C09Z7,"10""EVA壓膜午餐袋",Z7/深藍19-4042TPG,10005764,1500,5,SL006820,,2025/1/14,2025/2/27 下午 11:00:00,2025/1/15,2025/1/16
VS2501019,3,1,VS2501019-3,CALIFORNIA INNOVATIONS,CAU,CIC015C09Z8,"10""EVA壓膜午餐袋",Z8/石灰色15-4305TPG,10005765,1500,5,SL006820,,2025/1/14,2025/2/27 下午 11:00:00,2025/1/15,2025/1/16
VS2501020,1,1,VS2501020-1,CALIFORNIA INNOVATIONS,CAU,CIW211C12B1,12罐無拉鏈冰袋,B1/海藍色19-4042TPG,10005501,440,0,BLK_SL006241,,2025/1/16,2025/3/31 下午 11:00:00,2025/1/17,2025/1/18
VS2501021,1,1,VS2501021-1,SPG,SPG,SPG200K12T0,可收纳旅行袋,棕色CARHARTT BROWN,B000056421199,2070,0,27355,,2025/1/21,2025/6/7 下午 11:00:00,2025/1/22,2025/2/6
VS2501021,2,1,VS2501021-2,SPG,SPG,SPG200K12A0,可收納旅行袋,黑色BLACK,B000056400199,2070,0,27355,,2025/1/21,2025/6/7 下午 11:00:00,2025/1/22,2025/2/6
VS2501022,1,1,VS2501022-1,SPG,SPG,SPG200K20T0,20寸潛水裝備袋,CARHARTT BROWN 棕色,B000056521199,6288,0,27356,,2025/1/21,2025/6/7 下午 11:00:00,2025/1/22,2025/2/6
VS2501023,1,1,VS2501023-1,SPG,SPG,SPG200K14T0,14寸工具袋,棕色 CARHARTT BROWN,B000057521199,5412,0,27357,,2025/1/21,2025/6/7 下午 11:00:00,2025/1/22,2025/2/6
VS2501024,1,1,VS2501024-1,SPG,SPG,SPG200K16T0,冰袋背包（SANMAR),棕色CARHARTT BROWN,B000056821199,2004,0,27358,,2025/1/21,2025/6/7 下午 11:00:00,2025/1/22,2025/2/6
VS2502001,1,1,VS2502001-1,CALIFORNIA INNOVATIONS,CAU,CIW063C9Z0,9罐無拉鏈冰袋,橄欖綠/Z0,10003035,20000,5,BLK_SL006239C~6240C,,2025/2/6,2025/5/10,2025/2/6,2025/2/7
VS2502001,2,1,VS2502001-2,CALIFORNIA INNOVATIONS,CAU,CIW063C12Z0,16罐無拉鏈冰袋,橄欖綠/Z0,10003036,20000,5,BLK_SL006239C~6240C,,2025/2/6,2025/5/10,2025/2/6,2025/2/7
VS2502002,1,1,VS2502002-1,CALIFORNIA INNOVATIONS,CAU,CIS020C26Z14,"SAM'S 26""大購物袋",Z14/粉色,2173SUP18001,54180,5,BLK_SL006236B,,2025/2/6,2025/4/15,2025/2/6,2025/2/12
VS2502002,2,1,VS2502002-2,CALIFORNIA INNOVATIONS,CAU,CIS020C26Z15,"SAM'S 26""大購物袋",Z15/深綠,2173SUP18001,57792,5,BLK_SL006236B,,2025/2/6,2025/4/15,2025/2/6,2025/2/12
VS2502002,3,1,VS2502002-3,CALIFORNIA INNOVATIONS,CAU,CIS020C26Z16,"SAM'S 26""大購物袋",Z16/藍色豎向條紋印花,2173SUP18001,75852,5,BLK_SL006236B,,2025/2/6,2025/4/15,2025/2/6,2025/2/12
VS2502002,4,1,VS2502002-4,CALIFORNIA INNOVATIONS,CAU,CIS020C26Z09,"SAM'S 26""大購物袋",Z09/紅白橫向條紋印花,2173SUP18001,65016,5,BLK_SL006236B,,2025/2/6,2025/4/15,2025/2/6,2025/2/12
VS2502003,1,1,VS2502003-1,SPG,SPG,SPG210K05T0,手提包C0（常規）,棕色 CARHARTT BROWN,B000055521199,2016,0,27372,,2025/2/6,2025/4/29,2025/2/6,2025/2/10
VS2502003,2,1,VS2502003-2,SPG,SPG,SPG210K8A0,手提午餐袋C0（常規）,黑色,B000054300199,4464,0,27372,,2025/2/6,2025/4/29,2025/2/6,2025/2/10
VS2502004,1,1,VS2502004-1,SPG,SPG,SPG171B10A0,12罐冰袋,BLACK黑色,B000054600199,3756,0,27372,,2025/2/6,2025/4/29,2025/2/6,2025/2/10
VS2502004,2,1,VS2502004-2,SPG,SPG,SPG171B10G0,12罐冰袋,GRAVEL灰色,B000054603999,1164,0,27372,,2025/2/6,2025/4/29,2025/2/6,2025/2/10
VS2502004,3,1,VS2502004-3,SPG,SPG,SPG171B10T0,12罐冰袋,CARHARTT BROWN棕色,B000054621199,4440,0,27372,,2025/2/6,2025/4/29,2025/2/6,2025/2/10
VS2502005,1,1,VS2502005-1,SPG,SPG,SPG210K05T0,手提包C0（常規）,棕色 CARHARTT BROWN,B000055521199,2016,0,27381,,2025/2/6,2025/5/1,2025/2/6,2025/2/10
VS2502005,2,1,VS2502005-2,SPG,SPG,SPG210K11T0,"25""多功能旅行袋C0（常規）",棕色 CARHARTT BROWN,B000049921199,2008,0,27381,,2025/2/6,2025/5/1,2025/2/6,2025/2/10
VS2502006,1,1,VS2502006-1,SPG,SPG,SPG171B10A0,12罐冰袋,BLACK黑色,B000054600199,4200,0,27381,,2025/2/6,2025/5/1,2025/2/6,2025/2/10
VS2502007,1,1,VS2502007-1,SPG,SPG,SPG200K12T0,可收纳旅行袋,棕色CARHARTT BROWN,B000056421199,1008,0,27392,,2025/2/6,2025/4/8,2025/2/6,2025/2/10
VS2502008,1,1,VS2502008-1,SPG,SPG,SPG200K151G0,高級午餐冰袋（LEEDS),灰色GRAVEL,B000057103999,1008,0,27431,,2025/2/7,2025/5/8,2025/2/7,2025/2/10
VS2502008,2,1,VS2502008-2,SPG,SPG,SPG200K151T0,高級午餐冰袋（LEEDS）, 棕色(CARHARTT BROWN),B000057121199,2016,0,27431,,2025/2/7,2025/5/8,2025/2/7,2025/2/10
VS2502008,3,1,VS2502008-3,SPG,SPG,SPG200K151A0,高級午餐冰袋（LEEDS）,黑色 BLACK,B000057100199,2232,0,27431,,2025/2/7,2025/5/8,2025/2/7,2025/2/10
VS2502008,4,1,VS2502008-4,SPG,SPG,SPG200K12T0,可收纳旅行袋,棕色CARHARTT BROWN,B000056421199,756,0,27431,,2025/2/7,2025/5/8,2025/2/7,2025/2/10
VS2502008,5,1,VS2502008-5,SPG,SPG,SPG200K12A0,可收納旅行袋,黑色BLACK,B000056400199,756,0,27431,,2025/2/7,2025/5/8,2025/2/7,2025/2/10
VS2502009,1,1,VS2502009-1,SPG,SPG,SPG171B10T0,12罐冰袋,CARHARTT BROWN棕色,B000054621199,2004,0,27433,,2025/2/7,2025/5/14,2025/2/7,2025/2/10
VS2502009,2,1,VS2502009-2,SPG,SPG,SPG171B10A0,12罐冰袋,BLACK黑色,B000054600199,2004,0,27433,,2025/2/7,2025/5/14,2025/2/7,2025/2/10
VS2502010,1,1,VS2502010-1,SPG,SPG,SPG210K8T0,手提午餐袋C0（常規）,棕色 CARHARTT BROWN,B000054321199,2000,0,27434,,2025/2/7,2025/5/14,2025/2/7,2025/2/10
VS2502010,2,1,VS2502010-2,SPG,SPG,SPG210K05T0,手提包C0（常規）,棕色 CARHARTT BROWN,B000055521199,4326,0,27434,,2025/2/7,2025/5/14,2025/2/7,2025/2/10
VS2502010,3,1,VS2502010-3,SPG,SPG,SPG210K05A0,手提包C0（常規）,黑色BLACK,B000055500199,2016,0,27434,,2025/2/7,2025/5/14,2025/2/7,2025/2/10
VS2502010,4,1,VS2502010-4,SPG,SPG,SPG210K8A0,手提午餐袋C0（常規）,黑色,B000054300199,9584,0,27434,,2025/2/7,2025/5/14,2025/2/7,2025/2/10
VS2502010,5,1,VS2502010-5,SPG,SPG,SPG210K162A0,16寸工具袋C0（常規）,黑色BLACK,B000051800199,2007,0,27434,,2025/2/7,2025/5/14,2025/2/7,2025/2/10
VS2502010,6,1,VS2502010-6,SPG,SPG,SPG210K11T0,"25""多功能旅行袋C0（常規）",棕色 CARHARTT BROWN,B000049921199,2008,0,27434,,2025/2/7,2025/5/14,2025/2/7,2025/2/10
VS2502010,7,1,VS2502010-7,SPG,SPG,SPG210K131A0,工具袋,BLACK 黑色,B000052100199,2040,0,27434,,2025/2/7,2025/5/14,2025/2/7,2025/2/10
VS2502011,1,1,VS2502011-1,SPG,SPG,SPG171B10A0,12罐冰袋,BLACK黑色,B000054600199,4536,0,27434,,2025/2/7,2025/5/14,2025/2/7,2025/2/10
VS2502011,2,1,VS2502011-2,SPG,SPG,SPG171B10T0,12罐冰袋,CARHARTT BROWN棕色,B000054621199,4344,0,27434,,2025/2/7,2025/5/14,2025/2/7,2025/2/10
VS2502012,1,1,VS2502012-1,WIP-HK,WIP,WIP020K05O0,PRESCOTT錢包,OXIDE GREEN氧化綠色,S00007272,38,3,20250217-2,,2025/2/8,2025/4/20,2025/2/8,2025/2/18
VS2502012,2,1,VS2502012-2,WIP-HK,WIP,WIP020K15A0,PRESCOTT 單肩包,BLACK黑色,S00007256,38,5,20250217-2,,2025/2/8,2025/4/20,2025/2/8,2025/2/18
VS2502012,3,1,VS2502012-3,WIP-HK,WIP,WIP020K16A0,PRESCOTT手提袋,BLACK黑色,S00007273,38,3,20250217-2,,2025/2/8,2025/4/20,2025/2/8,2025/2/18
VS2502012,4,1,VS2502012-4,WIP-HK,WIP,WIP020K06O0,PRESCOT肩袋,OXIDE GREEN氧化綠色,S00007249,38,3,20250217-2,,2025/2/8,2025/4/20,2025/2/8,2025/2/18
VS2502012,5,1,VS2502012-5,WIP-HK,WIP,WIP020B18O0,PRESCOTT背包,OXIDE GREEN 氧化綠色,S00007253,38,3,20250217-2,,2025/2/8,2025/4/20,2025/2/8,2025/2/18
VS2502013,1,1,VS2502013-1,Victorinox Swiss Army,VIC,VIC170-2B17A0,背包1（肩帶尾調節方式改同VIC150）,BLACK黑色,602151,1000,0,304908,,2025/2/8,2025/5/12,2025/2/8,2025/2/10
VS2502013,2,1,VS2502013-2,Victorinox Swiss Army,VIC,VIC170-2B18-1A0,背包6（肩帶尾改成同VIC150）,BLACK黑色,602154,2000,0,304908,,2025/2/8,2025/5/12,2025/2/8,2025/2/10
VS2502013,3,1,VS2502013-3,Victorinox Swiss Army,VIC,VIC170-2B18A0,背包5（肩帶尾調節方式改同VIC150）,BLACK黑色,602153,1000,0,304908,,2025/2/8,2025/5/12,2025/2/8,2025/2/10
VS2502014,1,1,VS2502014-1,Victorinox Swiss Army,VIC,VIC261D19A0,19寸登機旅行袋全球版,黑色,612423,500,0,304908,,2025/2/8,2025/5/12,2025/2/8,2025/2/10
VS2502015,1,1,VS2502015-1,CALIFORNIA INNOVATIONS,CAU,CIC015C39Z1,COSTCO 2025 40罐塑料蓋子折疊冰袋,Z1/藏藍19-4111TPG,10005512,1440,5,SL006853,,2025/2/10,2025/5/2,2025/2/10,2025/2/10
VS2502016,1,1,VS2502016-1,Samsonite,SAM,SAM100B17.3A0,"17.3""背包(NU ROAD)",黑色/槍色,140499-T522,500,1,NA01273129,,2025/2/11,2025/6/2,2025/2/11,2025/2/11
VS2502016,2,1,VS2502016-2,Samsonite,SAM,SAM100K12B0,"12""懸掛式化妝包(NU ROAD)",深藍色/槍色,140505-9551,500,1,NA01273129,,2025/2/11,2025/6/2,2025/2/11,2025/2/11
VS2502016,3,1,VS2502016-3,Samsonite,SAM,SAM101B14A1,14.1''背包(NU ROAD),黑色/玫瑰金,140554-T062,500,1,NA01273129,,2025/2/11,2025/6/2,2025/2/11,2025/2/11
VS2502017,1,2,VS2502017-1,Victorinox Swiss Army,VIC,VIC261D19A0,19寸登機旅行袋全球版,黑色,612423,3,0,304908,,2025/2/11,2025/5/1,2025/2/11,2025/2/11
VS2502018,1,1,VS2502018-1,SPG,SPG,SPG210K05Z0,手提包C0,鴨子迷彩BLIND DUCK CAMO,B000055590299,2184,0,27444,,2025/2/11,2025/5/16,2025/2/11,2025/2/14
VS2502019,1,1,VS2502019-1,SPG,SPG,SPG210K05Z0,手提包C0,鴨子迷彩BLIND DUCK CAMO,B000055590299,9,0,27444,,2025/2/11,2025/4/1,2025/2/11,2025/2/14
VS2502020,1,1,VS2502020-1,Victorinox Swiss Army,VIC,VIC170-2B18A0,背包5（肩帶尾調節方式改同VIC150）,BLACK黑色,602153,2,0,304908,,2025/2/11,2025/5/1,2025/2/11,2025/2/11
VS2502021,1,1,VS2502021-1,CALIFORNIA INNOVATIONS,CAU,CIS021C01Z03,"SAM'S 26""大購物袋-經典版 4087SU RC",Z03/CSI 205684-藏藍,2173SUP18001,72240,20,BLK_SL006236C,,2025/2/12,2025/6/27,2025/2/12,2025/2/14
VS2502021,2,1,VS2502021-2,CALIFORNIA INNOVATIONS,CAU,CIS021C01Z04,"SAM'S 26""大購物袋-經典版 4087SU RC",Z04/CSI 2032726-淡紅,2173SUP18001,65016,20,BLK_SL006236C,,2025/2/12,2025/6/27,2025/2/12,2025/2/14
VS2502021,3,1,VS2502021-3,CALIFORNIA INNOVATIONS,CAU,CIS021C01Z07,"SAM'S 26""大購物袋-經典版 4087SU RC",Z07/米白+深綠,2173SUP18001,57792,20,BLK_SL006236C,,2025/2/12,2025/6/27,2025/2/12,2025/2/14
VS2502021,4,1,VS2502021-4,CALIFORNIA INNOVATIONS,CAU,CIS021C01Z09,"SAM'S 26""大購物袋-經典版 4087SU RC",Z09/米白+酒紅,2173SUP18001,57792,20,BLK_SL006236C,,2025/2/12,2025/6/27,2025/2/12,2025/2/14
VS2502022,1,1,VS2502022-1,CALIFORNIA INNOVATIONS,CAU,CIS021C02Z01,"SAM'S 26""大購物袋-促銷版",Z01/米白+黑色,2173SUP18001,11760,10,BLK_SL006236D,,2025/2/12,2025/6/25,2025/2/12,2025/2/14
VS2502023,1,1,VS2502023-1,SPG,SPG,SPG210K11A0,"25""多功能旅行袋C0（常規）",黑色,B000049900199,3,0,27293,,2025/2/12,2025/4/7,2025/2/12,2025/2/14
VS2502023,2,1,VS2502023-2,SPG,SPG,SPG171B10A0,12罐冰袋,BLACK黑色,B000054600199,3,0,27293,,2025/2/12,2025/4/7,2025/2/12,2025/2/14
VS2502024,1,1,VS2502024-1,SPG,SPG,SPG210K8A0,手提午餐袋C0（常規）,黑色,B000054300199,13216,0,27479,,2025/2/15,2025/6/4,2025/2/15,2025/2/15
VS2502024,2,1,VS2502024-2,SPG,SPG,SPG210K8T0,手提午餐袋C0（常規）,棕色 CARHARTT BROWN,B000054321199,12176,0,27479,,2025/2/15,2025/6/4,2025/2/15,2025/2/15
VS2502024,3,1,VS2502024-3,SPG,SPG,SPG210K05A0,手提包C0（常規）,黑色BLACK,B000055500199,2016,0,27479,,2025/2/15,2025/6/4,2025/2/15,2025/2/15
VS2502024,4,1,VS2502024-4,SPG,SPG,SPG210K05T0,手提包C0（常規）,棕色 CARHARTT BROWN,B000055521199,2016,0,27479,,2025/2/15,2025/6/4,2025/2/15,2025/2/15
VS2502025,1,1,VS2502025-1,SPG,SPG,SPG171B10A0,12罐冰袋,BLACK黑色,B000054600199,14496,0,27479,,2025/2/15,2025/6/4,2025/2/15,2025/2/15
VS2502025,2,1,VS2502025-2,SPG,SPG,SPG171B10G0,12罐冰袋,GRAVEL灰色,B000054603999,912,0,27479,,2025/2/15,2025/6/4,2025/2/15,2025/2/15
VS2502025,3,1,VS2502025-3,SPG,SPG,SPG171B10T0,12罐冰袋,CARHARTT BROWN棕色,B000054621199,7728,0,27479,,2025/2/15,2025/6/4,2025/2/15,2025/2/15
VS2502026,1,1,VS2502026-1,SPG,SPG,SPG200K11A0,工具手提包,黑色BLACK,B000057400199,2,0,20250219,,2025/2/19,2025/3/31,2025/2/19,2025/2/20
VS2502026,2,1,VS2502026-2,SPG,SPG,SPG200K10G0,長方冰袋, 灰色(GREY),B000057003999,2,0,20250219,,2025/2/19,2025/3/31,2025/2/19,2025/2/20
VS2502026,3,1,VS2502026-3,SPG,SPG,SPG200K16T0,冰袋背包（SANMAR),棕色CARHARTT BROWN,B000056821199,2,0,20250219,,2025/2/19,2025/3/31,2025/2/19,2025/2/20
VS2502026,4,1,VS2502026-4,SPG,SPG,SPG200K151A0,高級午餐冰袋（LEEDS）,黑色 BLACK,B000057100199,2,0,20250219,,2025/2/19,2025/3/31,2025/2/19,2025/2/20
VS2502026,5,1,VS2502026-5,SPG,SPG,SPG200K12T0,可收纳旅行袋,棕色CARHARTT BROWN,B000056421199,2,0,20250219,,2025/2/19,2025/3/31,2025/2/19,2025/2/20
VS2502026,6,1,VS2502026-6,SPG,SPG,SPG200K20G0,20寸潛水裝備袋,灰色,B000056503999,2,0,20250219,,2025/2/19,2025/3/31,2025/2/19,2025/2/20
VS2502027,1,1,VS2502027-1,CALIFORNIA INNOVATIONS,CAU,CIT014C14G0,24罐無拉鏈冰袋,灰色/G0,10001065,26000,5,BLK-SL006068C,,2025/2/19,2025/4/12,2025/2/19,2025/2/20
