訂單編號,產品別,規格,鍍層碼,厚度mm,寬度mm,用途碼,業務需求備註
2504EFE011/003,PPGL,A792SSGR80,AZ35,0.361,1038,COG001,*請勿生產* 2025/9/11 更改Trader:由OPTIMA改為MARCO POLO
2504EFE011/007,PPGL,A792SSGR80,AZ35,0.361,1038,COG001,*請勿生產* 2025/9/11 更改Trader:由OPTIMA改為MARCO POLO
2504EFE011/008,PPGL,A792SSGR80,AZ35,0.361,1038,COG001,*請勿生產* 2025/9/11 更改Trader:由OPTIMA改為MARCO POLO
2504EFE010/002,PPGL,A792SSGR80,AZ35,0.361,1038,COG001,*請勿生產* 2025/9/11 更改Trader:由OPTIMA改為MARCO POLO
2504EFE010/003,PPGL,A792SSGR80,AZ35,0.361,1038,COG001,*請勿生產* 2025/9/11 更改Trader:由OPTIMA改為MARCO POLO
2504EFE010/004,PPGL,A792SSGR80,AZ35,0.361,1038,COG001,*請勿生產* 2025/9/11 更改Trader:由OPTIMA改為MARCO POLO
2504EFE010/005,PPGL,A792SSGR80,AZ35,0.361,1038,COG001,*請勿生產* 2025/9/11 更改Trader:由OPTIMA改為MARCO POLO
2504EFE010/006,PPGL,A792SSGR80,AZ35,0.361,1038,COG001,*請勿生產* 2025/9/11 更改Trader:由OPTIMA改為MARCO POLO
2504EFE010/007,PPGL,A792SSGR80,AZ35,0.361,1038,COG001,*請勿生產* 2025/9/11 更改Trader:由OPTIMA改為MARCO POLO
2504EFE010/008,PPGL,A792SSGR80,AZ35,0.361,1038,COG001,*請勿生產* 2025/9/11 更改Trader:由OPTIMA改為MARCO POLO
2504EFE011/009,PPGL,A792SSGR80,AZ35,0.361,1038,COG001,*請勿生產* 2025/9/11 更改Trader:由OPTIMA改為MARCO POLO
2504EFE011/010,PPGL,A792SSGR80,AZ35,0.361,1038,COG001,*請勿生產* 2025/9/11 更改Trader:由OPTIMA改為MARCO POLO
2504EFE011/011,PPGL,A792SSGR80,AZ35,0.361,1038,COG001,*請勿生產* 2025/9/11 更改Trader:由OPTIMA改為MARCO POLO
2504EFE011/012,PPGL,A792SSGR80,AZ35,0.361,1038,COG001,*請勿生產* 2025/9/11 更改Trader:由OPTIMA改為MARCO POLO
2504EFE011/013,PPGL,A792SSGR80,AZ35,0.361,1038,COA001,"*請勿生產* 2025/9/11 更改Trader:由OPTIMA改為MARCO POLO
更改用途碼為COA001"
2504EFE011/014,PPGL,A792SSGR80,AZ35,0.361,1038,COG001,*請勿生產* 2025/9/11 更改Trader:由OPTIMA改為MARCO POLO
2507DFD049/005,PPGL,CGLC400-33,AZ200,0.6,1219,CIA008,"2025/8/28:新增此項次

1.請投入殘料鋼號：5051744/0004
2.以對切為主"
2503EFE061/001,PPGL,A792SSGR80,AZ50,0.381,1038,COG003,"TO 技術處:
THICKNESS - (AIM - 2%)"
2502DFD066/001,PPGL,CGLC400-30,AZ150,0.52,914,CIA008,"1.限重4.0~4.9噸，最後一顆可不依限重。
2.客戶有做TAF報告需求，請協助切1片30cm全板寬生產板，後通知MKT領取。"
2503EFE052/001,,,,,,,TO技術處FLATNESS : AIMING 1.9~1.95 LB/FT
2503EFE052/002,,,,,,,TO技術處FLATNESS : AIMING 1.9~1.95 LB/FT
2503EFE052/003,,,,,,,TO技術處FLATNESS : AIMING 1.9~1.95 LB/FT
2504EFE014/007,PPGL,A792SSGR80,AZ50,0.47,1092,COG007,2025/08/07 取消訂單
2505DFD066/001,PPSUS,CSUS304-20,-,0.36,914,CIA008,1.限重4~4.9噸，最後一顆可不依限重。
2504EFE013/002,PPGL,A792MSSGR550,AZM150,0.47,1219,COA001,"TO 原料: 
生產投入時請挑選較大顆鋼捲"
2504EFE013/003,PPGL,A792MSSGR550,AZM150,0.47,1219,COA001,"TO 原料: 
生產投入時請挑選較大顆鋼捲"
2503DFD031/005,PPGL,CGLC-10,AZ070,0.476,914,CIR030,"1.用戶:啟貿
2.請注意版形、邊波、注意正背面不可板翹
3.請生產足量
4.限重3.8-4.5噸，最後一顆可不依限重"
2503DFD031/006,PPGL,CGLC-10,AZ070,0.426,1219,CIR030,"1.用戶:啟貿
2.請注意版形、邊波、注意正背面不可板翹
3.請生產足量
4.限重3.8-4.5噸，最後一顆可不依限重"
2503DFD032/001,PPGL,CGLC400-10,AZ70,0.476,1210,CIA007,1.限重2.8~3.2噸，最後一顆可不依限重。
2502DFD067/003,PPGL,CGLC400-30,AZ150,0.56,1219,CIA008,"1.項次3 數量30噸(做26噸，不低於23噸)。
2.FB206修補漆1加侖。
3.要做TAF試驗，請現場留板。
4.挑最小顆鋼捲。"
2503DFD033/001,PPGL,CGLC-10,AZ070,0.476,1219,CIR030,"1.用戶:啟貿
2.請注意版形、邊波、注意正背面不可板翹
3.請生產足量
4.限重4.0-4.5噸，最後一顆可不依限重"
2503DFD033/002,PPGL,CGLC-10,AZ070,0.726,1224,CIR030,"1.用戶:啟貿
2.請注意版形、邊波、注意正背面不可板翹
3.請生產足量
4.母鋼分切3粒"
2503DFD034/001,PPGL,CGLC-10,AZ070,0.326,900,COA007,"1.請注意版形、邊波、注意正背面不可板翹
2.請生產足量
3.限重4.0-4.8噸，最後一顆可不依限重"
2503DFD034/002,PPGL,CGLC-10,AZ070,0.326,1200,COA007,"1.請注意版形、邊波、注意正背面不可板翹
2.請生產足量
3.限重4.0-4.8噸，最後一顆可不依限重"
2503DFD035/001,PPGL,CGLC-10,AZ070,0.576,1219,COA007,"1.用戶：美富
2.母鋼分切4顆"
2503DFD035/002,PPGL,CGLC-10,AZ070,0.951,1219,COA007,"1.用戶：美富
2.母鋼分切4顆"
2503DFD036/001,PPGL,CGL340-10,AZ070,0.261,953,CIA019,"客戶：美璟
1.目標寬度954~956mm
2.因用途為複合板，分切依米數配對為主(上下層米數搭配，公差盡量控制5米內)
3.請生產足量"
2503DFD037/001,PPGL,CGLC400-10,AZ70,0.476,912,CIA007,"用戶：可宸
1. 目標寬度912~917mm
2. 限重3-4噸，最後一顆可不依限重。"
2503DFD037/002,PPGL,CGLC400-10,AZ100,0.526,912,CIA007,"2025/3/10:
1. 補上色碼LW616/BW736
2. 尺寸改為0.526*912
3. 數量增加為195噸

用戶：中盛
1. 目標寬度914~916mm
2. 限重2.7-3.2噸，最後一顆可不依限重。
3. 請生產足量"
2503EFE053/001,PPGL,A792SSGR80,AZ50,0.483,1092,COG003,"TO 技術處: 
THICKNESS - (AIM - 2%) PRODUCTION"
2503DCD004/003,PPSUS,CSUS304-20,-,0.46,914,CIA008,由TWZ0887投入，請勿投產。
2505EFE024/001,PPGL,A792SSGR80,AZ50,0.508,1099,COG003,"TO技術處:
1.THICKNESS IS AIMING 0.018''MIN
2.THICKNESS CONTROL IS CRITICAL 
3.此單為REPEAT ORDER，請同上一張訂單2405EFE008生產"
2505EFE003/003,PPGL,A792MSSGR550,AZM150,0.47,1219,COA001,TO 原料: 生產投入時請挑選較大顆鋼捲
2505EFE003/004,PPGL,A792MSSGR550,AZM150,0.47,1219,COA001,TO 原料: 生產投入時請挑選較大顆鋼捲
2505EFE003/005,PPGL,A792MSSGR550,AZM150,0.47,1219,COA001,TO 原料: 生產投入時請挑選較大顆鋼捲
2503DFD071/001,,,,,,,1.重新下訂更改訂單月份3月改4月。
2503DFD040/001,PPGL,A792MCQ,AZM150,0.52,914,CIA008,"1.修補漆*1
2.限重3~4噸，最後一顆可不依限重。"
2503EFE052/004,,,,,,,TO技術處FLATNESS : AIMING 1.9~1.95 LB/FT
2503EFE052/005,,,,,,,TO技術處FLATNESS : AIMING 1.9~1.95 LB/FT
2504EFE014/004,PPGL,A792SSGR80,AZ50,0.47,1092,COG003,2025/08/07 取消訂單
2504EFE014/005,PPGL,A792SSGR80,AZ50,0.47,1092,COG003,2025/08/07 取消訂單
2504EFE014/006,PPGL,A792SSGR80,AZ50,0.47,1092,COG003,2025/08/07 取消訂單
2504EFE014/001,PPGL,A792SSGR80,AZ50,0.47,1092,COG003,2025/08/07 取消訂單
2504EFE014/002,PPGL,A792SSGR80,AZ50,0.47,1092,COG003,2025/08/07 取消訂單
2504EFE014/003,PPGL,A792SSGR80,AZ50,0.47,1092,COG003,2025/08/07 取消訂單
2504DCD008/002,PPSUS,CSUS304-20,-,0.46,914,CIA008,由TWZ0887轉入，請勿投產
2505DFD085/006,PPGL,CGLC400-10,AZ70,0.476,911,CIA007,"2025/10/15:確認色碼
1.限重3.5~4噸，最後一顆可不依限重。"
2510DMD045/018,,,,,,,"2025/10/27Revised
1.新增項次17。"
2509DFD057/001,PPGL,CGLC400-32,AZ170,0.55,914,CIA008,"2025/9/22Revised
1.更正底材規範，CNS1237→CNS15237
2025/9/18Revised
1.備註誤植2025/6/2。



2025/6/2Revised
1.煩請品證備註欄上註明：(1)底材符合CNS1237規範
                                           (2)高耐候PVDF產品
1.煩請挑選小鋼捲投入生產"
2506EFE006/003,PPGL,A792SSGR80,AZ50,0.381,1029,COG003,"TO技術處:
保證1/2 ASTM 厚度公差，平坦度<=12 I-UNIT
END-USE: METAL BUILDING PANEL
品證書上請備註""SMP 40Y BY PAINT SUPPLIER""

2025/05/22: 新色保固40Y。"
2509EFD004/001,PPGL,CGL570-20,AZ200,0.5,1250,COG001,"TO 技術處：
1. 品證備註欄位請秀 : ""LC NUMBER:0000181325011075“ AND DATE:“ 250909“"
2510EOE003/001,PPGL,A792SSGR33,AZ50,0.508,406,COG007,"TO 技術處: 
1. AIMING SLIT WIDTH TOLERANCE: -0~+0.005"", 保證 -0~+0.016""。 
2. 原母鋼寬度為 1225mm (分條刀數2刀)。 
3. 單一分條鋼捲限重1.4MT MAX。 
4. 每一棧板放置分條鋼捲數量不得超過3顆。 
5. 每一棧板+鋼捲重量不得超過4.5MT。

TO PP 及 SHIPPING:
船期: 10月底~11月，請注意外送分條交期。"
2509DFD060/003,PPGL,CGLCC-20,AZ150,0.42,914,CIA008,"2025/9/17Revised
1.新增備註：限重4~4.9，最後一顆可不依限重"
2509DFD060/001,PPGL,CGLCC-20,AZ150,0.42,914,CIA008,"2025/9/17Revised
1.新增備註：限重4~4.9，最後一顆可不依限重"
2509DFD055/001,PPGL,CGLC400-20,AZ150,0.45,960,COA010,"1. 直立式木架包裝。
2. 請依軋延率≧82%的規則採買熱軋。
3. 客戶表示因用戶端的大天車裁撤，因此必須降低最
    大限重；客戶拜託我們能否把最後一顆分切鋼捲，若是超過3.2噸，
     再次分切成2顆1噸多的小鋼捲，重量低於訂單限重客戶也願意
     一級品接受。"
2507EFE043/002,PPGL,A792MSSGR275,AZM150,0.47,914,COA010,"***請使用對應材原料***

TO技術處 :
THICKNESS TOLERANCE AS PER 1/2 ASTM STANDARD

***項次一為急單，請優先安排生產及出貨***"
2503DFD073/002,PPSUS,CSUS304-20,-,0.36,914,CIA008,1.限重4~4.9噸，最後一顆可不依限重。
2503DFD073/003,PPSUS,CSUS304-20,-,0.36,914,CIA008,1.限重4~4.9噸，最後一顆可不依限重。
2503DFD073/004,PPSUS,CSUS304-20,-,0.36,914,CIA008,1.限重4~4.9噸，最後一顆可不依限重。
2505EOE001/001,PPGI,A653MCQ,Z120,0.5,56,CIR001,"TO 原料 / 技術 / 生管:
1.  毛邊限制：最大0.05mm。
2.  寬度公差: -0/+5mm (Aim +0/-0.2mm)。
3.  表面請勿沾染灰塵及髒汙，無壓力痕等其他表面不良情形。
4.  請以兩條皮帶繫固，兩顆鋼捲包裝一起
。5.  解捲方向：逆時針方向。
6.  每顆鋼捲需標註鋼捲號碼及重量。
7.  其餘條件請請比照先前訂單。"
2503DFD053/001,PPGL,CGLC400-20,AZ150,0.52,914,CIA008,TO 原料、技術、PP: 請勿投料生產，預計由2503DFD052/001直接轉入。
2504EFE025/001,PPGL,A792SSGR80,AZ50,0.457,1092,COG001,"*取消訂單*
PE PAINT WITH 15-YEAR WARRANTY"
2504EFE025/005,PPGL,A792SSGR80,AZ50,0.457,1092,COG001,"*取消訂單*
PE PAINT WITH 15-YEAR WARRANTY"
2504EFE025/009,PPGL,A792SSGR80,AZ50,0.361,1038,COG001,"*取消訂單*
PE PAINT WITH 15-YEAR WARRANTY"
2503EFE058/001,PPGL,A792SSGR80,AZ50,0.483,1092,COG003,"TO 技術處:
THICKNESS - (AIM - 2%)"
2503EFE063/001,PPGL,A792MSSGR275,AZM150,0.47,914,COA010,"TO技術處 :
THICKNESS TOLERANCE AS PER 1/2 ASTM STANDARD
新背標使用，實際下單為AZM150，經確認客戶要求背標為AZ150。
***項次一為急單，請優先安排生產及出貨***"
2503AIX001/001,PPGL,A792SSGR33,AZ50,0.508,1225,COG007,=2503EOE002/001
2503EFE064/003,PPGL,A792SSGR80,AZ50,0.361,1038,COG007,"TO技術處
FLATNESS : AIMING 1.9~1.95 LB/FT"
2503EFE062/001,PPGL,A792SSGR80,AZ50,0.381,1038,COG003,"TO 技術處:
THICKNESS - (AIM - 2%)"
2502DFD048/002,PPGL,CGLC400-10,AZ70,0.476,911,CIA007,1. 限重3.5~4噸，最後一顆可不依限重。
2510DFD058/001,PPGL,A792MSSGR550,AZM250,0.6,1219,CHA081,"1. 此為台塑工程案用料。
2. 此單有指定熱軋，請冷軋技術課挑選符合此訂單的限制條件的熱軋鋼捲。
3. 台塑經確認對單位重量有要求，需至少大於4.5731kg/m2，經與台塑
    及華明確認，冷軋底材厚度設定為0.57mm，因此此單厚度變異設定
    為+5.6%；目前設定此厚度的比重約為4.7252kg/m2。
4. 此單請會簽至R&D，並於生產時知會吳昭瑢處長
5. 鋼捲分切限重AIM值約4~5噸，請盡量朝此限重進行分切。"
2510DMD045/014,,,,,,,"2025/10/27Revised
1.項次14新增數量44→76。"
2510DMD045/015,,,,,,,"2025/10/27Revised
1.項次15新增數量127→147。"
2510EOE004/001,PPGL,A792CSB,AZ50,0.437,302,COG001,"2026/01/27: 新增正背面色碼，新色，SMP保固20Y
----------------
TO 技術處: 
1. AIMING SLIT WIDTH TOLERANCE: -0~+0.005"", 保證 -0~+0.016""。 
2. 原母鋼寬度為 1214mm (分條刀數3刀)。
3. 單一分條鋼捲限重0.27MT MAX。
4. 每一棧板放置顆分條鋼捲數量不得超過3顆。 
5. 每一棧板+鋼捲重量不得超過0.81MT。"
2510EFE002/002,PPGL,CGL490-30,AZ150,0.7,914,COA001,"TO 原料 / 生管 : 
因裝櫃需求請投入一顆17噸以下的母鋼生產。
2025/10/09 修改訂單 * CGL490-30*
2025/10/15 修改訂單 * 厚度變異-5.2%*"
2510EFE002/003,PPGL,CGL490-10,AZ150,0.6,914,COA001,"TO 原料 / 生管 : 
因裝櫃需求請投入一顆17噸以下的母剛生產。"
2509DCD005/001,PPSUS,CSUS304-20,-,0.46,914,CIA008,由TWZ0887轉入，請勿投產。
2509DCD005/002,PPSUS,CSUS304-20,-,0.46,914,CIA008,由TWZ0887轉入，請勿投產。
2509DCD005/003,PPSUS,CSUS304-20,-,0.46,914,CIA008,由TWZ0887轉入，請勿投產。
2509DCD005/004,PPSUS,CSUS304-20,-,0.46,914,CIA008,由TWZ0887轉入，請勿投產。
2509DFD060/002,PPGL,CGLCC-20,AZ150,0.52,914,CIA008,"2025/9/17Revised
1.新增備註：限重4~4.9，最後一顆可不依限重"
2510DFD005/002,PPGI,CGCC-10,Z08,0.326,765,CIC001,ITEM2  變更寬度  770 -->  765
2509DFD066/002,PPSUS,CSUS304-33,-,0.8,1220,CIA008,"TO PP、技術、技服:
此單為台電大林浦電廠高膜厚不銹鋼烤漆工程案，有廠驗需求．以下為需廠驗之細項。
1. 請技術協助要求塗料商於生產塗料時，保留一罐塗料(底漆、面漆、透明漆皆要)，並須於入廠時通知業務，業務會通知客戶、與業主聯絡入廠取漆時間，方可投入生產。
2. 另原先訂單備註""留30CM*全板寬保留試片2片""改為""每顆母鋼留30CM*全板寬保留試片 4片(盛餘試驗留2片試片、提供客戶2片試片)""以利生產後業主要廠驗隨機抽取鋼捲取板時，無須再另外切板。
3. 另須協助留不銹鋼母鋼試片各""1""片，以利業主送驗。
4. 第三PASS生產時間需與業務聯絡，業務需通知客戶並安排業主於生產後入廠廠驗。
5. 其他細項會在後續與客戶確認後，再跟各單位連絡。

115/03/12 Revised
1. 補上油漆碼FW29V/FC24V
2. 數量修改6MT-->10MT，實際需求量為6MT

115/02/09 Revised
1. 數量修改10MT-->6MT
2. 色碼因尚未確認故先調整客戶需求之數量

1.不銹鋼底材厚度需超過0.8mm
2.雙面烤漆膜厚:PU_10u+中塗PVDF_50u+透明PVDF_10u =70um(min)
3.對色中待確認，顏色另補上。
4.增加此訂單總允收重量範圍:54~60噸，請原料部門知悉。(2025/09/17 客戶提出需求)
5.To 技術：此訂單需提供以下9項試驗，故請於生產時協助留30*全板寬保留試片 2片，以利後續試驗:
(1).可彎曲性、(2).抗衝擊性、(3).百格試驗、(4).硬度、(5).抗鹽水試驗、(6).耐鹼試驗、(7).耐酸試驗、(8).鹽霧試驗、(9).耐候性試驗。(2025/09/17 客戶提出需求)"
2509DFD066/003,PPSUS,CSUS304-33,-,0.8,1220,CIA008,"TO PP、技術、技服:
此單為台電大林浦電廠高膜厚不銹鋼烤漆工程案，有廠驗需求．以下為需廠驗之細項。
1. 請技術協助要求塗料商於生產塗料時，保留一罐塗料(底漆、面漆、透明漆皆要)，並須於入廠時通知業務，業務會通知客戶、與業主聯絡入廠取漆時間，方可投入生產。
2. 另原先訂單備註""留30CM*全板寬保留試片2片""改為""每顆母鋼留30CM*全板寬保留試片 4片(盛餘試驗留2片試片、提供客戶2片試片)""以利生產後業主要廠驗隨機抽取鋼捲取板時，無須再另外切板。
3. 另須協助留不銹鋼母鋼試片各""1""片，以利業主送驗。
4. 第三PASS生產時間需與業務聯絡，業務需通知客戶並安排業主於生產後入廠廠驗。
5. 其他細項會在後續與客戶確認後，再跟各單位連絡。

115/03/12 Revised
1. 數量修改13MT-->14MT，實際需求量為13MT

115/02/09 Revised
1. 數量修改14MT-->13MT
2. 補上色碼 FL23V/FC24V


1.不銹鋼底材厚度需超過0.8mm
2.雙面烤漆膜厚:PU_10u+中塗PVDF_50u+透明PVDF_10u =70um(min)
3.對色中待確認，顏色另補上。
4.增加此訂單總允收重量範圍:54~60噸，請原料部門知悉。(2025/09/17 客戶提出需求)
5.To 技術：此訂單需提供以下9項試驗，故請於生產時協助留30*全板寬保留試片 2片，以利後續試驗:
(1).可彎曲性、(2).抗衝擊性、(3).百格試驗、(4).硬度、(5).抗鹽水試驗、(6).耐鹼試驗、(7).耐酸試驗、(8).鹽霧試驗、(9).耐候性試驗。(2025/09/17 客戶提出需求)"
2510AIX001/001,PPGL,A792SSGR33,AZ50,0.508,1225,COG007,=2510EOE003/001
2503EFE063/005,PPGL,A792MSSGR275,AZM150,0.47,914,COA001,"TO技術處 :
THICKNESS TOLERANCE AS PER 1/2 ASTM STANDARD
新背標使用，實際下單為AZM150，經確認客戶要求背標為AZ150。"
2501DFD069/004,PPGL,CGLC400-10,AZ70,0.476,911,CIA007,"2025/3/21:確認色碼為LY216/BW736

2025/3/10:新增此項次
1. 目標寬度911~914mm
2. 限重3.5~4噸，勿超上限重，最後一顆可不依限重。"
2503DFD061/002,PPGL,A792MCQ,AZM100,0.376,914,CIA019,"案名：高雄親子樂園
1.修補漆*1
2.最後一顆可不依限重"
2504EFE024/002,PPGL,A792MSSGR340,AZM150,0.47,914,COA001,"TO技術處 :
   1. 保證1/2 ASTM厚度公差
   2. 新背標，客戶要求鍍層標示為AZ150而不是AZM150。

TO PP:
   受限於斯里蘭卡開狀額度，生產量請朝下限，謝謝!"
2503EFE063/003,PPGL,A792MSSGR275,AZM150,0.47,914,COA010,"TO技術處 :
THICKNESS TOLERANCE AS PER 1/2 ASTM STANDARD
新背標使用，實際下單為AZM150，經確認客戶要求背標為AZ150。"
2503EFE063/002,PPGL,A792MSSGR275,AZM150,0.47,914,COA010,"TO技術處 :
THICKNESS TOLERANCE AS PER 1/2 ASTM STANDARD
新背標使用，實際下單為AZM150，經確認客戶要求背標為AZ150。"
2504EFE024/001,PPGL,A792MSSGR340,AZM150,0.47,914,COA001,"TO技術處 :
   1. 保證1/2 ASTM厚度公差
   2. 新背標，客戶要求鍍層標示為AZ150而不是AZM150。

TO PP:
   受限於斯里蘭卡開狀額度，生產量請朝下限，謝謝!"
2504DFD053/001,PPGL,CGLC570-32,AZ150,0.52,1219,CIA008,修改膜厚25u/15u
2504EFE024/003,PPGL,A792MSSGR340,AZM150,0.47,914,COA001,"TO技術處 :
   1. 保證1/2 ASTM厚度公差
   2. 新背標，客戶要求鍍層標示為AZ150而不是AZM150。

TO PP:
   受限於斯里蘭卡開狀額度，生產量請朝下限，謝謝!"
2504EFE025/002,PPGL,A792SSGR80,AZ50,0.457,1092,COG001,"*取消訂單*
PE PAINT WITH 15-YEAR WARRANTY"
2504EFE025/003,PPGL,A792SSGR80,AZ50,0.457,1092,COG001,"*取消訂單*
PE PAINT WITH 15-YEAR WARRANTY"
2504EFE025/004,PPGL,A792SSGR80,AZ50,0.457,1092,COG001,"*取消訂單*
PE PAINT WITH 15-YEAR WARRANTY"
2510DFD018/001,PPGL,CGLC400-30,AZ185,0.526,1219,CIA008,"1.取板做TAF報告

CGLC400
0.526(BC)*1219
AZ185
PVDF/PE 
25u足/12.5u

一定要注意規格，
請幫忙跟手寫原檔做比對"
2510DFD064/002,PPGL,CGLC400-30,AZ150,0.52,914,CIA008,急件
2504EFE025/006,PPGL,A792SSGR80,AZ50,0.361,1038,COG001,"*取消訂單*
PE PAINT WITH 15-YEAR WARRANTY"
2504EFE025/007,PPGL,A792SSGR80,AZ50,0.361,1038,COG001,"*取消訂單*
PE PAINT WITH 15-YEAR WARRANTY"
