年月,部門,KPI名稱,實績,目標,達成率%
11411,婦產,營收,39166.1,50000,78.3
11411,婦產,毛利率,11.1,12,92.5
11411,婦產,人均產值,323.2,350,92.3
11411,婦產,平均住院日,5.8,5.5,94.8
11411,小兒,門急住量,5779.0,5000,115.6
11411,小兒,佔床率,85.6,85,100.7
11411,小兒,營收,45873.5,50000,91.7
11411,小兒,毛利率,12.2,12,101.7
11411,小兒,人均產值,383.5,350,109.6
11411,小兒,平均住院日,4.0,5.5,137.5
11411,急診,門急住量,5178.0,5000,103.6
11411,急診,佔床率,76.8,85,90.4
11411,急診,營收,47827.2,50000,95.7
11411,急診,毛利率,12.9,12,107.5
11411,急診,人均產值,273.0,350,78.0
11411,急診,平均住院日,3.9,5.5,141.0
11411,護理部,門急住量,5621.7,5000,112.4
11411,護理部,佔床率,88.3,85,103.9
11411,護理部,營收,45954.3,50000,91.9
11411,護理部,毛利率,9.2,12,76.7
11411,護理部,人均產值,286.3,350,81.8
11411,護理部,平均住院日,5.6,5.5,98.2
11411,整體,門急住量,4405.4,5000,88.1
11411,整體,佔床率,99.9,85,117.5
11411,整體,營收,35809.6,50000,71.6
11411,整體,毛利率,9.3,12,77.5
11411,整體,人均產值,323.7,350,92.5
11411,整體,平均住院日,4.9,5.5,112.2
