CONK,cust_num,cust_num_name,Trader,Trader_name,buyer_cust,buyer_cust_name,A6SNO,STAND,SPEC,GAOF,OGAG,OWID,ZINC,CTTY,A5ANNE,A1SPLY,A1MTRL,A1STHR,A1GAG,A1WID,A3GAG,A7SNO,COLOT,PGAOT,COLOB,PGABT,USAGE,DEC2,OPCD,DEC6,BORE,SLEEV,BMAK,PCOD,GRNTE,WLOW,WUP
2507DFD002/003,TWP0019,泉盈股份有限公司,TWP0019,泉盈股份有限公司,TWP0059,台灣松下電器股份有限公司,PG04658,CNS,CGCC-10,-2.4,0.326,797.0,Z08,BC,S3,CSC,SAE1008,SAE1008,2.0,835.0,0.321,AYF632W1,AYF632,25,BYF712,NOM,CIC001,冰箱側板(無毒),OA001,無選配,508,E,S000,S3,R2,3.0,5.0
2503DFD028/001,TWS0008,亞喬企業股份有限公司,TWS0008,亞喬企業股份有限公司,TWS0008,亞喬企業股份有限公司,PL05962,CNS,CGLC400-10,0,0.476,911.0,AZ70,BC,S1,CSC,SAE1012,SAE1012,2.02,925.0,0.481,LC1664Y1,LC1664,25,BW7362,NOM,CIA007,室內隔間,OL001,無選配,508,P,C008,S4,-,2.8,3.2
2502DCD013/001,TWS0008,亞喬企業股份有限公司,TWS0008,亞喬企業股份有限公司,TWS0008,亞喬企業股份有限公司,PS00047,SYSCO,CSUS304-20,0,0.36,914.0,-,BC,S1,YU,SUS304,SUS304,0.36,914.0,0.36,1C4601Y2,1C4601,25,BW73Y2,12.5,CIA008,戶外壁板,-,無選配,508,P,C989,A3,-,4.0,4.9
2503DFD030/001,TWP0002,隆豐企業股份有限公司,TWP0002,隆豐企業股份有限公司,TWP0002,隆豐企業股份有限公司,PL06284,CNS,CGLC400-10,0,0.426,912.0,AZ70,BC,S1,CH,SAE1012,SAE1012,2.02,925.0,0.43,LY1664Y1,LY1664,25,BW7362,NOM,CIA007,室內隔間,OL001,無選配,508,P,C008,D4,-,3.8,4.3
2504EFE011/002,US00567,"STEELBUILDINGS&STRUCTURES,INC",VG00005,MARCOPOLOSTEELTRADINGCORPORATION,US00567,"STEELBUILDINGS&STRUCTURES,INC",PL06449,ASTM,A792SSGR80,0,0.361,1038.0,AZ35,MIN,H2,TTC,1008MOD,SAE1008,2.01,1051.0,0.348,4Y51T4Y1,4Y51T4,25,BW4CY2,12.5,COG001,屋頂(保證年限),-,無選配,508,N,S000,E0,-,3.62,4.54
2503DFD032/002,TWS0008,亞喬企業股份有限公司,TWS0008,亞喬企業股份有限公司,TWS0008,亞喬企業股份有限公司,PL06216,CNS,CGLC400-10,0,0.476,1210.0,AZ70,BC,S1,CH,SAE1012,SAE1012,2.02,1230.0,0.481,EY1262Y1,EY1262,25,BW7362,NOM,CIA006,室內隔間(抗靜電),OL001,無選配,508,P,C008,S4,-,2.8,3.2
2503DFD028/002,TWS0008,亞喬企業股份有限公司,TWS0008,亞喬企業股份有限公司,TWS0008,亞喬企業股份有限公司,PL05962,CNS,CGLC400-10,0,0.476,911.0,AZ70,BC,S1,CSC,SAE1012,SAE1012,2.02,925.0,0.481,EC4364Y1,EC4364,25,BW7362,NOM,CIA006,室內隔間(抗靜電),OL001,無選配,508,P,C008,S4,-,2.8,3.2
2502DFD062/001,TWS0008,亞喬企業股份有限公司,TWS0008,亞喬企業股份有限公司,TWS0008,亞喬企業股份有限公司,PL05363,CNS,CGLC400-30,-1.4,0.52,914.0,AZ150,AC,S1,CH,SAE1012,SAE1012,2.02,925.0,0.476,FW3864Y6,FW3864,25,BW73Y2,12.5,CIA008,戶外壁板,ON006,無選配,508,R,C815,D2,-,4.5,4.9
2502DFD067/001,TWS0026,益大鋼鐵股份有限公司,TWS0026,益大鋼鐵股份有限公司,TWS0026,益大鋼鐵股份有限公司,PL06481,CNS,CGLC570-32,0,0.426,914.0,AZ150,AC,H2,CSC,SAE1008,SAE1008,2.0,924.0,0.384,FW3864Z1,FW3864,25,SW7364,25,CIA008,戶外壁板,ON006,無選配,508,R,C815,D2,-,3.0,5.0
2502DCD013/003,TWS0008,亞喬企業股份有限公司,TWS0008,亞喬企業股份有限公司,TWS0008,亞喬企業股份有限公司,PS00047,SYSCO,CSUS304-20,0,0.36,914.0,-,BC,S1,YU,SUS304,SUS304,0.36,914.0,0.36,2Y7304Z1,2Y7304,25,BW73Y2,12.5,CIA008,戶外壁板,-,無選配,508,P,C989,A3,-,4.0,4.9
2503DFD031/004,TWS0008,亞喬企業股份有限公司,TWS0008,亞喬企業股份有限公司,TWS0008,亞喬企業股份有限公司,PL06252,SYSCO,CGLC-10,0,0.476,1219.0,AZ070,BC,S1,CSC,1008C,SAE1008,2.21,1229.0,0.481,7W7B84Y1,7W7B84,18,BW7362,NOM,CIR030,冷藏展示櫃（非無毒）,ON025,無選配,508,E,C008,D4,-,3.8,4.5
2502DCD007/005,TWS0112,和桑貿易股份有限公司,TWS0112,和桑貿易股份有限公司,TWS0112,和桑貿易股份有限公司,PL05187,CNS,CGLCC-20,-1.6,0.35,1000.0,AZ150,BC,S1,CSC,SAE1008,SAE1008,2.0,1010.0,0.347,NYS3XSY1,NYS3XS,NOM,BW73X2,15,COA020,印刷戶外壁板,ON008,無選配,508,S,C811,D2,-,3.5,5.0
2502DCD012/003,TWS0008,亞喬企業股份有限公司,TWS0008,亞喬企業股份有限公司,TWS0008,亞喬企業股份有限公司,PS00037,SYSCO,CSUS304-20,0,0.46,914.0,-,BC,S1,YU,SUS304,SUS304,0.46,914.0,0.46,RYF892Z1,RYF892,25,BW73Y2,12.5,CIA008,戶外壁板,-,無選配,508,S,C989,A3,-,4.0,4.9
2502DCD013/002,TWS0008,亞喬企業股份有限公司,TWS0008,亞喬企業股份有限公司,TWS0008,亞喬企業股份有限公司,PS00047,SYSCO,CSUS304-20,0,0.36,914.0,-,BC,S1,YU,SUS304,SUS304,0.36,914.0,0.36,RYF892Z1,RYF892,25,BW73Y2,12.5,CIA008,戶外壁板,-,無選配,508,S,C989,A3,-,4.0,4.9
2505EFE009/001,US00113,"USPHOLDINGS,INC.",TWS0237,虔善國際有限公司,US00113,"USPHOLDINGS,INC.",PL06486,ASTM,A792SSGR80,0,0.467,1092.0,AZ50,AC,H2,CSC,SAE1008,SAE1008,2.0,1102.0,0.425,SWG484Y1,SWG484,25,BW5KY4,12.5,COG003,超耐候屋頂(保證年限),ON007,超耐候屋頂,508,P,S000,E0,-,2.73,4.54
2503DFD087/001,TWZ0887,國內業務處,TWZ0887,國內業務處,TWZ0887,國內業務處,PL05363,CNS,CGLC400-20,-1.4,0.52,914.0,AZ150,AC,S1,CSC,SAE1012,SAE1012,2.02,925.0,0.476,SW3362Y6,SW3362,25,BW73Y2,12.5,CIA008,戶外壁板,ON006,無選配,508,R,C814,D2,-,3.7,4.9
2502DCD007/004,TWS0112,和桑貿易股份有限公司,TWS0112,和桑貿易股份有限公司,TWS0112,和桑貿易股份有限公司,PL05828,CNS,CGLCC-20,0,0.3,1010.0,AZ150,BC,S1,CSC,SAE1008,SAE1008,2.0,1020.0,0.303,NYS3XSY1,NYS3XS,NOM,BW73X2,15,CHA020,印刷戶外壁板(特殊處理),ON008,無選配,508,S,C811,D2,-,3.0,5.0
2502DFD063/002,TWS0008,亞喬企業股份有限公司,TWS0008,亞喬企業股份有限公司,TWS0008,亞喬企業股份有限公司,PS00047,SYSCO,CSUS304-20,0,0.36,914.0,-,BC,S1,YU,SUS304,SUS304,0.36,914.0,0.36,1G3804Z2,1G3804,25,BW73Y2,12.5,CIA008,戶外壁板,-,無選配,508,P,C989,A3,-,4.0,4.9
2504DFD021/001,TWP0002,隆豐企業股份有限公司,TWP0002,隆豐企業股份有限公司,TWP0002,隆豐企業股份有限公司,PL05266,CNS,CGLC570-20,-1.4,0.52,1219.0,AZ150,AC,H2,CSC,1008C,SAE1008,2.21,1229.0,0.471,SW3362Y6,SW3362,25,BW73Y2,12.5,CIA008,戶外壁板,ON006,無選配,508,R,C814,D2,-,3.0,5.0
2506EFE006/002,US00170,WESTMANSTEEL,JP00004,台灣住友商事股份有限公司,US00170,WESTMANSTEEL,PL04311,ASTM,A792SSGR80,0,0.381,1029.0,AZ50,AC,H2,MARU,1008LAK,SAE1008,2.01,1051.0,0.339,SWH582Y1,SWH582,25,BW73Z2,NOM,COG003,超耐候屋頂(保證年限),ON007,無選配,508,P,S000,E0,-,2.5,4.5
2505DFD005/002,TWP0019,泉盈股份有限公司,TWP0019,泉盈股份有限公司,TWP0061,聲寶股份有限公司,PG09009,CNS,CGCC-10,-2.4,0.326,1220.0,Z08,BC,S3,MARU,1008LAK,SAE1008,2.01,1235.0,0.321,ABF542W3,ABF542,25,BYZ6K2,NOM,CIC001,冰箱側板(無毒),OA001,無選配,508,E,S000,S3,R1,3.0,5.0
2504DFD097/002,TWS0072,華明鋼鐵股份有限公司,TWS0072,華明鋼鐵股份有限公司,TWS0072,華明鋼鐵股份有限公司,PG04555,CNS,CGCD1-10,0,0.526,1216.0,Z08,BC,D3,CSC,HRD3M,HRD3,2.46,1235.0,0.531,RYE922W1,RYE922,25,7Y9A12,NOM,CIR029,垃圾桶,-,無選配,508,E,S000,D7,-,2.5,3.5
2504DFD097/003,TWS0072,華明鋼鐵股份有限公司,TWS0072,華明鋼鐵股份有限公司,TWS0072,華明鋼鐵股份有限公司,PG04565,CNS,CGCD1-10,0,0.426,1216.0,Z08,BC,D3,CSC,HRD3M,HRD3,2.46,1235.0,0.43,AW4214W1,AW4214,25,AW4214,25,CIR029,垃圾桶,-,無選配,508,E,S000,D7,-,2.5,3.5
2504DFD078/002,TWS0076,淀鋼國際股份有限公司,TWS0076,淀鋼國際股份有限公司,TWS0076,淀鋼國際股份有限公司,PL06491,CNS,CGLC400-32,0,0.6,1219.0,AZ200,AC,S1,CH,SAE1012,SAE1012,2.02,1230.0,0.549,FL50Z4Y1,FL50Z4,35,3W7204,25,CIA008,戶外壁板,ON006,無選配,508,R,C816,D2,-,4.0,4.5
2505EFE053/001,CA00001,ECCOHEATINGPRODUCTSLTD.,CA00030,AMALGAMATEDTRADINGLTD.,CA00001,ECCOHEATINGPRODUCTSLTD.,PL04355,ASTM,A792CSB,0,0.483,1219.0,AZ50,MIN,S1,CSC,1008C,SAE1008,2.01,1229.0,0.47,7B73T4Y2,7B73T4,25,7B73T4,25,COG001,屋頂(保證年限),-,無選配,508,P,S000,P7,-,3.0,5.4
2505EFE054/001,CA00001,ECCOHEATINGPRODUCTSLTD.,CA00030,AMALGAMATEDTRADINGLTD.,CA00001,ECCOHEATINGPRODUCTSLTD.,PL04355,ASTM,A792CSB,0,0.483,1219.0,AZ50,MIN,S1,CSC,1008C,SAE1008,2.01,1229.0,0.47,3Y9AT4Y1,3Y9AT4,25,3Y9AT4,25,COG001,屋頂(保證年限),-,無選配,508,P,S000,P7,-,3.0,5.4
2502DCD012/001,TWS0008,亞喬企業股份有限公司,TWS0008,亞喬企業股份有限公司,TWS0008,亞喬企業股份有限公司,PS00037,SYSCO,CSUS304-20,0,0.46,914.0,-,BC,S1,YU,SUS304,SUS304,0.46,914.0,0.46,1C4601Y2,1C4601,25,BW73Y2,12.5,CIA008,戶外壁板,-,無選配,508,P,C989,A3,-,4.0,4.9
2502DCD012/002,TWS0008,亞喬企業股份有限公司,TWS0008,亞喬企業股份有限公司,TWS0008,亞喬企業股份有限公司,PS00037,SYSCO,CSUS304-20,0,0.46,914.0,-,BC,S1,YU,SUS304,SUS304,0.46,914.0,0.46,2Y7304Z1,2Y7304,25,BW73Y2,12.5,CIA008,戶外壁板,-,無選配,508,P,C989,A3,-,4.0,4.9
2502DCD012/004,TWS0008,亞喬企業股份有限公司,TWS0008,亞喬企業股份有限公司,TWS0008,亞喬企業股份有限公司,PS00037,SYSCO,CSUS304-20,0,0.46,914.0,-,BC,S1,YU,SUS304,SUS304,0.46,914.0,0.46,1G3804Z2,1G3804,25,BW73Y2,12.5,CIA008,戶外壁板,-,無選配,508,P,C989,A3,-,4.0,4.9
2502DCD012/005,TWS0008,亞喬企業股份有限公司,TWS0008,亞喬企業股份有限公司,TWS0008,亞喬企業股份有限公司,PS00037,SYSCO,CSUS304-20,0,0.46,914.0,-,BC,S1,YU,SUS304,SUS304,0.46,914.0,0.46,1W0802Y6,1W0802,25,BW73Y2,12.5,CIA008,戶外壁板,-,無選配,508,P,C989,A3,-,4.0,4.9
2504EFE011/005,US00567,"STEELBUILDINGS&STRUCTURES,INC",VG00005,MARCOPOLOSTEELTRADINGCORPORATION,US00567,"STEELBUILDINGS&STRUCTURES,INC",PL06449,ASTM,A792SSGR80,0,0.361,1038.0,AZ35,MIN,H2,TTC,1008MOD,SAE1008,2.01,1051.0,0.348,5C42T2Y1,5C42T2,25,BW4CY2,12.5,COG001,屋頂(保證年限),-,無選配,508,N,S000,E0,-,3.62,4.54
2504EFE011/006,US00567,"STEELBUILDINGS&STRUCTURES,INC",VG00005,MARCOPOLOSTEELTRADINGCORPORATION,US00567,"STEELBUILDINGS&STRUCTURES,INC",PL06449,ASTM,A792SSGR80,0,0.361,1038.0,AZ35,MIN,H2,JSTC,1008MOD,SAE1008,2.01,1051.0,0.348,6C36T7Y1,6C36T7,25,BW4CY2,12.5,COG001,屋頂(保證年限),-,無選配,508,N,S000,E0,-,3.62,4.54
2502DFD063/003,TWS0008,亞喬企業股份有限公司,TWS0008,亞喬企業股份有限公司,TWS0008,亞喬企業股份有限公司,PS00047,SYSCO,CSUS304-20,0,0.36,914.0,-,BC,S1,YU,SUS304,SUS304,0.36,914.0,0.36,1W0802Y6,1W0802,25,BW73Y2,12.5,CIA008,戶外壁板,-,無選配,508,P,C989,A3,-,4.0,4.9
2502DFD064/001,TWS0072,華明鋼鐵股份有限公司,TWS0072,華明鋼鐵股份有限公司,TWS0072,華明鋼鐵股份有限公司,PG04563,CNS,CGCD1-10,0,0.426,1190.0,Z08,BC,D3,CSC,HRD3M,HRD3,2.46,1205.0,0.43,AW4214W1,AW4214,25,AW4214,25,CIR029,垃圾桶,-,無選配,508,E,S000,D7,-,2.5,3.5
2502DFD065/001,TWS0072,華明鋼鐵股份有限公司,TWS0072,華明鋼鐵股份有限公司,TWS0072,華明鋼鐵股份有限公司,PG04565,CNS,CGCD1-10,0,0.426,1216.0,Z08,BC,D3,CSC,HRD3M,HRD3,2.46,1235.0,0.43,RYE922W1,RYE922,25,7Y9A12,NOM,CIR029,垃圾桶,-,無選配,508,E,S000,D7,-,2.5,3.5
2503DCD009/002,TWS0112,和桑貿易股份有限公司,TWS0112,和桑貿易股份有限公司,TWS0112,和桑貿易股份有限公司,PL05144,CNS,CGLCC-20,-1.6,0.35,914.0,AZ150,BC,S1,CSC,SAE1008,SAE1008,2.0,924.0,0.347,NBW3YSY1,NBW3YS,NOM,BW73X2,15,COA020,印刷戶外壁板,ON008,無選配,508,S,C811,D2,-,3.0,5.0
2503DCD014/001,TWM0028,旭台浪板股份有限公司,TWM0028,旭台浪板股份有限公司,TWM0028,旭台浪板股份有限公司,PL06473,ASTM,A792MSSGR550,4.8,0.376,914.0,AZM150,AC,H2,CSC,SAE1008,SAE1008,2.0,924.0,0.35,1W0862L4,1W0862,NOM,BW7362,NOM,CIA008,戶外壁板,ON006,無選配,508,N,C104,D2,-,3.0,5.0
2504DFD001/001,TWP0002,隆豐企業股份有限公司,TWP0002,隆豐企業股份有限公司,TWP0002,隆豐企業股份有限公司,PL06284,CNS,CGLC400-10,0,0.426,912.0,AZ70,BC,S1,CH,SAE1012,SAE1012,2.02,925.0,0.43,LC2664Y1,LC2664,25,BW7362,NOM,CIA007,室內隔間,OL001,無選配,508,P,C008,S4,-,3.8,4.3
2504EFE010/001,US00566,SAFEGUARDMETALBUILDINGS,VG00005,MARCOPOLOSTEELTRADINGCORPORATION,US00566,SAFEGUARDMETALBUILDINGS,PL06449,ASTM,A792SSGR80,0,0.361,1038.0,AZ35,MIN,H2,CSC,1008C,SAE1008,2.01,1051.0,0.348,5W17T2Y1,5W17T2,25,BW4CY2,12.5,COG001,屋頂(保證年限),-,無選配,508,N,S000,E0,-,3.62,4.54
2504EFE011/003,US00567,"STEELBUILDINGS&STRUCTURES,INC",VG00005,MARCOPOLOSTEELTRADINGCORPORATION,US00567,"STEELBUILDINGS&STRUCTURES,INC",PL06449,ASTM,A792SSGR80,0,0.361,1038.0,AZ35,MIN,H2,TTC,1008MOD,SAE1008,2.01,1051.0,0.348,6G81T2Y3,6G81T2,25,BW4CY2,12.5,COG001,屋頂(保證年限),-,無選配,508,N,S000,E0,-,3.62,4.54
2504EFE011/007,US00567,"STEELBUILDINGS&STRUCTURES,INC",VG00005,MARCOPOLOSTEELTRADINGCORPORATION,US00567,"STEELBUILDINGS&STRUCTURES,INC",PL06449,ASTM,A792SSGR80,0,0.361,1038.0,AZ35,MIN,H2,JSTC,1008MOD,SAE1008,2.01,1051.0,0.348,5L6AT7Y1,5L6AT7,25,BW4CY2,12.5,COG001,屋頂(保證年限),-,無選配,508,N,S000,E0,-,3.62,4.54
2504EFE011/008,US00567,"STEELBUILDINGS&STRUCTURES,INC",VG00005,MARCOPOLOSTEELTRADINGCORPORATION,US00567,"STEELBUILDINGS&STRUCTURES,INC",PL06449,ASTM,A792SSGR80,0,0.361,1038.0,AZ35,MIN,H2,JSTC,1008MOD,SAE1008,2.01,1051.0,0.348,8B71T4Y1,8B71T4,25,BW4CY2,12.5,COG001,屋頂(保證年限),-,無選配,508,N,S000,E0,-,3.62,4.54
2504EFE010/002,US00566,SAFEGUARDMETALBUILDINGS,VG00005,MARCOPOLOSTEELTRADINGCORPORATION,US00566,SAFEGUARDMETALBUILDINGS,PL06449,ASTM,A792SSGR80,0,0.361,1038.0,AZ35,MIN,H2,CSC,1008C,SAE1008,2.01,1051.0,0.348,4Y51T4Y1,4Y51T4,25,BW4CY2,12.5,COG001,屋頂(保證年限),-,無選配,508,N,S000,E0,-,3.62,4.54
2504EFE010/003,US00566,SAFEGUARDMETALBUILDINGS,VG00005,MARCOPOLOSTEELTRADINGCORPORATION,US00566,SAFEGUARDMETALBUILDINGS,PL06449,ASTM,A792SSGR80,0,0.361,1038.0,AZ35,MIN,H2,CSC,1008C,SAE1008,2.01,1051.0,0.348,6C36T7Y1,6C36T7,25,BW4CY2,12.5,COG001,屋頂(保證年限),-,無選配,508,N,S000,E0,-,3.62,4.54
2504EFE010/004,US00566,SAFEGUARDMETALBUILDINGS,VG00005,MARCOPOLOSTEELTRADINGCORPORATION,US00566,SAFEGUARDMETALBUILDINGS,PL06449,ASTM,A792SSGR80,0,0.361,1038.0,AZ35,MIN,H2,CSC,1008C,SAE1008,2.01,1051.0,0.348,8B71T4Y1,8B71T4,25,BW4CY2,12.5,COG001,屋頂(保證年限),-,無選配,508,N,S000,E0,-,3.62,4.54
2504EFE010/005,US00566,SAFEGUARDMETALBUILDINGS,VG00005,MARCOPOLOSTEELTRADINGCORPORATION,US00566,SAFEGUARDMETALBUILDINGS,PL06449,ASTM,A792SSGR80,0,0.361,1038.0,AZ35,MIN,H2,CSC,1008C,SAE1008,2.01,1051.0,0.348,3B35T2Y2,3B35T2,25,BW4GY2,12.5,COG001,屋頂(保證年限),-,無選配,508,N,S000,E0,-,3.62,4.54
2504EFE010/006,US00566,SAFEGUARDMETALBUILDINGS,VG00005,MARCOPOLOSTEELTRADINGCORPORATION,US00566,SAFEGUARDMETALBUILDINGS,PL06449,ASTM,A792SSGR80,0,0.361,1038.0,AZ35,MIN,H2,CSC,1008C,SAE1008,2.01,1051.0,0.348,3Y69T2Y1,3Y69T2,25,BW4CY2,12.5,COG001,屋頂(保證年限),-,無選配,508,N,S000,E0,-,3.62,4.54
2504EFE010/007,US00566,SAFEGUARDMETALBUILDINGS,VG00005,MARCOPOLOSTEELTRADINGCORPORATION,US00566,SAFEGUARDMETALBUILDINGS,PL06449,ASTM,A792SSGR80,0,0.361,1038.0,AZ35,MIN,H2,JSTC,1008MOD,SAE1008,2.01,1051.0,0.348,7Y91T4Y2,7Y91T4,25,BW4CY2,12.5,COG001,屋頂(保證年限),-,無選配,508,N,S000,E0,-,3.62,4.54
2504EFE010/008,US00566,SAFEGUARDMETALBUILDINGS,VG00005,MARCOPOLOSTEELTRADINGCORPORATION,US00566,SAFEGUARDMETALBUILDINGS,PL06449,ASTM,A792SSGR80,0,0.361,1038.0,AZ35,MIN,H2,JSTC,1008MOD,SAE1008,2.01,1051.0,0.348,5B7AT2Y1,5B7AT2,25,BW4CY2,12.5,COG001,屋頂(保證年限),-,無選配,508,N,S000,E0,-,3.62,4.54
2504EFE011/009,US00567,"STEELBUILDINGS&STRUCTURES,INC",VG00005,MARCOPOLOSTEELTRADINGCORPORATION,US00567,"STEELBUILDINGS&STRUCTURES,INC",PL06449,ASTM,A792SSGR80,0,0.361,1038.0,AZ35,MIN,H2,JSTC,1008MOD,SAE1008,2.01,1051.0,0.348,3B35T2Y2,3B35T2,25,BW4GY2,12.5,COG001,屋頂(保證年限),-,無選配,508,N,S000,E0,-,3.62,4.54
2504EFE011/010,US00567,"STEELBUILDINGS&STRUCTURES,INC",VG00005,MARCOPOLOSTEELTRADINGCORPORATION,US00567,"STEELBUILDINGS&STRUCTURES,INC",PL06449,ASTM,A792SSGR80,0,0.361,1038.0,AZ35,MIN,H2,JSTC,1008MOD,SAE1008,2.01,1051.0,0.348,3Y69T2Y1,3Y69T2,25,BW4CY2,12.5,COG001,屋頂(保證年限),-,無選配,508,N,S000,E0,-,3.62,4.54
2504EFE011/011,US00567,"STEELBUILDINGS&STRUCTURES,INC",VG00005,MARCOPOLOSTEELTRADINGCORPORATION,US00567,"STEELBUILDINGS&STRUCTURES,INC",PL06449,ASTM,A792SSGR80,0,0.361,1038.0,AZ35,MIN,H2,JSTC,1008MOD,SAE1008,2.01,1051.0,0.348,7Y91T4Y2,7Y91T4,25,BW4CY2,12.5,COG001,屋頂(保證年限),-,無選配,508,N,S000,E0,-,3.62,4.54
2504EFE011/012,US00567,"STEELBUILDINGS&STRUCTURES,INC",VG00005,MARCOPOLOSTEELTRADINGCORPORATION,US00567,"STEELBUILDINGS&STRUCTURES,INC",PL06449,ASTM,A792SSGR80,0,0.361,1038.0,AZ35,MIN,H2,JSTC,1008MOD,SAE1008,2.01,1051.0,0.348,5B7AT2Y1,5B7AT2,25,BW4CY2,12.5,COG001,屋頂(保證年限),-,無選配,508,N,S000,E0,-,3.62,4.54
2504EFE011/013,US00567,"STEELBUILDINGS&STRUCTURES,INC",VG00005,MARCOPOLOSTEELTRADINGCORPORATION,US00567,"STEELBUILDINGS&STRUCTURES,INC",PL06449,ASTM,A792SSGR80,0,0.361,1038.0,AZ35,MIN,H2,JSTC,1008MOD,SAE1008,2.01,1051.0,0.348,5R7204Y1,5R7204,25,BW4CY2,12.5,COA001,屋頂,-,無選配,508,N,S000,E0,-,3.62,4.54
2504EFE011/014,US00567,"STEELBUILDINGS&STRUCTURES,INC",VG00005,MARCOPOLOSTEELTRADINGCORPORATION,US00567,"STEELBUILDINGS&STRUCTURES,INC",PL06449,ASTM,A792SSGR80,0,0.361,1038.0,AZ35,MIN,H2,JSTC,1008MOD,SAE1008,2.01,1051.0,0.348,4L41T4Y1,4L41T4,25,BW4CY2,12.5,COG001,屋頂(保證年限),-,無選配,508,N,S000,E0,-,3.62,4.54
