日期,工作階段,總人數,事件數,交易數,總營收,電子商務轉換率,平均訂單金額
20240515,4513,3810,134443,209,"1,664,169",4.63%,"7,963"
20240514,1827,1628,38498,5,"13,457",0.27%,"2,691"
20240513,1454,1283,28392,8,"19,937",0.55%,"2,492"
20240512,1382,1243,25626,5,"20,762",0.36%,"4,152"
20240511,1449,1340,27430,8,"22,121",0.55%,"2,765"
20240510,1357,1191,28367,9,"27,362",0.66%,"3,040"
20240509,1637,1376,43302,28,"77,912",1.71%,"2,783"
20240508,3032,2347,104504,147,"445,649",4.85%,"3,032"
20240507,1443,1210,35579,3,"8,785",0.21%,"2,928"
20240506,933,821,19422,7,"24,001",0.75%,"3,429"
20240505,967,855,20515,8,"17,610",0.83%,"2,201"
20240504,867,765,17656,7,"20,979",0.81%,"2,997"
20240503,895,788,19682,11,"30,868",1.23%,"2,806"
20240502,1062,946,21809,8,"20,781",0.75%,"2,598"
20240501,1878,1601,49797,21,"46,145",1.12%,"2,197"
20240430,1170,1022,22459,14,"38,304",1.20%,"2,736"
20240429,972,825,14960,2,"6,440",0.21%,"3,220"
20240428,1021,917,16690,9,"25,610",0.88%,"2,846"
20240427,1021,899,17994,3,"9,220",0.29%,"3,073"
20240426,1535,1296,31221,8,"24,616",0.52%,"3,077"
20240425,1436,1234,26269,10,"41,365",0.70%,"4,136"
20240424,2323,1962,55362,55,"214,690",2.37%,"3,903"
20240423,1875,1586,34851,53,"214,202",2.83%,"4,042"
20240422,1013,875,19683,9,"22,798",0.89%,"2,533"
20240421,910,834,12615,3,"10,747",0.33%,"3,582"
20240420,920,816,12825,3,"7,421",0.33%,"2,474"
20240419,1449,1263,27568,17,"42,324",1.17%,"2,490"
20240418,1132,956,20191,9,"18,080",0.80%,"2,009"
20240417,1482,1279,28692,12,"26,274",0.81%,"2,189"
20240416,1180,1019,21207,3,"5,978",0.25%,"1,993"
20240415,1230,1095,20480,6,"16,307",0.49%,"2,718"
20240414,830,746,11497,2,"10,041",0.24%,"5,021"
20240413,707,642,10784,4,"7,807",0.57%,"1,952"
20240412,866,756,14000,5,"14,619",0.58%,"2,924"
20240411,1092,949,17583,6,"11,749",0.55%,"1,958"
20240410,1444,1256,23895,8,"36,841",0.55%,"4,605"
20240409,1115,984,19138,5,"10,895",0.45%,"2,179"
20240408,845,727,15524,11,"37,387",1.30%,"3,399"
20240407,813,738,11978,5,"14,876",0.62%,"2,975"
20240406,730,671,10797,4,"7,414",0.55%,"1,853"
20240405,539,486,9417,3,"9,678",0.56%,"3,226"
20240404,651,576,13968,3,"10,843",0.46%,"3,614"
20240403,1109,951,23169,5,"18,615",0.45%,"3,723"
20240402,708,613,15135,4,"7,698",0.56%,"1,925"
20240401,777,673,16840,4,"13,466",0.51%,"3,367"
20240331,771,702,14901,5,"16,042",0.65%,"3,208"
20240330,1007,916,17679,2,"6,280",0.20%,"3,140"
20240329,1336,1199,25647,6,"16,947",0.45%,"2,824"
20240328,1267,1058,24099,10,"34,719",0.79%,"3,472"
20240327,2967,2206,48399,12,"40,243",0.40%,"3,354"
20240326,2235,2039,46399,12,"31,723",0.54%,"2,644"
20240325,2256,2089,35567,6,"12,400",0.27%,"2,067"
20240324,2389,2233,21225,5,"13,171",0.21%,"2,634"
20240323,2401,2251,22516,6,"15,217",0.25%,"2,536"
20240322,2924,2648,33015,6,"16,355",0.21%,"2,726"
20240321,3589,3227,44806,21,"58,205",0.59%,"2,772"
20240320,4720,4171,60789,41,"122,941",0.87%,"2,999"
20240319,4021,3734,42979,11,"25,175",0.27%,"2,289"
20240318,2438,2230,26129,7,"20,656",0.29%,"2,951"
20240317,2406,2288,20048,4,"15,571",0.17%,"3,893"
20240316,2246,2101,19709,1,"2,959",0.04%,"2,959"
20240315,2121,1945,20212,5,"6,877",0.24%,"1,375"
20240314,2707,2398,32522,16,"73,513",0.59%,"4,595"
20240313,4993,4386,62561,50,"224,474",1.00%,"4,489"
20240312,2510,2320,24261,6,"14,642",0.24%,"2,440"
20240311,2344,2120,22846,6,"13,783",0.26%,"2,297"
20240310,2660,2508,23178,3,"9,073",0.11%,"3,024"
20240309,2050,1927,16046,2,"4,678",0.10%,"2,339"
20240308,2283,2069,20275,4,"7,740",0.18%,"1,935"
20240307,2556,2308,25295,9,"21,083",0.35%,"2,343"
20240306,3280,2911,39867,16,"46,065",0.49%,"2,879"
20240305,2691,2432,25527,10,"24,142",0.37%,"2,414"
20240304,2557,2365,24123,12,"34,222",0.47%,"2,852"
20240303,2438,2281,18955,7,"26,352",0.29%,"3,765"
20240302,2299,2240,22328,5,"7,977",0.22%,"1,595"
20240301,2366,2261,23642,12,"36,198",0.51%,"3,016"
20240229,3371,3083,35730,30,"112,082",0.89%,"3,736"
20240228,7209,6464,89685,51,"234,445",0.71%,"4,597"
20240227,7271,6586,92329,138,"803,753",1.90%,"5,824"
20240226,4492,4159,49973,47,"276,718",1.05%,"5,888"
20240225,2400,2247,18235,3,"7,956",0.13%,"2,652"
20240224,2244,2116,19488,5,"13,741",0.22%,"2,748"
20240223,2353,2128,24686,11,"33,813",0.47%,"3,074"
20240222,3657,3279,36770,17,"63,399",0.46%,"3,729"
20240221,8407,7685,92512,98,"568,343",1.17%,"5,799"
20240220,3530,3257,39408,14,"41,040",0.40%,"2,931"
20240219,3296,3009,30224,9,"23,761",0.27%,"2,640"
20240218,2383,2236,20574,5,"11,974",0.21%,"2,395"
20240217,2368,2215,22590,8,"24,841",0.34%,"3,105"
20240216,2637,2389,25954,10,"22,759",0.38%,"2,276"
20240215,1949,1778,19433,5,"9,779",0.26%,"1,956"
20240214,2651,2402,28605,8,"18,275",0.30%,"2,284"
20240213,1806,1672,16452,7,"14,650",0.39%,"2,093"
20240212,1625,1512,17574,6,"12,706",0.37%,"2,118"
20240211,1656,1539,13237,1,"1,810",0.06%,"1,810"
20240210,1613,1484,13761,4,"7,909",0.25%,"1,977"
20240209,1985,1823,13844,2,"3,827",0.10%,"1,913"
20240208,2379,2191,18646,4,"11,031",0.17%,"2,758"
20240207,2898,2633,27094,10,"26,894",0.35%,"2,689"
20240206,2541,2342,22882,2,"2,999",0.08%,"1,499"
20240205,2541,2324,24376,9,"31,294",0.35%,"3,477"
20240204,2541,2350,23802,6,"31,273",0.24%,"5,212"
20240203,2847,2621,26312,14,"33,942",0.49%,"2,424"
20240202,2287,2084,24051,11,"33,635",0.48%,"3,058"
20240201,2611,2373,27783,6,"16,454",0.23%,"2,742"
20240131,4122,3662,50523,21,"62,637",0.51%,"2,983"
20240130,2977,2732,37169,17,"45,712",0.57%,"2,689"
20240129,2716,2459,31395,20,"51,809",0.74%,"2,590"
20240128,2433,2239,27724,13,"50,138",0.53%,"3,857"
20240127,2430,2253,28196,12,"22,612",0.49%,"1,884"
20240126,2701,2496,27584,17,"43,812",0.63%,"2,577"
20240125,3614,3330,37946,24,"79,369",0.66%,"3,307"
20240124,7268,6629,94752,108,"583,783",1.49%,"5,405"
20240123,13726,12583,194513,355,"2,186,242",2.59%,"6,158"
20240122,2796,2512,30965,11,"34,098",0.39%,"3,100"
20240121,2944,2713,27484,10,"28,471",0.34%,"2,847"
20240120,2821,2615,26488,5,"10,331",0.18%,"2,066"
20240119,3470,3014,39725,21,"56,974",0.61%,"2,713"
20240118,4203,3608,52958,61,"437,399",1.45%,"7,170"
20240117,9567,7889,151621,257,"1,832,612",2.69%,"7,131"
20240116,3257,2870,38551,20,"81,869",0.61%,"4,093"
20240115,3999,3665,48759,29,"145,367",0.73%,"5,013"
20240114,2332,2158,22510,13,"56,367",0.56%,"4,336"
20240113,2077,1890,19429,10,"43,600",0.48%,"4,360"
20240112,2447,2208,27578,10,"28,657",0.41%,"2,866"
20240111,2881,2675,40180,20,"54,450",0.69%,"2,722"
20240110,4642,4039,60328,30,"85,190",0.65%,"2,840"
20240109,3258,2897,38111,12,"29,292",0.37%,"2,441"
20240108,2959,2738,38323,17,"66,686",0.57%,"3,923"
20240107,2891,2695,27927,10,"54,944",0.35%,"5,494"
20240106,2916,2712,33861,14,"51,073",0.48%,"3,648"
20240105,3987,3522,50550,16,"49,459",0.40%,"3,091"
20240104,3286,2980,42482,21,"67,149",0.64%,"3,198"
20240103,4605,4134,61505,34,"124,072",0.74%,"3,649"
20240102,2427,2218,27196,12,"36,893",0.49%,"3,074"
20240101,2366,2206,20991,4,"11,483",0.17%,"2,871"
20231231,2649,2539,26087,8,"23,431",0.30%,"2,929"
20231230,3185,3077,32923,8,"19,798",0.25%,"2,475"
20231229,2426,2215,23404,11,"25,399",0.45%,"2,309"
20231228,3904,3541,48863,35,"160,542",0.90%,"4,587"
20231227,4655,4097,67643,62,"296,659",1.33%,"4,785"
20231226,2168,1968,24811,4,"10,312",0.18%,"2,578"
20231225,2198,2033,23207,14,"44,105",0.64%,"3,150"
20231224,2031,1962,21928,3,"7,756",0.15%,"2,585"
20231223,1947,1859,19315,7,"22,695",0.36%,"3,242"
20231222,3097,2858,34655,21,"44,171",0.68%,"2,103"
20231221,3002,2656,41079,24,"58,139",0.80%,"2,422"
20231220,3588,3226,46190,20,"47,765",0.56%,"2,388"
20231219,2477,2286,29384,11,"25,486",0.44%,"2,317"
20231218,2176,1995,22717,9,"22,746",0.41%,"2,527"
20231217,2153,1997,20884,7,"18,694",0.33%,"2,671"
20231216,2167,2041,21106,8,"16,698",0.37%,"2,087"
20231215,1911,1748,17712,4,"8,548",0.21%,"2,137"
20231214,2429,2200,28851,6,"18,169",0.25%,"3,028"
20231213,3290,2972,44061,22,"48,451",0.67%,"2,202"
20231212,4447,3816,72557,66,"166,245",1.48%,"2,519"
20231211,2527,2291,28037,9,"28,817",0.36%,"3,202"
20231210,2374,2210,19518,8,"30,544",0.34%,"3,818"
20231209,2358,2213,22179,12,"37,136",0.51%,"3,095"
20231208,2238,2062,21347,6,"21,423",0.27%,"3,570"
20231207,2094,1912,23136,9,"23,207",0.43%,"2,579"
20231206,2701,2379,45269,18,"56,825",0.67%,"3,157"
20231205,1935,1747,28559,11,"40,080",0.57%,"3,644"
20231204,1640,1456,22147,6,"16,271",0.37%,"2,712"
20231203,1574,1459,20841,9,"20,841",0.57%,"2,316"
20231202,1597,1440,22630,4,"9,096",0.25%,"2,274"
20231201,1637,1496,22079,4,"8,739",0.24%,"2,185"
20231130,1930,1694,26576,19,"56,300",0.98%,"2,963"
20231129,3059,2659,60986,69,"215,707",2.26%,"3,126"
20231128,2369,2098,38834,36,"124,434",1.52%,"3,457"
20231127,2615,2359,45049,22,"82,587",0.84%,"3,754"
20231126,1764,1654,23254,13,"47,559",0.74%,"3,658"
20231125,1400,1285,12872,4,"13,766",0.29%,"3,441"
20231124,1855,1649,28887,17,"60,956",0.92%,"3,586"
20231123,2081,1855,32078,21,"65,003",1.01%,"3,095"
20231122,3093,2647,49447,22,"61,476",0.71%,"2,794"
20231121,2199,1966,30400,20,"54,510",0.91%,"2,726"
20231120,3004,2608,49301,27,"80,770",0.90%,"2,991"
20231119,1626,1484,22058,6,"15,011",0.37%,"2,502"
20231118,1462,1350,17787,3,"8,461",0.21%,"2,820"
20231117,1728,1528,25918,5,"15,243",0.29%,"3,049"
20231116,2554,2243,43890,27,"104,920",1.06%,"3,886"
20231115,3999,3407,90097,90,"383,028",2.25%,"4,256"
20231114,2068,1828,36033,18,"52,180",0.87%,"2,899"
20231113,1893,1684,33952,20,"55,294",1.06%,"2,765"
20231112,1960,1760,33193,13,"41,394",0.66%,"3,184"
20231111,2161,1938,44676,28,"81,004",1.30%,"2,893"
20231110,1875,1672,33071,15,"37,977",0.80%,"2,532"
20231109,2540,2234,46843,19,"51,837",0.75%,"2,728"
20231108,4192,3717,85685,75,"241,474",1.79%,"3,220"
20231107,2647,2340,45099,24,"74,839",0.91%,"3,118"
20231106,2149,1878,41011,21,"63,614",0.98%,"3,029"
20231105,2141,1984,35662,16,"48,476",0.75%,"3,030"
20231104,2059,1851,34522,9,"27,835",0.44%,"3,093"
20231103,1780,1555,29236,5,"13,239",0.28%,"2,648"
20231102,2339,2044,44953,14,"38,033",0.60%,"2,717"
20231101,3286,2850,80760,51,"137,474",1.55%,"2,696"
20231031,2076,1826,34041,17,"52,737",0.82%,"3,102"
20231030,2189,1929,34668,18,"44,741",0.82%,"2,486"
20231029,1634,1488,21611,8,"19,479",0.49%,"2,435"
20231028,1839,1653,24538,3,"6,496",0.16%,"2,165"
20231027,2022,1724,28953,16,"48,030",0.79%,"3,002"
20231026,2412,2112,36944,17,"47,315",0.70%,"2,783"
20231025,3468,3007,62855,39,"110,138",1.12%,"2,824"
20231024,2551,2289,37436,8,"18,655",0.31%,"2,332"
20231023,2247,1997,33718,9,"27,048",0.40%,"3,005"
20231022,2627,2364,45504,82,"305,819",3.12%,"3,729"
20231021,2980,2630,55325,88,"305,662",2.95%,"3,473"
20231020,5309,4593,96910,163,"568,314",3.07%,"3,487"
20231019,16102,14344,360080,913,"4,232,650",5.67%,"4,636"
20231018,3731,3292,73302,50,"142,342",1.34%,"2,847"
20231017,2042,1825,30776,8,"48,540",0.39%,"6,068"
20231016,1689,1564,23904,7,"21,628",0.41%,"3,090"
20231015,1595,1483,22402,8,"17,429",0.50%,"2,179"
20231014,1786,1617,22983,10,"31,690",0.56%,"3,169"
20231013,2004,1766,28906,15,"52,351",0.75%,"3,490"
20231012,2033,1777,29899,17,"50,108",0.84%,"2,948"
20231011,3258,2882,67253,37,"76,779",1.14%,"2,075"
20231010,2715,2442,56719,39,"79,402",1.44%,"2,036"
20231009,2380,2137,51689,26,"56,660",1.09%,"2,179"
20231008,2190,1975,45141,23,"47,626",1.05%,"2,071"
20231007,2011,1823,43243,19,"39,442",0.94%,"2,076"
20231006,1712,1509,27317,15,"37,375",0.88%,"2,492"
20231005,1953,1713,31387,11,"28,222",0.56%,"2,566"
20231004,3082,2664,57208,36,"143,159",1.17%,"3,977"
20231003,1897,1687,28904,9,"18,936",0.47%,"2,104"
20231002,1938,1715,27561,3,"10,394",0.15%,"3,465"
20231001,1911,1760,27867,10,"23,065",0.52%,"2,307"
20230930,1525,1375,22260,7,"17,967",0.46%,"2,567"
20230929,1705,1542,22320,10,"24,888",0.59%,"2,489"
20230928,2164,1934,33195,13,"39,034",0.60%,"3,003"
20230927,3410,3016,57865,29,"91,997",0.85%,"3,172"
20230926,2219,1975,31859,11,"24,772",0.50%,"2,252"
20230925,2569,2300,41828,17,"45,050",0.66%,"2,650"
20230924,2076,1873,28179,9,"16,984",0.43%,"1,887"
20230923,2545,2258,35193,12,"32,608",0.47%,"2,717"
20230922,2122,1847,29376,4,"9,539",0.19%,"2,385"
20230921,2769,2436,44617,22,"62,168",0.79%,"2,826"
20230920,3273,2788,40918,26,"78,487",0.79%,"3,019"
20230919,2453,2205,22775,13,"36,822",0.53%,"2,832"
20230918,1991,1794,17817,7,"32,909",0.35%,"4,701"
20230917,2038,1852,16700,10,"26,457",0.49%,"2,646"
20230916,2023,1808,17577,7,"23,581",0.35%,"3,369"
20230915,3095,2808,29643,21,"62,114",0.68%,"2,958"
20230914,5063,4449,58522,54,"160,590",1.07%,"2,974"
20230913,8100,7122,86570,85,"266,527",1.05%,"3,136"
20230912,3987,3662,41025,21,"49,982",0.53%,"2,380"
20230911,2262,2082,15837,8,"18,881",0.35%,"2,360"
20230910,1837,1687,13000,7,"19,312",0.38%,"2,759"
20230909,1700,1566,13801,6,"14,699",0.35%,"2,450"
20230908,1763,1698,19645,13,"42,168",0.74%,"3,244"
20230907,1875,1866,23598,9,"24,082",0.48%,"2,676"
20230906,2523,2232,26389,20,"61,220",0.79%,"3,061"
20230905,2176,1982,17192,6,"12,022",0.28%,"2,004"
20230904,2001,1838,13998,4,"12,780",0.20%,"3,195"
20230903,1889,1736,13103,9,"15,251",0.48%,"1,695"
20230902,1645,1491,11379,8,"19,094",0.49%,"2,387"
20230901,1662,1503,11891,5,"11,468",0.30%,"2,294"
20230831,1894,1725,15395,17,"60,521",0.90%,"3,560"
20230830,3057,2755,25078,17,"64,918",0.56%,"3,819"
20230829,2233,2008,18892,10,"33,195",0.45%,"3,320"
20230828,1996,1830,15674,9,"28,559",0.45%,"3,173"
20230827,1467,1353,9133,4,"20,636",0.27%,"5,159"
20230826,1615,1496,10253,5,"21,289",0.31%,"4,258"
20230825,1671,1486,12635,7,"24,755",0.42%,"3,536"
20230824,2256,2018,19553,11,"37,130",0.49%,"3,375"
20230823,2718,2427,25337,19,"69,569",0.70%,"3,662"
20230822,1904,1706,14228,8,"15,785",0.42%,"1,973"
20230821,2306,2070,18197,12,"42,251",0.52%,"3,521"
20230820,2773,2552,20206,10,"26,755",0.36%,"2,676"
20230819,1838,1712,12250,5,"13,706",0.27%,"2,741"
20230818,1943,1751,15162,16,"47,660",0.82%,"2,979"
20230817,1993,1800,17132,8,"22,546",0.40%,"2,818"
20230816,2916,2597,30446,26,"71,350",0.89%,"2,744"
20230815,2399,2147,20206,5,"24,382",0.21%,"4,876"
20230814,2492,2262,25519,30,"84,673",1.20%,"2,822"
20230813,2936,2722,26774,19,"55,804",0.65%,"2,937"
20230812,2253,2007,23167,17,"46,322",0.75%,"2,725"
20230811,2574,2306,29019,28,"71,678",1.09%,"2,560"
20230810,3042,2732,34684,41,"155,152",1.35%,"3,784"
20230809,4643,4006,60852,97,"307,083",2.09%,"3,166"
20230808,4379,3916,53562,68,"354,757",1.55%,"5,217"
20230807,3592,3249,38312,76,"408,148",2.12%,"5,370"
20230806,1215,1122,8645,4,"6,871",0.33%,"1,718"
20230805,1313,1208,9301,3,"12,480",0.23%,"4,160"
20230804,1590,1422,11863,6,"23,087",0.38%,"3,848"
20230803,1806,1586,16672,23,"68,139",1.27%,"2,963"
20230802,2807,2449,32457,49,"158,322",1.75%,"3,231"
20230801,1633,1460,15488,7,"14,308",0.43%,"2,044"
20230731,1632,1450,14368,15,"53,147",0.92%,"3,543"
20230730,1579,1453,12969,7,"21,857",0.44%,"3,122"
20230729,1512,1384,12157,7,"16,582",0.46%,"2,369"
20230728,2059,1807,21290,23,"64,753",1.12%,"2,815"
20230727,2539,2173,34328,64,"163,424",2.52%,"2,553"
20230726,3756,3198,51721,106,"266,474",2.82%,"2,514"
20230725,1815,1617,16557,10,"23,112",0.55%,"2,311"
20230724,1602,1407,13148,8,"21,372",0.50%,"2,671"
20230723,1379,1259,10261,6,"16,926",0.44%,"2,821"
20230722,2616,2427,34923,78,"377,870",2.98%,"4,844"
20230721,2003,1751,19569,28,"136,445",1.40%,"4,873"
20230720,2736,2368,31494,48,"206,622",1.75%,"4,305"
20230719,3077,2622,38187,45,"149,207",1.46%,"3,316"
20230718,1914,1701,18718,15,"50,934",0.78%,"3,396"
