日期,來源,媒介,工作階段,總人數,互動工作階段,新用戶,總營收,交易數
20240704,phone,sms,105,85,46,44,0.00,0
20240704,phone,line,66,59,26,18,"3,245.00",2
20240704,member,edm,9,9,6,5,0.00,0
20240704,tw.search.yahoo.com,referral,9,8,6,6,0.00,0
20240704,facebook.com,referral,8,8,7,8,0.00,0
20240704,(not set),(not set),5,5,0,0,0.00,0
20240704,l.facebook.com,referral,5,3,4,1,0.00,0
20240704,bing,organic,4,4,4,3,0.00,0
20240704,mitdub.cyberbiz.co,referral,4,2,4,0,0.00,0
20240704,reurl.cc,referral,4,4,4,4,0.00,0
20240704,facebook,CPC,3,3,3,3,0.00,0
20240704,line_oa,referral,3,1,1,0,0.00,0
20240704,webcache.googleusercontent.com,referral,3,1,2,0,0.00,0
20240704,baidu,organic,2,2,0,2,0.00,0
20240704,google,business,2,1,1,1,0.00,0
20240704,google,cpc_pmax,2,2,2,2,0.00,0
20240704,groupbuy,linkuokuo,2,2,0,2,0.00,0
20240704,m.facebook.com,referral,2,2,0,2,0.00,0
20240704,cdp,sms_ma,1,1,1,0,0.00,0
20240704,facebook,newsfeed,1,1,1,1,0.00,0
20240704,facebook,store,1,1,1,1,0.00,0
20240704,groupbuy,menustudy,1,1,0,0,0.00,0
20240704,groupbuy,rosalinakitchen,1,1,1,1,0.00,0
20240704,oil.contenta.tw,referral,1,1,1,1,0.00,0
20240705,google,cpc,557,494,242,416,"3,340.00",1
20240705,google,organic,529,482,305,440,0.00,0
20240705,facebook,ad,174,171,63,142,0.00,0
20240705,(direct),(none),116,103,72,86,0.00,0
20240705,phone,line,41,35,19,15,"2,880.00",1
20240705,phone,sms,21,20,7,10,0.00,0
20240705,mitdub.cyberbiz.co,referral,11,2,7,0,0.00,0
20240705,tw.search.yahoo.com,referral,9,9,9,8,0.00,0
20240705,(not set),(not set),8,8,0,0,0.00,0
20240705,groupbuy,linkuokuo,7,7,2,3,0.00,0
20240705,member,edm,7,7,6,3,0.00,0
20240705,groupbuy,menustudy,6,4,2,2,0.00,0
20240705,m.facebook.com,referral,6,6,5,6,0.00,0
20240705,google,cpc_pmax,5,5,2,5,0.00,0
20240705,oil.contenta.tw,referral,5,4,3,3,0.00,0
20240705,baidu,organic,3,3,3,3,0.00,0
20240705,facebook.com,referral,3,3,2,3,0.00,0
20240705,google,business,3,3,3,3,0.00,0
20240705,reurl.cc,referral,3,2,1,2,0.00,0
20240705,webcache.googleusercontent.com,referral,3,1,3,0,0.00,0
20240705,1620.one,referral,2,2,1,1,0.00,0
20240705,l.facebook.com,referral,2,2,2,1,0.00,0
20240705,lm.facebook.com,referral,2,2,1,2,0.00,0
20240705,104.com.tw,referral,1,1,1,1,0.00,0
20240705,bing,organic,1,1,1,1,0.00,0
20240705,cdp,sms_ma,1,1,0,0,0.00,0
20240705,google,cpc_keywords,1,1,0,1,0.00,0
20240705,l.threads.net,referral,1,1,0,1,0.00,0
20240705,search1.me,referral,1,1,1,1,0.00,0
20240706,google,organic,579,540,342,502,0.00,0
20240706,google,cpc,236,224,153,179,0.00,0
20240706,(direct),(none),120,111,42,101,0.00,0
20240706,facebook,ad,120,116,45,82,0.00,0
20240706,phone,line,18,17,9,7,0.00,0
20240706,m.facebook.com,referral,8,8,5,6,0.00,0
20240706,phone,sms,8,8,4,4,0.00,0
20240706,tw.search.yahoo.com,referral,5,5,4,1,0.00,0
20240706,(not set),(not set),4,4,0,0,0.00,0
20240706,mitdub.cyberbiz.co,referral,4,2,4,0,799.00,1
20240706,facebook.com,referral,3,3,3,3,0.00,0
20240706,google,business,3,3,3,2,0.00,0
20240706,google,cpc_keywords,3,3,0,3,0.00,0
20240706,member,edm,3,2,2,0,0.00,0
20240706,google,cpc_pmax,2,2,0,2,0.00,0
20240706,groupbuy,1620vlog,2,2,2,2,0.00,0
20240706,groupbuy,chefchouchou,2,2,1,2,0.00,0
20240706,groupbuy,menustudy,2,2,1,0,0.00,0
20240706,ecosia.org,organic,1,1,1,1,0.00,0
20240706,gff.co.uk,referral,1,1,1,1,0.00,0
20240706,l.facebook.com,referral,1,1,1,0,0.00,0
20240706,oil.contenta.tw,referral,1,1,0,1,0.00,0
20240706,reurl.cc,referral,1,1,1,0,0.00,0
20240707,google,organic,662,598,375,553,"4,902.00",2
20240707,google,cpc,246,227,151,193,0.00,0
20240707,facebook,ad,136,132,43,117,"2,702.00",1
20240707,(direct),(none),107,99,41,87,"1,420.00",1
20240707,phone,line,40,34,23,15,"5,250.00",2
20240707,cdp,sms_ma,26,25,15,16,0.00,0
20240707,tw.search.yahoo.com,referral,12,10,6,6,0.00,0
20240707,(not set),(not set),7,7,0,0,0.00,0
20240707,phone,sms,6,5,6,0,0.00,0
20240707,l.facebook.com,referral,4,4,3,4,0.00,0
20240707,facebook,newsfeed,3,3,2,3,0.00,0
20240707,google,cpc_keywords,3,3,3,3,0.00,0
20240707,groupbuy,menustudy,3,3,0,1,0.00,0
20240707,mitdub.cyberbiz.co,referral,3,2,3,0,0.00,0
20240707,1620.one,referral,2,2,2,1,0.00,0
20240707,google,business,2,2,2,2,0.00,0
20240707,lm.facebook.com,referral,2,2,2,2,0.00,0
20240707,member,edm,2,2,1,2,0.00,0
20240707,baidu,organic,1,1,0,1,0.00,0
20240707,groupbuy,cccucina,1,1,0,1,0.00,0
20240707,groupbuy,keyirou,1,1,0,1,0.00,0
20240707,groupbuy,linkuokuo,1,1,0,1,0.00,0
20240707,m.facebook.com,referral,1,1,1,1,0.00,0
20240707,oil.contenta.tw,referral,1,1,0,1,0.00,0
20240707,reurl.cc,referral,1,1,1,0,0.00,0
20240708,google,organic,670,608,376,557,0.00,0
20240708,google,cpc,176,156,113,110,"2,642.00",1
20240708,facebook,ad,161,148,72,120,"1,210.00",1
20240708,(direct),(none),82,75,38,60,"1,710.00",1
20240708,phone,line,38,29,23,10,"7,590.00",2
20240708,tw.search.yahoo.com,referral,10,10,7,6,0.00,0
20240708,facebook,newsfeed,8,6,6,4,0.00,0
20240708,cdp,sms_ma,7,6,3,3,0.00,0
20240708,m.facebook.com,referral,6,6,2,6,0.00,0
20240708,phone,sms,5,4,2,2,0.00,0
20240708,(not set),(not set),4,4,0,0,0.00,0
20240708,facebook,CPC,4,4,4,4,0.00,0
20240708,facebook.com,referral,4,4,4,4,0.00,0
20240708,yahoo,cpc,4,1,2,1,0.00,0
20240708,google,business,3,3,3,3,0.00,0
20240708,groupbuy,menustudy,3,3,1,0,0.00,0
20240708,l.facebook.com,referral,2,2,2,1,0.00,0
20240708,mateim.cybozu.com,referral,2,1,2,1,0.00,0
20240708,member,edm,2,2,2,0,0.00,0
20240708,mitdub.cyberbiz.co,referral,2,1,2,0,0.00,0
20240708,oil.contenta.tw,referral,2,2,1,1,0.00,0
20240708,google,cpc_pmax,1,1,1,1,0.00,0
20240708,groupbuy,1620vlog,1,1,1,0,0.00,0
20240708,groupbuy,linkuokuo,1,1,1,0,0.00,0
20240708,l.instagram.com,referral,1,1,1,1,0.00,0
20240708,lm.facebook.com,referral,1,1,1,1,0.00,0
20240708,yahoo,organic,1,1,1,1,0.00,0
20240709,google,organic,651,600,380,552,"2,150.00",1
20240709,facebook,ad,138,124,75,83,0.00,0
20240709,google,cpc,125,108,78,73,"4,632.00",2
20240709,(direct),(none),98,92,57,76,"5,161.00",3
20240709,member,edm,73,68,46,39,"4,882.00",2
20240709,phone,line,51,39,24,19,0.00,0
20240709,cdp,sms_ma,11,9,4,0,0.00,0
20240709,groupbuy,linkuokuo,10,7,7,3,0.00,0
20240709,member,(not set),10,10,0,10,0.00,0
20240709,tw.search.yahoo.com,referral,9,7,6,5,0.00,0
20240709,(not set),(not set),8,8,0,0,0.00,0
20240709,phone,sms,7,4,7,2,"3,372.00",1
20240709,baidu,organic,6,6,2,6,0.00,0
20240709,mitdub.cyberbiz.co,referral,5,2,2,0,0.00,0
20240709,reurl.cc,referral,5,5,4,4,950.00,1
20240709,google,business,4,4,2,4,0.00,0
20240709,m.facebook.com,referral,4,4,3,4,0.00,0
20240709,bing,organic,3,3,3,3,0.00,0
20240709,facebook,newsfeed,3,3,3,2,0.00,0
20240709,facebook.com,referral,3,3,1,3,0.00,0
20240709,groupbuy,yu.beauty.belle,3,1,1,0,0.00,0
20240709,buy-partner.line.me,referral,2,1,0,0,0.00,0
20240709,lm.facebook.com,referral,2,2,2,2,0.00,0
20240709,webcache.googleusercontent.com,referral,2,1,2,0,0.00,0
20240709,104.com.tw,referral,1,1,1,1,0.00,0
20240709,1620.one,referral,1,1,1,1,0.00,0
20240709,facebook,menustudy,1,1,0,1,0.00,0
20240709,groupbuy,menustudy,1,1,1,0,0.00,0
20240709,l.facebook.com,referral,1,1,1,1,0.00,0
20240709,m.youtube.com,referral,1,1,0,1,0.00,0
20240709,oil.contenta.tw,referral,1,1,1,1,0.00,0
20240709,yahoo,organic,1,1,1,1,0.00,0
20240709,youtube.com,referral,1,1,0,1,0.00,0
20240710,google,organic,679,612,419,555,"8,269.00",3
20240710,phone,line,603,512,398,312,"13,835.00",5
20240710,facebook,ad,198,178,105,135,"2,999.00",1
20240710,google,cpc,184,153,128,116,"16,252.00",2
20240710,(direct),(none),122,106,64,84,"27,988.00",6
20240710,member,edm,24,20,16,9,0.00,0
20240710,tw.search.yahoo.com,referral,21,16,14,13,0.00,0
20240710,(not set),(not set),13,13,0,0,0.00,0
20240710,groupbuy,linkuokuo,13,10,5,8,0.00,0
20240710,phone,sms,13,5,9,2,0.00,0
20240710,mitdub.cyberbiz.co,referral,8,5,7,0,0.00,0
20240710,facebook,newsfeed,7,3,6,0,0.00,0
20240710,access.line.me,referral,6,3,6,0,"4,990.00",1
20240710,buy-partner.line.me,referral,5,1,2,0,0.00,0
20240710,cdp,sms_ma,5,4,1,1,0.00,0
20240710,groupbuy,menustudy,4,2,0,1,0.00,0
20240710,facebook.com,referral,2,2,2,2,0.00,0
20240710,google,business,2,2,2,2,0.00,0
20240710,groupbuy,rosalinakitchen,2,2,1,2,0.00,0
20240710,l.facebook.com,referral,2,2,1,0,0.00,0
20240710,m.facebook.com,referral,2,2,1,2,0.00,0
20240710,reurl.cc,referral,2,2,1,2,0.00,0
20240710,104.com.tw,referral,1,1,1,1,0.00,0
20240710,admin.ecpay.com.tw,referral,1,1,0,1,0.00,0
20240710,bing,organic,1,1,1,0,0.00,0
20240710,ecosia.org,organic,1,1,1,1,0.00,0
20240710,google,cpc_pmax,1,1,0,1,0.00,0
20240710,lm.facebook.com,referral,1,1,1,1,0.00,0
20240710,yahoo,cpc,1,1,1,1,0.00,0
20240710,yahoo,organic,1,1,1,1,0.00,0
20240711,groupbuy,linkuokuo,1156,1037,320,843,"991,140.00",122
20240711,(not set),(not set),845,767,0,0,"67,800.00",9
20240711,google,organic,597,554,381,505,0.00,0
20240711,(direct),(none),232,218,80,188,"55,250.00",8
20240711,google,cpc,167,144,108,104,"2,304.00",1
20240711,facebook,ad,145,140,71,116,0.00,0
20240711,phone,line,122,101,53,39,"7,070.00",2
20240711,phone,sms,78,68,46,30,0.00,0
20240711,member,edm,20,17,11,7,"3,617.00",1
20240711,tw.search.yahoo.com,referral,15,12,14,9,0.00,0
20240711,mitdub.cyberbiz.co,referral,11,4,8,0,0.00,0
20240711,frontdesign.dotmore.com.tw,referral,6,2,5,0,0.00,0
20240711,google,business,6,5,3,5,0.00,0
20240711,m.facebook.com,referral,6,6,4,6,0.00,0
20240711,cdp,sms,4,2,2,1,0.00,0
20240711,groupbuy,menustudy,4,4,3,0,"15,600.00",2
20240711,cdp,sms_ma,3,2,2,2,0.00,0
20240711,facebook,CPC,3,3,2,3,0.00,0
20240711,facebook.com,referral,3,3,1,3,0.00,0
20240711,google,cpc_keywords,3,3,2,3,0.00,0
20240711,bing,organic,2,2,1,1,0.00,0
20240711,yahoo,cpc,2,1,1,1,0.00,0
20240711,baidu,organic,1,1,0,1,0.00,0
20240711,cyberbizpay.com,referral,1,1,1,0,0.00,0
20240711,facebook,newsfeed,1,1,1,1,0.00,0
20240711,foodytraveller.com,referral,1,1,0,1,0.00,0
20240711,groupbuy,keyirou,1,1,1,1,0.00,0
20240711,groupbuy,peachsun,1,1,1,1,0.00,0
20240711,groupbuy,rosalinakitchen,1,1,1,1,0.00,0
20240711,instagram.com,referral,1,1,1,1,0.00,0
20240711,l.facebook.com,referral,1,1,0,0,0.00,0
20240711,l.instagram.com,referral,1,1,1,1,0.00,0
20240711,lm.facebook.com,referral,1,1,1,1,0.00,0
20240711,oil.contenta.tw,referral,1,1,1,0,0.00,0
20240711,webcache.googleusercontent.com,referral,1,1,1,0,0.00,0
20240711,yahoo,organic,1,1,1,1,0.00,0
20240711,youtube,video,1,1,0,1,0.00,0
20240712,groupbuy,linkuokuo,3827,3641,663,3117,"952,310.00",127
20240712,(not set),(not set),3429,2978,0,0,"39,000.00",5
20240712,(direct),(none),647,623,121,569,"38,587.00",7
20240712,google,organic,630,570,380,512,"7,800.00",1
20240712,google,cpc,213,193,142,144,"5,184.00",1
20240712,phone,line,129,109,72,49,"7,800.00",1
20240712,facebook,ad,125,118,58,87,0.00,0
20240712,tw.search.yahoo.com,referral,25,17,20,14,0.00,0
20240712,phone,sms,20,15,9,9,0.00,0
20240712,m.facebook.com,referral,15,15,10,10,0.00,0
20240712,member,edm,12,10,4,3,0.00,0
20240712,mitdub.cyberbiz.co,referral,11,5,6,0,0.00,0
20240712,l.facebook.com,referral,8,6,6,3,"7,800.00",1
20240712,l.instagram.com,referral,7,4,6,2,"5,400.00",1
20240712,bing,organic,6,5,4,4,0.00,0
20240712,facebook.com,referral,5,5,4,5,0.00,0
20240712,access.line.me,referral,3,3,1,0,0.00,0
20240712,google,business,3,2,1,2,0.00,0
20240712,groupbuy,menustudy,3,2,0,0,0.00,0
20240712,groupbuy,rosalinakitchen,3,2,1,1,0.00,0
20240712,facebook,newsfeed,2,2,1,2,0.00,0
20240712,groupbuy,(not set),2,2,1,2,0.00,0
20240712,groupbuy,peachsun,2,2,0,2,0.00,0
20240712,oil.contenta.tw,referral,2,1,1,1,0.00,0
20240712,reurl.cc,referral,2,2,2,1,0.00,0
20240712,ba,project,1,1,0,1,0.00,0
20240712,baidu,organic,1,1,0,1,0.00,0
20240712,cdp,sms_ma,1,1,0,0,0.00,0
20240712,groupbuy,chefchouchou,1,1,0,1,0.00,0
20240712,instagram.com,referral,1,1,0,1,0.00,0
20240712,pi.pardot.com,referral,1,1,1,1,0.00,0
20240712,webcache.googleusercontent.com,referral,1,1,1,0,0.00,0
20240712,yahoo,organic,1,1,1,1,0.00,0
20240713,groupbuy,linkuokuo,3185,3020,720,2564,"1,038,450.00",135
20240713,(not set),(not set),2599,2372,0,0,"60,530.00",7
20240713,google,organic,596,540,365,501,0.00,0
20240713,(direct),(none),454,438,80,398,"24,250.00",4
20240713,google,cpc,177,159,129,135,0.00,0
20240713,facebook,ad,142,137,71,77,"7,800.00",1
20240713,phone,line,60,54,33,27,0.00,0
20240713,m.facebook.com,referral,8,8,4,4,"7,800.00",1
20240713,google,cpc_keywords,7,7,5,7,0.00,0
20240713,tw.search.yahoo.com,referral,7,6,5,5,0.00,0
20240713,baidu,organic,6,6,1,6,0.00,0
20240713,phone,sms,5,4,3,1,0.00,0
20240713,facebook,newsfeed,4,4,4,3,0.00,0
20240713,groupbuy,rosalinakitchen,4,4,2,4,0.00,0
20240713,member,edm,4,4,2,1,0.00,0
20240713,google,business,3,3,2,3,0.00,0
20240713,l.facebook.com,referral,3,1,2,0,0.00,0
20240713,reurl.cc,referral,3,3,1,2,0.00,0
20240713,lm.facebook.com,referral,2,2,1,2,0.00,0
20240713,104.com.tw,referral,1,1,1,1,0.00,0
20240713,access.line.me,referral,1,1,0,0,0.00,0
20240713,bing,organic,1,1,1,1,0.00,0
20240713,cdp,sms_ma,1,1,0,1,0.00,0
20240713,cyberbizpay.com,referral,1,1,0,0,0.00,0
20240713,facebook.com,referral,1,1,0,1,0.00,0
20240713,google,cpc_pmax,1,1,1,1,0.00,0
20240713,gotwshop,web,1,1,1,1,0.00,0
20240713,groupbuy,38somcuh,1,1,1,1,0.00,0
20240713,groupbuy,keyirou,1,1,1,1,0.00,0
20240713,groupbuy,menustudy,1,1,0,0,0.00,0
20240713,mitdub.cyberbiz.co,referral,1,1,0,0,0.00,0
20240713,youtube,video,1,1,1,1,0.00,0
20240714,groupbuy,linkuokuo,1241,1180,318,947,"291,200.00",39
20240714,(not set),(not set),941,852,0,0,"28,600.00",4
20240714,google,organic,657,598,386,552,"1,880.00",1
20240714,(direct),(none),199,191,53,169,0.00,0
20240714,facebook,ad,148,142,74,86,0.00,0
20240714,google,cpc,133,125,90,94,0.00,0
20240714,phone,line,35,32,27,19,"3,431.00",1
20240714,cdp,sms_ma,25,23,7,20,0.00,0
20240714,m.facebook.com,referral,10,9,9,4,0.00,0
20240714,tw.search.yahoo.com,referral,10,10,8,9,0.00,0
20240714,phone,sms,8,6,4,0,"2,712.00",1
20240714,facebook,CPC,4,4,3,4,0.00,0
20240714,groupbuy,rosalinakitchen,4,4,1,2,0.00,0
20240714,l.facebook.com,referral,4,4,3,4,0.00,0
20240714,reurl.cc,referral,4,4,4,2,0.00,0
20240714,bing,organic,3,3,3,1,0.00,0
20240714,groupbuy,menustudy,3,3,1,2,0.00,0
20240714,member,edm,2,2,1,1,0.00,0
20240714,cyberbizpay.com,referral,1,1,0,0,0.00,0
20240714,facebook.com,referral,1,1,1,1,0.00,0
20240714,google,cpc_pmax,1,1,1,1,0.00,0
20240714,groupbuy,peachsun,1,1,0,1,0.00,0
20240714,mitdub.cyberbiz.co,referral,1,1,1,0,0.00,0
20240714,tw.news.yahoo.com,referral,1,1,1,1,0.00,0
20240715,google,organic,620,569,247,517,950.00,1
20240715,groupbuy,linkuokuo,198,180,69,107,"15,760.00",4
20240715,google,cpc,195,181,114,142,0.00,0
20240715,facebook,ad,149,142,75,101,0.00,0
20240715,(direct),(none),137,124,67,97,0.00,0
20240715,(not set),(not set),99,96,0,0,0.00,0
20240715,phone,line,54,37,27,15,0.00,0
20240715,tw.search.yahoo.com,referral,18,16,13,11,"7,008.00",3
20240715,mitdub.cyberbiz.co,referral,14,4,9,0,0.00,0
20240715,phone,sms,9,7,2,1,0.00,0
20240715,bing,organic,7,4,3,2,0.00,0
20240715,facebook,newsfeed,7,7,4,4,"1,870.00",1
20240715,m.facebook.com,referral,7,5,5,2,0.00,0
20240715,cdp,sms_ma,4,4,2,4,0.00,0
20240715,access.line.me,referral,2,2,2,0,0.00,0
20240715,member,edm,2,2,1,2,0.00,0
20240715,104.com.tw,referral,1,1,1,1,0.00,0
20240715,cyberbizpay.com,referral,1,1,1,0,0.00,0
20240715,facebook.com,referral,1,1,1,1,0.00,0
20240715,google,business,1,1,1,1,0.00,0
20240715,google,cpc_pmax,1,1,0,1,0.00,0
20240715,groupbuy,menustudy,1,1,0,0,0.00,0
20240715,l.facebook.com,referral,1,1,0,0,0.00,0
20240715,lens.google.com,referral,1,1,1,1,0.00,0
20240715,mobile01.com,referral,1,1,0,1,0.00,0
20240715,reurl.cc,referral,1,1,0,1,0.00,0
20240715,yahoo,cpc,1,1,1,1,0.00,0
20240716,(not set),(not set),738,685,0,1,"6,817.00",5
20240716,google,organic,403,371,45,329,"1,850.00",1
20240716,(direct),(none),228,220,45,205,950.00,1
20240716,groupbuy,linkuokuo,91,75,18,25,"5,200.00",1
20240716,facebook,ad,82,80,21,48,0.00,0
20240716,google,cpc,60,56,13,31,0.00,0
20240716,member,edm,47,42,11,24,0.00,0
20240716,phone,line,20,19,2,9,0.00,0
20240716,mitdub.cyberbiz.co,referral,11,4,2,0,0.00,0
20240716,member,(not set),9,9,0,9,0.00,0
20240716,facebook,cpc,6,6,3,3,0.00,0
20240716,phone,sms,6,4,0,2,0.00,0
20240716,google,cpc_pmax,5,5,2,5,0.00,0
20240716,m.facebook.com,referral,5,5,1,4,0.00,0
20240716,tw.search.yahoo.com,referral,5,5,4,3,0.00,0
20240716,cdp,sms_ma,3,3,1,1,0.00,0
20240716,groupbuy,menustudy,3,3,1,1,0.00,0
20240716,line_oa,referral,3,3,2,2,0.00,0
20240716,baidu,organic,2,2,0,1,0.00,0
20240716,bing,organic,2,2,1,1,0.00,0
20240716,facebook,newsfeed,2,2,2,1,0.00,0
20240716,google,business,2,2,1,2,0.00,0
20240716,groupbuy,rosalinakitchen,2,2,0,2,0.00,0
20240716,l.facebook.com,referral,2,2,1,2,0.00,0
20240716,1620.one,referral,1,1,0,1,0.00,0
20240716,cn.bing.com,referral,1,1,0,0,0.00,0
20240716,cyberbizpay.com,referral,1,1,0,0,0.00,0
20240716,groupbuy,peachsun,1,1,1,0,0.00,0
