日期,事件名稱,事件數,每用戶的事件數,轉換事件數
20240713,outbound_click,97,1.13,0
20240713,add_to_cart,65,5.91,0
20240713,remove_from_cart,36,2.57,0
20240713,sign_up,30,5.00,0
20240713,view_search_results,10,1.25,0
20240713,Measuring Checkout Step5 // Order ID: 31,2,2.00,0
20240713,Measuring Purchases // Order ID: 3108877,2,2.00,0
20240712,product_view,14450,8.68,0
20240712,page_view,12305,2.07,0
20240712,dimensions,11839,3.99,0
20240712,Scrolling 0%,11170,3.99,0
20240712,Scrolling 25%,9509,3.95,0
20240712,Scrolling 50%,6617,3.19,0
20240712,session_start,5613,1.12,0
20240712,user_engagement,5243,3.08,0
20240712,first_visit,4613,1.01,0
20240712,view_item,4462,2.98,0
20240712,Scrolling 75%,4168,2.57,0
20240712,scroll,2391,2.06,0
20240712,Scrolling 100%,1156,1.67,0
20240712,begin_checkout,972,3.60,0
20240712,view_item_list,830,2.46,0
20240712,view_cart,450,1.84,450
20240712,form_start,347,1.93,0
20240712,form_submit,277,2.18,0
20240712,add_to_cart,245,9.42,0
20240712,purchase,160,2.22,160
20240712,完成結帳,140,1.87,139
20240712,完成結帳_信用卡_atm,140,1.87,139
20240712,完成結帳_貨到付款,140,1.87,139
20240712,outbound_click,131,1.25,0
20240712,remove_from_cart,97,3.88,0
20240712,sign_up,27,4.50,0
20240712,view_search_results,20,1.25,0
20240712,add_payment_info,18,6.00,0
20240712,Measuring Checkout Step5 // Order ID: 31,8,1.33,0
20240712,add_shipping_info,3,3.00,0
20240712,Measuring Purchases // Order ID: 3107139,2,2.00,0
20240712,Measuring Purchases // Order ID: 3108877,2,2.00,0
20240712,click_phone,2,1.00,0
20240712,Measuring Purchases // Order ID: 3111334,1,1.00,0
20240712,Measuring Purchases // Order ID: 3111434,1,1.00,0
20240712,Measuring Purchases // Order ID: 3112112,1,1.00,0
20240712,Measuring Purchases // Order ID: 3113375,1,1.00,0
20240711,page_view,5858,2.38,0
20240711,dimensions,5534,3.13,0
20240711,Scrolling 0%,5133,3.18,0
20240711,Scrolling 25%,4148,3.27,0
20240711,product_view,4148,9.51,0
20240711,Scrolling 50%,3023,2.94,0
20240711,user_engagement,3021,2.95,0
20240711,view_item,2841,4.59,0
20240711,session_start,2544,1.17,0
20240711,Scrolling 75%,1970,2.42,0
20240711,first_visit,1948,1.03,0
20240711,scroll,1141,1.88,0
20240711,begin_checkout,749,3.98,0
20240711,view_item_list,700,2.30,0
20240711,Scrolling 100%,481,1.52,0
20240711,add_to_cart,410,15.19,0
20240711,view_cart,302,1.80,302
20240711,form_start,283,1.86,0
20240711,form_submit,250,2.21,0
20240711,purchase,165,2.12,165
20240711,完成結帳,140,1.67,136
20240711,完成結帳_信用卡_atm,140,1.67,136
20240711,完成結帳_貨到付款,140,1.67,136
20240711,remove_from_cart,136,7.16,0
20240711,outbound_click,57,1.30,0
20240711,sign_up,20,6.67,0
20240711,add_payment_info,9,9.00,0
20240711,view_search_results,9,1.29,0
20240711,Measuring Checkout Step5 // Order ID: 31,7,1.17,0
20240711,Measuring Purchases // Order ID: 3107800,2,2.00,0
20240711,Measuring Purchases // Order ID: 3109312,1,1.00,0
20240711,Measuring Purchases // Order ID: 3109335,1,1.00,0
20240711,Measuring Purchases // Order ID: 3109691,1,1.00,0
20240711,Measuring Purchases // Order ID: 3109704,1,1.00,0
20240710,page_view,4458,2.84,0
20240710,view_item,4361,8.47,0
20240710,dimensions,4291,2.76,0
20240710,Scrolling 0%,3853,2.79,0
20240710,user_engagement,2978,3.20,0
20240710,Scrolling 25%,2711,2.65,0
20240710,session_start,1886,1.22,0
20240710,Scrolling 50%,1811,2.58,0
20240710,view_item_list,1373,2.12,0
20240710,first_visit,1265,1.01,0
20240710,Scrolling 75%,1127,2.18,0
20240710,scroll,709,1.87,0
20240710,begin_checkout,705,11.56,0
20240710,add_to_cart,614,10.41,0
20240710,Scrolling 100%,262,1.66,0
20240710,remove_from_cart,240,12.63,0
20240710,form_start,150,2.14,0
20240710,view_cart,113,3.05,113
20240710,form_submit,112,2.29,0
20240710,product_view,102,20.40,0
20240710,purchase,91,4.55,91
20240710,add_payment_info,60,3.53,0
20240710,add_shipping_info,33,4.71,0
20240710,Measuring Checkout Step5 // Order ID: 31,29,1.53,0
20240710,view_search_results,22,1.83,0
20240710,outbound_click,19,1.46,0
20240710,sign_up,6,2.00,0
20240710,Measuring Purchases // Order ID: 3107232,4,4.00,0
20240710,Measuring Purchases // Order ID: 3108877,3,3.00,0
20240710,Measuring Purchases // Order ID: 3109043,3,3.00,0
20240710,Measuring Purchases // Order ID: 3107264,2,2.00,0
20240710,Measuring Purchases // Order ID: 3108714,2,2.00,0
20240710,Measuring Purchases // Order ID: 3107049,1,1.00,0
20240710,Measuring Purchases // Order ID: 3107139,1,1.00,0
20240710,Measuring Purchases // Order ID: 3107222,1,1.00,0
20240710,Measuring Purchases // Order ID: 3107225,1,1.00,0
20240710,Measuring Purchases // Order ID: 3107341,1,1.00,0
20240710,Measuring Purchases // Order ID: 3107596,1,1.00,0
20240710,Measuring Purchases // Order ID: 3107662,1,1.00,0
20240710,Measuring Purchases // Order ID: 3107800,1,1.00,0
20240710,Measuring Purchases // Order ID: 3107805,1,1.00,0
20240710,Measuring Purchases // Order ID: 3107860,1,1.00,0
20240710,Measuring Purchases // Order ID: 3108109,1,1.00,0
20240710,Measuring Purchases // Order ID: 3108387,1,1.00,0
20240710,Measuring Purchases // Order ID: 3108455,1,1.00,0
20240710,Measuring Purchases // Order ID: 3108989,1,1.00,0
20240710,Measuring Purchases // Order ID: 3108996,1,1.00,0
20240709,page_view,2424,2.31,0
20240709,dimensions,2348,2.26,0
20240709,Scrolling 0%,2050,2.34,0
20240709,view_item,1597,7.57,0
20240709,user_engagement,1552,2.76,0
20240709,Scrolling 25%,1442,2.42,0
20240709,session_start,1219,1.18,0
20240709,Scrolling 50%,1013,2.48,0
20240709,first_visit,905,1.00,0
20240709,Scrolling 75%,660,2.47,0
20240709,view_item_list,554,2.20,0
20240709,scroll,437,1.97,0
20240709,add_to_cart,367,12.23,0
20240709,begin_checkout,300,9.68,0
20240709,Scrolling 100%,180,1.91,0
20240709,product_view,150,37.50,0
20240709,remove_from_cart,135,11.25,0
20240709,form_start,94,2.76,0
20240709,form_submit,75,2.88,0
20240709,purchase,50,4.17,50
20240709,add_payment_info,38,4.75,0
20240709,view_cart,34,2.83,34
20240709,add_shipping_info,18,4.50,0
20240709,view_search_results,18,1.80,0
20240709,sign_up,14,3.50,0
20240709,Measuring Checkout Step5 // Order ID: 31,13,1.18,0
20240709,outbound_click,13,1.86,0
20240709,Measuring Purchases // Order ID: 3106060,4,2.00,0
20240709,Measuring Purchases // Order ID: 3104991,1,1.00,0
20240709,Measuring Purchases // Order ID: 3105068,1,1.00,0
20240709,Measuring Purchases // Order ID: 3105889,1,1.00,0
20240709,Measuring Purchases // Order ID: 3106061,1,1.00,0
20240709,Measuring Purchases // Order ID: 3106139,1,1.00,0
20240709,Measuring Purchases // Order ID: 3106360,1,1.00,0
20240709,Measuring Purchases // Order ID: 3106623,1,1.00,0
20240709,Measuring Purchases // Order ID: 3106694,1,1.00,0
20240709,Measuring Purchases // Order ID: 3106755,1,1.00,0
20240708,page_view,2171,2.16,0
20240708,dimensions,2076,2.10,0
20240708,Scrolling 0%,1821,2.12,0
20240708,view_item,1719,7.22,0
20240708,user_engagement,1328,2.47,0
20240708,session_start,1190,1.19,0
20240708,Scrolling 25%,1153,2.21,0
20240708,first_visit,898,1.00,0
20240708,Scrolling 50%,759,2.36,0
20240708,Scrolling 75%,482,2.26,0
20240708,view_item_list,451,2.84,0
20240708,scroll,335,2.01,0
20240708,add_to_cart,261,15.35,0
20240708,begin_checkout,195,13.00,0
20240708,remove_from_cart,125,25.00,0
20240708,Scrolling 100%,122,1.61,0
20240708,form_start,45,2.14,0
20240708,view_cart,44,7.33,44
20240708,product_view,37,5.29,0
20240708,form_submit,33,1.94,0
20240708,view_search_results,28,2.15,0
20240708,purchase,25,5.00,25
20240708,outbound_click,14,1.56,0
20240708,add_payment_info,12,3.00,0
20240708,sign_up,10,5.00,0
20240708,Measuring Checkout Step5 // Order ID: 31,5,1.00,0
20240708,add_shipping_info,3,3.00,0
20240708,Measuring Purchases // Order ID: 3103126,1,1.00,0
20240708,Measuring Purchases // Order ID: 3103262,1,1.00,0
20240708,Measuring Purchases // Order ID: 3103507,1,1.00,0
20240708,Measuring Purchases // Order ID: 3103514,1,1.00,0
20240708,Measuring Purchases // Order ID: 3104786,1,1.00,0
20240708,add_to_wishlist,1,1.00,0
20240707,page_view,2142,1.94,0
20240707,dimensions,2052,1.88,0
20240707,Scrolling 0%,1734,1.92,0
20240707,view_item,1634,6.56,0
20240707,session_start,1260,1.15,0
20240707,user_engagement,1200,2.24,0
20240707,Scrolling 25%,1053,2.11,0
20240707,first_visit,1014,1.00,0
20240707,Scrolling 50%,721,2.08,0
20240707,Scrolling 75%,444,1.93,0
20240707,add_to_cart,402,20.10,0
20240707,begin_checkout,320,17.78,0
20240707,view_item_list,311,2.47,0
20240707,scroll,291,1.49,0
20240707,remove_from_cart,252,22.91,0
20240707,Scrolling 100%,96,1.39,0
20240707,form_start,52,2.08,0
20240707,product_view,48,3.69,0
20240707,form_submit,41,2.16,0
20240707,view_cart,34,4.86,34
20240707,purchase,30,4.29,30
20240707,outbound_click,23,2.30,0
20240707,sign_up,19,3.80,0
20240707,add_payment_info,15,3.75,0
20240707,view_search_results,11,1.83,0
20240707,add_shipping_info,9,3.00,0
20240707,Measuring Checkout Step5 // Order ID: 31,7,1.17,0
20240707,Measuring Purchases // Order ID: 3100305,2,2.00,0
20240707,Measuring Purchases // Order ID: 3100142,1,1.00,0
20240707,Measuring Purchases // Order ID: 3100325,1,1.00,0
20240707,Measuring Purchases // Order ID: 3100448,1,1.00,0
20240707,Measuring Purchases // Order ID: 3101790,1,1.00,0
20240707,Measuring Purchases // Order ID: 3102253,1,1.00,0
20240707,add_to_wishlist,1,1.00,0
20240706,page_view,1826,1.84,0
20240706,dimensions,1756,1.80,0
20240706,Scrolling 0%,1479,1.85,0
20240706,view_item,1208,6.75,0
20240706,session_start,1121,1.13,0
20240706,user_engagement,1111,2.13,0
20240706,Scrolling 25%,903,1.91,0
20240706,first_visit,899,1.00,0
20240706,Scrolling 50%,598,1.99,0
20240706,Scrolling 75%,370,1.95,0
20240706,scroll,278,1.58,0
20240706,view_item_list,273,2.53,0
20240706,add_to_cart,252,19.38,0
20240706,remove_from_cart,157,52.33,0
20240706,begin_checkout,95,9.50,0
20240706,Scrolling 100%,82,1.64,0
20240706,product_view,64,2.78,0
20240706,form_start,27,2.70,0
20240706,view_cart,22,4.40,22
20240706,form_submit,19,2.11,0
20240706,add_shipping_info,9,4.50,0
20240706,view_search_results,8,1.60,0
20240706,outbound_click,5,1.00,0
20240706,purchase,5,5.00,5
20240706,Measuring Checkout Step5 // Order ID: 31,1,1.00,0
20240706,Measuring Purchases // Order ID: 3100012,1,1.00,0
20240705,page_view,2491,1.92,0
20240705,dimensions,2293,1.87,0
20240705,Scrolling 0%,1886,1.87,0
20240705,view_item,1597,6.36,0
20240705,session_start,1514,1.17,0
20240705,user_engagement,1341,2.29,0
20240705,first_visit,1159,1.00,0
20240705,Scrolling 25%,1112,1.98,0
20240705,Scrolling 50%,758,2.11,0
20240705,Scrolling 75%,506,1.92,0
20240705,scroll,387,1.64,0
20240705,view_item_list,362,2.53,0
20240705,add_to_cart,200,15.38,0
20240705,begin_checkout,135,13.50,0
20240705,Scrolling 100%,127,1.40,0
20240705,remove_from_cart,60,15.00,0
20240705,form_start,23,1.35,0
20240705,form_submit,18,1.50,0
20240705,view_search_results,18,2.00,0
20240705,view_cart,14,2.33,14
20240705,add_payment_info,12,6.00,0
20240705,product_view,11,3.67,0
20240705,outbound_click,9,1.29,0
20240705,purchase,8,4.00,8
20240705,Measuring Checkout Step5 // Order ID: 30,3,1.00,0
20240705,Measuring Purchases // Order ID: 3091901,1,1.00,0
20240705,Measuring Purchases // Order ID: 3095305,1,1.00,0
20240705,Measuring Purchases // Order ID: 3096178,1,1.00,0
20240704,page_view,2854,1.82,0
20240704,dimensions,2661,1.83,0
20240704,Scrolling 0%,2219,1.88,0
20240704,view_item,1996,6.24,0
20240704,session_start,1739,1.12,0
20240704,user_engagement,1502,2.23,0
20240704,first_visit,1385,1.00,0
20240704,Scrolling 25%,1367,2.03,0
20240704,Scrolling 50%,907,2.12,0
20240704,Scrolling 75%,604,2.08,0
20240704,view_item_list,519,1.89,0
20240704,add_to_cart,455,25.28,0
20240704,scroll,431,1.64,0
20240704,product_view,288,20.57,0
20240704,remove_from_cart,245,40.83,0
20240704,Scrolling 100%,155,1.41,0
20240704,begin_checkout,140,10.77,0
20240704,form_start,46,2.09,0
20240704,view_cart,38,4.75,38
20240704,form_submit,33,2.36,0
20240704,purchase,20,5.00,20
20240704,sign_up,20,5.00,0
20240704,outbound_click,19,2.11,0
20240704,view_search_results,18,2.25,0
20240704,add_payment_info,15,5.00,0
20240704,Measuring Checkout Step5 // Order ID: 30,9,1.80,0
20240704,add_to_wishlist,5,5.00,0
20240704,Measuring Purchases // Order ID: 3094047,3,3.00,0
20240704,Measuring Purchases // Order ID: 3094531,3,3.00,0
20240704,Measuring Purchases // Order ID: 3091901,1,1.00,0
20240704,Measuring Purchases // Order ID: 3092718,1,1.00,0
20240704,Measuring Purchases // Order ID: 3093006,1,1.00,0
20240703,page_view,3781,2.14,0
20240703,dimensions,3645,2.12,0
20240703,Scrolling 0%,3216,2.12,0
20240703,view_item,3206,6.39,0
20240703,Scrolling 25%,2163,2.17,0
20240703,user_engagement,2138,2.52,0
20240703,session_start,2017,1.15,0
20240703,first_visit,1446,1.00,0
20240703,Scrolling 50%,1411,2.06,0
20240703,view_item_list,1047,2.04,0
20240703,Scrolling 75%,914,1.88,0
20240703,add_to_cart,616,11.41,0
20240703,scroll,602,1.71,0
20240703,begin_checkout,575,11.27,0
20240703,remove_from_cart,245,12.25,0
20240703,Scrolling 100%,180,1.42,0
20240703,form_start,70,2.00,0
20240703,view_cart,70,2.80,70
20240703,form_submit,47,2.14,0
20240703,purchase,45,4.09,45
20240703,add_payment_info,36,4.50,0
20240703,sign_up,19,3.80,0
20240703,outbound_click,18,1.50,0
20240703,view_search_results,18,2.57,0
20240703,Measuring Checkout Step5 // Order ID: 30,13,1.30,0
20240703,add_shipping_info,9,4.50,0
20240703,Measuring Purchases // Order ID: 3092176,4,4.00,0
20240703,Measuring Purchases // Order ID: 3042584,1,1.00,0
20240703,Measuring Purchases // Order ID: 3090344,1,1.00,0
20240703,Measuring Purchases // Order ID: 3090497,1,1.00,0
20240703,Measuring Purchases // Order ID: 3090602,1,1.00,0
20240703,Measuring Purchases // Order ID: 3091100,1,1.00,0
20240703,Measuring Purchases // Order ID: 3091360,1,1.00,0
20240703,Measuring Purchases // Order ID: 3091901,1,1.00,0
20240703,Measuring Purchases // Order ID: 3092109,1,1.00,0
20240703,Measuring Purchases // Order ID: 3092472,1,1.00,0
20240702,page_view,3371,2.04,0
20240702,dimensions,3228,2.01,0
20240702,Scrolling 0%,2752,2.01,0
20240702,view_item,2582,6.81,0
20240702,user_engagement,2001,2.62,0
20240702,session_start,1879,1.14,0
20240702,Scrolling 25%,1787,2.15,0
20240702,first_visit,1472,1.00,0
20240702,Scrolling 50%,1172,2.11,0
20240702,Scrolling 75%,768,1.92,0
20240702,view_item_list,720,2.54,0
20240702,scroll,512,1.58,0
20240702,add_to_cart,245,10.21,0
20240702,begin_checkout,200,11.11,0
20240702,Scrolling 100%,168,1.40,0
20240702,remove_from_cart,70,10.00,0
20240702,purchase,45,6.43,45
20240702,view_cart,38,2.71,38
20240702,form_start,36,2.00,0
20240702,form_submit,22,1.83,0
20240702,add_payment_info,21,5.25,0
20240702,product_view,17,4.25,0
20240702,Measuring Checkout Step5 // Order ID: 30,14,2.00,0
20240702,outbound_click,13,1.86,0
20240702,sign_up,12,4.00,0
20240702,view_search_results,8,1.60,0
20240702,add_shipping_info,6,3.00,0
20240702,Measuring Purchases // Order ID: 3087997,4,4.00,0
20240702,Measuring Purchases // Order ID: 3089224,3,3.00,0
20240702,Measuring Purchases // Order ID: 3088064,1,1.00,0
20240702,Measuring Purchases // Order ID: 3088072,1,1.00,0
20240702,Measuring Purchases // Order ID: 3088390,1,1.00,0
20240702,Measuring Purchases // Order ID: 3088604,1,1.00,0
20240702,Measuring Purchases // Order ID: 3089079,1,1.00,0
20240702,Measuring Purchases // Order ID: 3089235,1,1.00,0
20240702,Measuring Purchases // Order ID: 3089244,1,1.00,0
20240702,add_to_wishlist,1,1.00,0
20240701,page_view,2629,2.16,0
20240701,dimensions,2527,2.12,0
20240701,view_item,2310,6.40,0
20240701,Scrolling 0%,2194,2.15,0
20240701,user_engagement,1548,2.58,0
20240701,session_start,1406,1.16,0
20240701,Scrolling 25%,1395,2.39,0
20240701,first_visit,1092,1.00,0
20240701,Scrolling 50%,942,2.36,0
20240701,Scrolling 75%,612,2.30,0
20240701,view_item_list,499,2.94,0
20240701,scroll,398,1.88,0
20240701,add_to_cart,353,20.76,0
20240701,begin_checkout,215,13.44,0
20240701,Scrolling 100%,169,1.63,0
20240701,remove_from_cart,150,21.43,0
20240701,form_start,47,1.88,0
20240701,view_cart,44,4.89,44
20240701,form_submit,38,2.11,0
20240701,purchase,29,3.63,29
20240701,view_search_results,25,2.50,0
20240701,outbound_click,10,1.25,0
20240701,product_view,10,5.00,0
20240701,sign_up,10,5.00,0
20240701,Measuring Checkout Step5 // Order ID: 30,8,1.33,0
20240701,add_shipping_info,6,3.00,0
20240701,Measuring Purchases // Order ID: 3086278,3,3.00,0
20240701,Measuring Purchases // Order ID: 3085872,1,1.00,0
20240701,Measuring Purchases // Order ID: 3086192,1,1.00,0
20240701,Measuring Purchases // Order ID: 3086924,1,1.00,0
20240701,Measuring Purchases // Order ID: 3087054,1,1.00,0
20240701,Measuring Purchases // Order ID: 3087092,1,1.00,0
