月份,庫存類別,項目代碼,項目名稱,採購包裝,售出單位,廠商代碼,廠商名稱,藥局庫存量,進價
11405,口服藥,OANTIL,Antilon F.C. 1000tab/瓶,TAB,TAB,A0716,邦寍生物技有限公司,599.0,3.7
11405,口服藥,OANTIPH,Anti-Phen 60ml (Poro)/100/箱,瓶,瓶,A0167,晟德大藥廠(股)公司,89.0,14.007
11405,口服藥,OAPO,Apo-Quetiapine 100mg 100'S/瓶,TAB,TAB,A0186,鴻汶醫藥實業有限公司,338.0,3.1
11405,口服藥,OAPRE,Aprezin 10mg 1000tab/瓶,TAB,TAB,A0081,強生化學製藥廠股份有限公司,1451.0,1.2
11405,口服藥,OARHE,Arheuma 20mg/100/盒,TAB,TAB,A0024,久裕企業(股)公司,238.0,23.9
11405,口服藥,OARIC,Aricept 5mg 28/盒,TAB,TAB,A0355,台灣大昌華嘉股份有限公司,1394.0,32.722
11405,口服藥,OARICEP,Aricept Evess Orodispersible 10mg/28tab/盒,TAB,TAB,A0355,台灣大昌華嘉股份有限公司,197.0,33.315
11405,口服藥,OARIZ,Arizole 10mg 30'S/盒,TAB,TAB,A0341,中化裕民健康事業股份有限公司,279.0,10.0
11405,口服藥,OARRI,Arring 0.25mg 1000/盒(管),TAB,TAB,A0056,永信藥品工業(股)公司,1244.0,1.38
11405,口服藥,OASACO,Asacol 800mg/ 60tab/盒,TAB,TAB,A0082,科懋企業有限公司,306.0,20.661
11405,口服藥,OASCO,Ascofen 100mg 1000'S/盒,TAB,TAB,A0026,生達化學製藥(股)公司,7388.0,1.067
11405,口服藥,OASM,Asmatin 2.5mg/TAB/1000'S/盒,TAB,TAB,A0031,杏輝藥品工業(股)公司,3341.0,1.3
11405,口服藥,OATAN,Atanaal 5mg 1000'S/盒(Adalat),TAB,TAB,A0428,曼哈頓企業有限公司,1159.0,1.95
11405,口服藥,OATEN,Atenol 100mg (Tenormin) 840tab/盒,Tab,Tab,A0026,生達化學製藥(股)公司,1151.0,0.97
11405,口服藥,OATIV,Ativan 0.5mg/100/盒(管),TAB,TAB,A0024,久裕企業(股)公司,108.0,1.29
11405,口服藥,OATOT,Atoty F.C 10mg 700'S/盒,TAB,TAB,A0341,中化裕民健康事業股份有限公司,3893.0,1.3
11405,口服藥,OATOZE,Atozet Film 10/20mg 30'S/盒(750'S/排),TAB,TAB,A0002,裕利股份有限公司,6686.0,11.9
11405,口服藥,OAVAM,Avamys nasal 3.3mg/Bot(吸入劑),BOT,BOT,A0002,裕利股份有限公司,37.0,136.128
11405,口服藥,OAVOD,Avodart 0.5mg 30'S/盒/80盒(2400'S)箱,TAB,TAB,A0002,裕利股份有限公司,2311.0,13.59
11405,口服藥,OAZIC,Aziciin F.C. 250mg/60'S/瓶,TAB,TAB,A0341,中化裕民健康事業股份有限公司,234.0,6.5
11405,口服藥,OAZITH,Azithrom Powder 47.78mg/600mg/瓶,瓶,瓶,A0482,泰和碩藥品科技(股)公司,23.0,120.0
11405,口服藥,OBAKT,Baktar 400mg/tab(排)/1000/盒,TAB,TAB,A0028,台灣鹽野義製藥(股)公司,780.0,1.13
11405,口服藥,OBEFO,Befon 5mg 500'S/瓶(Baclon),TAB,TAB,A0024,久裕企業(股)公司,1885.0,0.3
11405,口服藥,OBEND,Bendopar 125mg 100'S/瓶(Madopar),TAB,TAB,A0259,信東生技股份有限公司,4730.0,3.3
11405,口服藥,OBENI,Beniel F.C 4mg 280'S/盒,TAB,TAB,A0226,健喬信元醫藥生技股份有限公司,1225.0,2.402
11405,口服藥,OBENZ,Benzon 50mg 100'S/盒,TAB,TAB,A0259,信東生技股份有限公司,3532.0,0.9
11405,口服藥,OBERON,Bertoec N 200 Dose/支/盒(吸入劑),支,支,A0002,裕利股份有限公司,59.0,124.268
11405,口服藥,OBESS,Beesix 50mg 1000'S/瓶,TAB,TAB,A0259,信東生技股份有限公司,2283.0,0.5
11405,口服藥,OBETM,Betmiga 25mg 28'S/盒 252'S/排,TAB,TAB,A0355,台灣大昌華嘉股份有限公司,7530.0,15.22
11405,口服藥,OBIOFS,Shin Biofermins/350/瓶,TAB,TAB,A0493,盛弘醫藥股份有限公司,853.0,2.0
11405,口服藥,OBISA,Bisadyl (Ducolax) 1000'S/瓶,TAB,TAB,A0634,靖崴實業有限公司,2177.0,0.35
11405,口服藥,OBISMU,Bismuth 324mg 500/瓶,TAB,TAB,A0259,信東生技股份有限公司,2518.0,0.8
11405,口服藥,OBISO,Bisol F.C 1.25mg 280'S/盒,TAB,TAB,A0259,信東生技股份有限公司,6308.0,1.1
11405,口服藥,OBISOL,Bisol 5mg/300/盒,TAB,TAB,A0259,信東生技股份有限公司,401.0,0.8
11405,口服藥,OBLOP,Blopress 8mg 28'S/盒,TAB,TAB,A0002,裕利股份有限公司,3365.0,4.2
11405,口服藥,OBLUE,Blue-Up 1mg/200's/瓶,TAB,TAB,A0463,瑞士藥廠股份有限公司,365.0,2.65
11405,口服藥,OBOKE,Bokey 100mg 980'S/盒(Espin),TAB,TAB,A0056,永信藥品工業(股)公司,9660.0,0.68
11405,口服藥,OBRIL,Brilinta 90mg 56tab/盒(臨),TAB,TAB,A0002,裕利股份有限公司,248.0,20.447
11405,口服藥,OBUPI,Bupion SR 150mg 600'S/盒,TAB,TAB,A0259,信東生技股份有限公司,450.0,7.0
11405,口服藥,OBUTAN,Butanyl 5mg/2ml 100支/盒,支,支,A0259,信東生技股份有限公司,160.0,6.8
11405,口服藥,OCADU,Caduet 5mg/10mg 28'S/盒,TAB,TAB,A0024,久裕企業(股)公司,1183.0,6.66
11405,口服藥,OCALC,Calcium Carbonate 500mg/1000tab/盒,TAB,TAB,A0226,健喬信元醫藥生技股份有限公司,549.0,0.441
11405,口服藥,OCANA,Canaglu 100mg 28'S/盒,TAB,TAB,A0019,台田藥品(股)公司,315.0,18.51
11405,口服藥,OCAPA,Capain Film 30mg/1000'S/盒,TAB,TAB,A0056,永信藥品工業(股)公司,1555.0,1.5
11405,口服藥,OCAPE,Capecitabine Alvogen 500mg/120tab/盒,TAB,TAB,A0024,久裕企業(股)公司,138.0,32.323
11405,口服藥,OCARB,Carbomix 61.5gm,瓶,瓶,A0082,科懋企業有限公司,3.0,404.25
11405,口服藥,OCARBA,Carbatin 100mg/Cap 100'S/瓶/1000'S/盒,TAB,TAB,A0073,南光化學製藥(股)公司,729.0,1.852
11405,口服藥,OCARDO,Cardolol 40mg(Inderal)/1000/盒,TAB,TAB,A0259,信東生技股份有限公司,1401.0,1.0
11405,口服藥,OCATI,Catilon 40mg/840/盒,Tab,Tab,A0002,裕利股份有限公司,889.0,2.19
11405,口服藥,OCEFL,Ceflour 250mg 1000tab/盒,TAB,TAB,A0056,永信藥品工業(股)公司,929.0,4.8
11405,口服藥,OCENT,Cental 100mg(Sin Tong)/1000/瓶,TAB,TAB,A0497,國信藥品股份有限公司,3165.0,0.9
11405,口服藥,OCEPO,Ceporin 25mg (Capoten)/100/盒,Tab,Tab,A0259,信東生技股份有限公司,524.0,0.5
11405,口服藥,OCERO,Cero 250mg 1000'S/瓶(Keflor),TAB,TAB,A0259,信東生技股份有限公司,994.0,4.0
11405,口服藥,OCETR,Cetirizine Oral Solution 1mg/ml 60ml 100's/bot,TAB,TAB,A0167,晟德大藥廠(股)公司,57.0,23.73
11405,口服藥,OCEXI,Cexime 100mg 100'S/盒,TAB,TAB,A0259,信東生技股份有限公司,5904.0,3.42
11405,口服藥,OCHAL,Chalian Power 5gm/105包/盒,包,包,A0482,泰和碩藥品科技(股)公司,772.0,6.8
11405,口服藥,OCIN,Cintsu 40mg 1000tab/盒,TAB,TAB,A0056,永信藥品工業(股)公司,757.0,1.2
11405,口服藥,OCINO,Cinolone 250mg 100'S/盒,TAB,TAB,A0259,信東生技股份有限公司,1119.0,1.7
11405,口服藥,OCITA,Citazol 50mg 600'S/盒,TAB,TAB,A0026,生達化學製藥(股)公司,4120.0,2.425
11405,口服藥,OCLAT,Clatine 10mg 100'S/盒,Tab,Tab,A0026,生達化學製藥(股)公司,1410.0,0.679
11405,口服藥,OCLOMI,Clomiphene 50mg 1000'S/瓶,TAB,TAB,A0056,永信藥品工業(股)公司,1069.0,2.5
11405,口服藥,OCLOP,Clopidogrel FCT 75mg 28tab/盒,TAB,TAB,A0002,裕利股份有限公司,2113.0,5.53
11405,口服藥,OCODE,Codepine (Codapine) 1000'S/瓶,TAB,TAB,A0026,生達化學製藥(股)公司,1790.0,0.97
11405,口服藥,OCODEI,Codeinae 30mg/100'S/盒(衛管),TAB,TAB,A0271,衛生福利部食品藥物管理署管制藥,85.0,5.0
11405,口服藥,OCODIO,Co-Diovan 80mg 28'S/盒,TAB,TAB,A0002,裕利股份有限公司,3658.0,2.218
11405,口服藥,OCOHE,Coheal 1000'S/盒,TAB,TAB,A0026,生達化學製藥(股)公司,13522.0,0.922
11405,口服藥,OCOLC,Colchicine 0.5mg 500'S/盒,TAB,TAB,A0028,台灣鹽野義製藥(股)公司,1662.0,0.8
11405,口服藥,OCOLI,Colirocin FCT 250mg 500'S/瓶,TAB,TAB,A0341,中化裕民健康事業股份有限公司,650.0,2.9
11405,口服藥,OCOMB,Combivent UDV Inhalation 2.5ml/20Amp/盒,AMP,AMP,A0002,裕利股份有限公司,663.0,10.301
11405,口服藥,OCONC,Concor 5mg 100'S/盒,TAB,TAB,A0019,台田藥品(股)公司,5431.0,1.54
11405,口服藥,OCONM,Conmy 2mg 100tab/盒,TAB,TAB,A0259,信東生技股份有限公司,599.0,0.8
11405,口服藥,OCONSL,Conslife 980tab/盒,TAB,TAB,A0056,永信藥品工業(股)公司,2797.0,1.5
11405,口服藥,OCONST,Const-K ER 750mg/100'S/瓶/24瓶/箱,TAB,TAB,A0743,保瑞聯邦股份有限公司,973.0,8.64
11405,口服藥,OCORD,Cordarone 200mg 30'S/盒,TAB,TAB,A0355,台灣大昌華嘉股份有限公司,1330.0,2.83
11405,口服藥,OCOVI,Covina 560'S/盒,TAB,TAB,A0226,健喬信元醫藥生技股份有限公司,238.0,2.173
11405,口服藥,OCOXIN,Coxine C.R. 60mg/30'S/瓶/50瓶/箱,TAB,TAB,A0226,健喬信元醫藥生技股份有限公司,1715.0,1.847
11405,口服藥,OCOZA,Cozaar 50mg 28'S/盒,TAB,TAB,A0002,裕利股份有限公司,3045.0,2.31
11405,口服藥,OCRAV,Cravit 500mg 100'S/盒,Tab,Tab,A0002,裕利股份有限公司,606.0,11.6
11405,口服藥,OCRES,Crestor 10mg 28'S/盒/54盒(1512'S)/箱,TAB,TAB,A0002,裕利股份有限公司,6012.0,5.35
11405,口服藥,OCRESE,Cresemba 100mg/14cap/盒,CAP,CAP,A0024,久裕企業(股)公司,0.0,1285.25
11405,口服藥,OCREST,Crestor 20mg 28'S/盒 1400'S/箱,TAB,TAB,A0002,裕利股份有限公司,1428.0,8.5
11405,口服藥,OCRET,Cretrol Tablet 30顆/盒 160盒(4800'S)/箱,TAB,TAB,A0490,東生華製藥(股)公司,4180.0,9.02
11405,口服藥,OCURA,Curam Film 625mg/100/盒,TAB,TAB,A0002,裕利股份有限公司,1500.0,5.5
11405,口服藥,OCURAM,Curam FCT 1000mg 14'S/盒,TAB,TAB,A0002,裕利股份有限公司,1235.0,6.0
11405,口服藥,OCYTA,Cytadine Syrup 0.4mg/60ml 60瓶/箱,瓶,瓶,A0026,生達化學製藥(股)公司,351.0,16.489
11405,口服藥,OCYTAD,Cytadine 4mg 1000'S/BOT,TAB,TAB,A0026,生達化學製藥(股)公司,4470.0,0.388
11405,口服藥,ODALC,Dalcone 250mg/1000tab/瓶,TAB,TAB,A0085,華興化學製藥廠(股)公司,1692.0,2.79
11405,口服藥,ODALIS,Dalisoon F.C. 5mg/1000tab/盒,TAB,TAB,A0026,生達化學製藥(股)公司,2163.0,3.88
11405,口服藥,ODAM,Dampurine 25mg/960'S/盒,TAB,TAB,A0482,泰和碩藥品科技(股)公司,5588.0,1.8
11405,口服藥,ODEFE,Defen 1mg 1000/瓶,TAB,TAB,A0226,健喬信元醫藥生技股份有限公司,1176.0,0.588
11405,口服藥,ODEHE,Deherp 200mg/100'S/盒(Virless),TAB,TAB,A0026,生達化學製藥(股)公司,1351.0,2.425
11405,口服藥,ODEPA,Depakine 200mg 40/瓶,TAB,TAB,A0355,台灣大昌華嘉股份有限公司,2986.0,1.48
11405,口服藥,ODEPR,Deproate Solution 200mg/40ml/瓶,瓶,瓶,A0259,信東生技股份有限公司,34.0,60.0
11405,口服藥,ODEPY,Depyretin 500mg/1000TAB/瓶,TAB,TAB,A0259,信東生技股份有限公司,40527.0,0.39
11405,口服藥,ODEXA,Dexamethasone 0.5mg (Decadron) 1000/瓶,TAB,TAB,A0026,生達化學製藥(股)公司,5760.0,0.291
11405,口服藥,ODILA,Dilantin 100mg 500'S/瓶,TAB,TAB,A0024,久裕企業(股)公司,1169.0,1.5
11405,口服藥,ODILT,Diltisser 30mg 100'S/盒,TAB,TAB,A0341,中化裕民健康事業股份有限公司,2349.0,0.6
11405,口服藥,ODIME,Dimenhydrinate 50mg 1000'S/BOT,TAB,TAB,A0081,強生化學製藥廠股份有限公司,1474.0,0.45
11405,口服藥,ODINC,Dinco 120ml/瓶/60'S/箱,BOT,BOT,A0393,馥安國際股份有限公司,263.0,20.5
11405,口服藥,ODINI,Dinidol S.C 25mg 1000'S/盒,TAB,TAB,A0026,生達化學製藥(股)公司,8200.0,0.485
11405,口服藥,ODIOV,Diovan 80mg 28'S/盒/144盒(4032'S)/箱,TAB,TAB,A0002,裕利股份有限公司,5330.0,2.218
11405,口服藥,ODIOVA,Diovan 160mg 28'S/盒,TAB,TAB,A0002,裕利股份有限公司,2922.0,3.005
11405,口服藥,ODIPA,Dipachro 500mg 100'S/盒(Depakine),TAB,TAB,A0259,信東生技股份有限公司,5467.0,4.1
11405,口服藥,ODIPYRI,Dipyridamole 25mg/1000tab/盒,TAB,TAB,A0341,中化裕民健康事業股份有限公司,1700.0,0.5
11405,口服藥,ODISE,Disfect F.C. 250mg/20'S/盒,TAB,TAB,A0353,廣欣藥品有限公司,20.0,30.0
11405,口服藥,ODLMET,DL-Methyl Ephedrine 30mg 1000'S/瓶,TAB,TAB,A0081,強生化學製藥廠股份有限公司,1126.0,0.7
11405,口服藥,ODOMT,Domtoo 10mg 1000'S/盒,Tab,Tab,A0026,生達化學製藥(股)公司,2593.0,0.485
11405,口服藥,ODOXT,Doxter 2mg 100tab/盒,TAB,TAB,A0226,健喬信元醫藥生技股份有限公司,902.0,0.489
11405,口服藥,ODOXY,Doxymycin 100mg 1000/瓶,TAB,TAB,A0056,永信藥品工業(股)公司,1149.0,1.8
11405,口服藥,ODUXE,Duxetine 30mg 28'S/盒,TAB,TAB,A0341,中化裕民健康事業股份有限公司,716.0,7.5
11405,口服藥,OECOM,Ecomin 5mg/1000tab/瓶,TAB,TAB,A0081,強生化學製藥廠股份有限公司,1082.0,0.85
11405,口服藥,OEFIE,Efient film 3.75mg 28'S/盒,TAB,TAB,A0002,裕利股份有限公司,185.0,30.5
11405,口服藥,OELIS,Elistin 1.5mg 1000tab/盒,TAB,TAB,A0026,生達化學製藥(股)公司,735.0,1.261
11405,口服藥,OELT1,Eltroxin 50mg 100/瓶,TAB,TAB,A0002,裕利股份有限公司,2547.0,1.47
11405,口服藥,OENTR,Entresto 200mg 56'S/盒,TAB,TAB,A0002,裕利股份有限公司,411.0,54.999
11405,口服藥,OENVI,Envir film 30'S/盒,TAB,TAB,A0341,中化裕民健康事業股份有限公司,590.0,27.001
11405,口服藥,OEPCL,Epclusa Film-Coacted 28'S/盒,TAB,TAB,A0513,華安藥品股份有限公司,159.0,1990.2
11405,口服藥,OEPIR,"Epirenin Solution""H.S."" 500ml/瓶",瓶,瓶,A0702,柏理貿易股份有限公司,0.0,950.0
11405,口服藥,OEQUF,Equfina Tablet 28'S/盒,TAB,TAB,A0355,台灣大昌華嘉股份有限公司,280.0,27.36
11405,口服藥,OERGOM,Ergometrine 0.2mg/1000'S/瓶,TAB,TAB,A0081,強生化學製藥廠股份有限公司,1141.0,1.5
11405,口服藥,OERGOT,Ergoton 1000tab/瓶,TAB,TAB,A0081,強生化學製藥廠股份有限公司,1002.0,1.3
11405,口服藥,OERISP,Erispan-S 0.25mg 1000's/盒 (管),TAB,TAB,A0026,生達化學製藥(股)公司,8846.0,1.067
11405,口服藥,OESTRO,Estromon 0.625 (Premarin) 1000'S/盒,TAB,TAB,A0026,生達化學製藥(股)公司,1208.0,3.201
11405,口服藥,OESZO,Eszo 2mg 1000'S/盒 (Estazolam)(管),TAB,TAB,A0259,信東生技股份有限公司,10652.0,0.8
11405,口服藥,OETHA,E-butol 400mg/600tab/盒,TAB,TAB,A0464,培力藥品工業股份有限公司,502.0,3.42
11405,口服藥,OETOX,Etoxib F.C 60mg/600'S/盒,TAB,TAB,A0026,生達化學製藥(股)公司,2977.0,2.454
11405,口服藥,OETUMI,Etumine 40mg 500'S/盒,TAB,TAB,A0152,祥勝(股)公司,466.0,5.72
11405,口服藥,OEUF,Eufan Film 10 mg/1000'S/盒,TAB,TAB,A0026,生達化學製藥(股)公司,425.0,1.164
11405,口服藥,OEVOX,Evoxac 30mg 100tab/盒,TAB,TAB,A0002,裕利股份有限公司,215.0,15.257
11405,口服藥,OEXEL1,Exelon 1.5mg/28/盒,TAB,TAB,A0002,裕利股份有限公司,798.0,24.878
11405,口服藥,OEXEL4,Exelon 4.5mg/28'S/盒,TAB,TAB,A0002,裕利股份有限公司,300.0,24.881
11405,口服藥,OEXFO2,Exforge film-coated 5/160mg 28'S/盒(2016'S/箱),TAB,TAB,A0002,裕利股份有限公司,7745.0,3.99
11405,口服藥,OEXFOR,Exforge HCT 5/160/12.5mg 28tab/盒,TAB,TAB,A0002,裕利股份有限公司,4302.0,3.88
11405,口服藥,OEXME,Exmem Film-Coated 10mg/28顆/盒,TAB,TAB,A0341,中化裕民健康事業股份有限公司,1187.0,3.1
11405,口服藥,OFAMOT,Famotidine F.C. 20mg/500'S/盒,TAB,TAB,A0341,中化裕民健康事業股份有限公司,13832.0,0.8
11405,口服藥,OFAMV,Famvir 250mg 15'S/盒,TAB,TAB,A0355,台灣大昌華嘉股份有限公司,267.0,49.354
11405,口服藥,OFEBU,Feburic 80mg/Tab 28tab/盒,Tab,Tab,A0355,台灣大昌華嘉股份有限公司,2844.0,8.3
11405,口服藥,OFELPI,Felpin 5mg 1000'S/盒,TAB,TAB,A0259,信東生技股份有限公司,868.0,0.72
11405,口服藥,OFEXO,Fexodine 60mg/1000tab/盒,TAB,TAB,A0026,生達化學製藥(股)公司,7236.0,1.164
11405,口服藥,OFINA,Finaride Film Coated 5mg/30tab/盒,TAB,TAB,A0056,永信藥品工業(股)公司,154.0,4.5
11405,口服藥,OFLUE,Fluene 50mg/100's/盒,TAB,TAB,A0226,健喬信元醫藥生技股份有限公司,206.0,3.99
11405,口服藥,OFLUIT,Fluitran 2mg 1000'S/盒,TAB,TAB,A0028,台灣鹽野義製藥(股)公司,915.0,1.001
11405,口服藥,OFLUO,Fluoxetine 20mg 500'S/BOT,TAB,TAB,A0341,中化裕民健康事業股份有限公司,786.0,0.6
11405,口服藥,OFLUXE,Fluxel F.C. 1000tab/瓶,TAB,TAB,A0512,意欣國際有限公司,1441.0,1.57
11405,口服藥,OFOLIC,Folic Acid 5mg/1000/瓶,TAB,TAB,A0259,信東生技股份有限公司,5919.0,0.6
11405,口服藥,OFORX,Forxiga Filim-Coated 10mg/28'S/盒/1260'S/箱,TAB,TAB,A0002,裕利股份有限公司,3496.0,19.92
11405,口服藥,OFOSAM5,Fosamax Plus 70mg/5600iu 4tab/盒,TAB,TAB,A0002,裕利股份有限公司,27.0,82.373
11405,口服藥,OFUNG,Fungitech 250mg/140tab/盒,TAB,TAB,A0031,杏輝藥品工業(股)公司,133.0,3.5
11405,口服藥,OFYCO,Fycompa 0.5mg/340mL Oral Suspension 1瓶/盒,BOT,BOT,A0355,台灣大昌華嘉股份有限公司,7.0,1882.65
11405,口服藥,OGAL,Galvus Met 50/850mg 56'S/盒/72盒(4032'S)/箱,TAB,TAB,A0002,裕利股份有限公司,3972.0,4.42
11405,口服藥,OGALV,Galvus 50mg 28tab/盒,Tab,Tab,A0002,裕利股份有限公司,2246.0,4.42
11405,口服藥,OGINKG,Ginkgocentrate 9.6mg 500'S/盒,TAB,TAB,A0031,杏輝藥品工業(股)公司,4441.0,0.9
11405,口服藥,OGLIME,Glimet 2/500mg/1000'S/盒(5盒/箱),TAB,TAB,A0259,信東生技股份有限公司,9959.0,1.5
11405,口服藥,OGLIPI,Glipizide 5mg 1000'S/盒,TAB,TAB,A0341,中化裕民健康事業股份有限公司,3924.0,0.55
11405,口服藥,OGLUST,Glustrong 250mg 1000'S/瓶,TAB,TAB,A0056,永信藥品工業(股)公司,2507.0,1.4
11405,口服藥,OGLYX,Glyxambi F.C 25/5mg/30'S/盒/96盒(2880'S)/箱,TAB,TAB,A0002,裕利股份有限公司,2559.0,27.68
11405,口服藥,OGRUM,Grumed 2mg 1000'S/盒,TAB,TAB,A0026,生達化學製藥(股)公司,7620.0,0.533
11405,口服藥,OHALO,Halopin 0.75mg/1000'S/瓶,TAB,TAB,A0081,強生化學製藥廠股份有限公司,947.0,1.0
11405,口服藥,OHEXO,Hexoline 0.5mg 1000tab/瓶,TAB,TAB,A0263,十全實業股份有限公司,268.0,1.3
11405,口服藥,OHIDR,Hidrasec Infants 10mg 16包/盒,包,包,A0002,裕利股份有限公司,252.0,5.76
11405,口服藥,OHYD,Hydroquine F.C 200mg 1000'S/盒,TAB,TAB,A0259,信東生技股份有限公司,2065.0,1.9
11405,口服藥,OIBU,Ibuprofen 20mg/60ml/100'S/箱,BOT,BOT,A0167,晟德大藥廠(股)公司,147.0,20.0
11405,口服藥,OIMIGR,Imigran FDT 50mg 6/盒,TAB,TAB,A0002,裕利股份有限公司,0.0,135.013
11405,口服藥,OIMUR,Imuran 50mg/100/盒,TAB,TAB,A0002,裕利股份有限公司,393.0,9.597
11405,口服藥,OISONI,Isoniazide 100mg 1000'S/盒,TAB,TAB,A0081,強生化學製藥廠股份有限公司,1087.0,1.8
11405,口服藥,OISOP,Isoptin SR 240mg 30Tab/盒,TAB,TAB,A0002,裕利股份有限公司,431.0,4.19
11405,口服藥,OIWELL,Iwell 50mg 1000'S/盒,TAB,TAB,A0385,惠德勝醫藥生技股份有限公司,12711.0,0.73
11405,口服藥,OJANU,Januvia 100mg/28/盒,Tab,Tab,A0002,裕利股份有限公司,1051.0,14.14
11405,口服藥,OJANUM,Janumet 50/500mg 56t'S盒/560'S/排,TAB,TAB,A0002,裕利股份有限公司,2670.0,7.13
11405,口服藥,OJAR,Jardiance Film-Coated 10mg 30'S/盒,TAB,TAB,A0002,裕利股份有限公司,1456.0,20.599
11405,口服藥,OJARDI,Jardiance DUO 12.5/850mg 60'S/盒(40盒/箱),TAB,TAB,A0002,裕利股份有限公司,3409.0,12.53
11405,口服藥,OKAS4,Kascoal 40mg/1000'S/盒,TAB,TAB,A0056,永信藥品工業(股)公司,8854.0,0.35
11405,口服藥,OKENT,Kentamin 1000'S/盒,TAB,TAB,A0509,尚典生技(股)公司,10703.0,1.575
11405,口服藥,OKEPP,Keppra 500mg 60tab/盒,TAB,TAB,A0002,裕利股份有限公司,2690.0,16.92
11405,口服藥,OKETOR,Ketorolac 10mg 1000cap/盒,CAP,CAP,A0056,永信藥品工業(股)公司,3084.0,1.7
11405,口服藥,OKGLU,K-Glu Oral 60支/盒,支,支,A0259,信東生技股份有限公司,436.0,13.0
11405,口服藥,OKOCE,Kocel 6gm/42包/袋,包,包,A0709,昭羿生醫科技有限公司,725.0,8.0
11405,口服藥,OKSTO,K-Stone Gra 5g 100包/盒,包,包,A0719,盛雲藥品股份有限公司,139.0,6.1
11405,口服藥,OLABT,Labtal F.C 1000'S/盒,TAB,TAB,A0031,杏輝藥品工業(股)公司,1188.0,2.7
11405,口服藥,OLACTU,Lactul Srup 60ml瓶/100瓶/箱,瓶,瓶,A0031,杏輝藥品工業(股)公司,81.0,19.84
11405,口服藥,OLAMIC,Lamictal 50mg 30'S/盒,TAB,TAB,A0002,裕利股份有限公司,2276.0,6.29
11405,口服藥,OLANO,Lanoxin 0.25mg (Digoxin) 1000/瓶,TAB,TAB,A0002,裕利股份有限公司,557.0,1.716
11405,口服藥,OLATU,Latuda 40mg 28'S/盒,TAB,TAB,A0355,台灣大昌華嘉股份有限公司,0.0,42.48
11405,口服藥,OLEEY,Leeyo F.C. 10mg/TAB/28'S/盒,TAB,TAB,A0341,中化裕民健康事業股份有限公司,1325.0,3.7
11405,口服藥,OLESY,Lesyn FC 4mg 300'S/盒,TAB,TAB,A0226,健喬信元醫藥生技股份有限公司,693.0,2.666
11405,口服藥,OLETE,Letero Film-Coated 2.5mg 30'S/盒,TAB,TAB,A0056,永信藥品工業(股)公司,44.0,18.2
11405,口服藥,OLEVO,Levozine 5mg 1000tab/盒,Tab,Tab,A0026,生達化學製藥(股)公司,2297.0,1.872
11405,口服藥,OLEVOT,Levotam 100mg/ml/300ml/Bot,BOT,BOT,A0167,晟德大藥廠(股)公司,12.0,908.985
11405,口服藥,OLICA,Lica 5mg/100'S/盒,TAB,TAB,A0463,瑞士藥廠股份有限公司,1367.0,1.5
11405,口服藥,OLICOD,Licodin 100mg/200/盒,TAB,TAB,A0490,東生華製藥(股)公司,427.0,2.55
