預收單號,日期,品名,數量,單價,"銷貨單總額
（含稅）",發票號碼,性質,餘額,,出貨單號,日期,品名,數量,單價,金額,表頭備註,寄倉狀態
,,KONICA MINOLTA C368 紅色碳粉匣(OD標容),1.0,9436.0,9436,,,,,,,,,,275537,,
,,KONICA MINOLTA C368 黃色碳粉匣(OD標容),1.0,9436.0,9436,,,,,,,,,,,,
,,KONICA MINOLTA C368 藍色碳粉匣(OD標容),1.0,9436.0,9436,,,,,,,,,,,,
MB20251100078,2025-11-19,FUJI C5005 紅色碳粉匣,1.0,9375.0,9375,,預收,44815.0,,,,,,,,,
,,FUJI C5005 黃色碳粉匣,1.0,9375.0,9375,,,,,,,,,,,,
,,FUJI C5005 黑色碳粉匣,2.0,8345.0,16690,,,,,,,,,,,,
,,FUJI C5005 黃色碳粉匣,1.0,9375.0,9375,,,,,,,,,,,,
,,,,,498069,,,,,,,,,,,,
寄倉剩餘：,222532,,,,,,,,,,,,,,,,
總表(目錄),,,,,,,,,,,,,,,,,
